{1         JetEta              1          JetPt               [0]*([1]+[2]*TMath::Log(x))     Correction     L2Relative}
-5.191         -3.139              5              3           3500              1        1.12301              0              
-3.139         -2.964              5              3           3500              1        1.17972              0              
-2.964         -2.853              5        50.2377        316.979          1.017        1.08528    -0.00434854              
-2.853           -2.5              5        50.2377        430.887          1.017         1.1374      -0.017305              
-2.5         -2.322              5        50.2377        585.729          1.017        1.15052     -0.0202486              
-2.322         -2.172              5        50.2377        585.729          1.017        1.10229     -0.0124541              
-2.172         -2.043              5        50.2377        796.214          1.017        1.09709     -0.0127988              
-2.043          -1.93              5        50.2377        796.214          1.017        1.07889    -0.00942878              
-1.93          -1.83              5        50.2377        796.214          1.017        1.05549    -0.00552953              
-1.83          -1.74              5        50.2377        796.214          1.017        1.05251    -0.00547262              
-1.74         -1.653              5        50.2377        1082.34          1.017        1.03853    -0.00439446              
-1.653         -1.566              5        50.2377        1082.34          1.017         1.0412    -0.00625637              
-1.566         -1.479              5        50.2377        1082.34          1.017        1.02238    -0.00326891              
-1.479         -1.392              5        50.2377        1082.34          1.017        1.04145    -0.00727752              
-1.392         -1.305              5        50.2377        1082.34          1.017        1.03274    -0.00563325              
-1.305         -1.218              5              3           3500              1        1.02183              0              
-1.218         -1.131              5              3           3500              1        1.02186              0              
-1.131         -1.044              5              3           3500              1          1.022              0              
-1.044         -0.957              5              3           3500              1        1.02501              0              
-0.957         -0.879              5              3           3500              1         1.0237              0              
-0.879         -0.783              5              3           3500              1        1.02318              0              
-0.783         -0.696              5              3           3500              1        1.02119              0              
-0.696         -0.609              5              3           3500              1        1.01996              0              
-0.609         -0.522              5              3           3500              1        1.01795              0              
-0.522         -0.435              5              3           3500              1        1.01685              0              
-0.435         -0.348              5              3           3500              1         1.0154              0              
-0.348         -0.261              5              3           3500              1        1.01131              0              
-0.261         -0.174              5              3           3500              1        1.00895              0              
-0.174         -0.087              5              3           3500              1        1.00821              0              
-0.087              0              5              3           3500              1        1.00666              0              
0          0.087              5              3           3500              1        1.01076              0              
0.087          0.174              5              3           3500              1        1.01225              0              
0.174          0.261              5              3           3500              1         1.0115              0              
0.261          0.348              5              3           3500              1        1.01524              0              
0.348          0.435              5              3           3500              1        1.01443              0              
0.435          0.522              5              3           3500              1        1.01674              0              
0.522          0.609              5              3           3500              1        1.01801              0              
0.609          0.696              5              3           3500              1        1.02228              0              
0.696          0.783              5              3           3500              1        1.02287              0              
0.783          0.879              5              3           3500              1        1.02183              0              
0.879          0.957              5              3           3500              1        1.02256              0              
0.957          1.044              5              3           3500              1        1.02507              0              
1.044          1.131              5              3           3500              1        1.02451              0              
1.131          1.218              5              3           3500              1        1.02322              0              
1.218          1.305              5              3           3500              1        1.02124              0              
1.305          1.392              5        50.2377        1082.34          1.017        1.02744    -0.00480385              
1.392          1.479              5        50.2377        1082.34          1.017        1.03894    -0.00727467              
1.479          1.566              5        50.2377        1082.34          1.017        1.02625    -0.00518311              
1.566          1.653              5        50.2377        1082.34          1.017        1.02899    -0.00575614              
1.653           1.74              5        50.2377        1082.34          1.017        1.06896     -0.0111098              
1.74           1.83              5        50.2377        796.214          1.017        1.05977    -0.00863316              
1.83           1.93              5        50.2377        796.214          1.017        1.05352    -0.00665554              
1.93          2.043              5        50.2377        796.214          1.017        1.06943    -0.00875316              
2.043          2.172              5        50.2377        796.214          1.017        1.07855    -0.00927359              
2.172          2.322              5        50.2377        585.729          1.017        1.09421     -0.0105463              
2.322            2.5              5        50.2377        585.729          1.017        1.12047     -0.0150188              
2.5          2.853              5        50.2377        430.887          1.017        1.20638     -0.0304507              
2.853          2.964              5        50.2377        316.979          1.017       0.941957      0.0345215              
2.964          3.139              5              3           3500              1        1.17972              0              
3.139          5.191              5              3           3500              1        1.12301              0              
