#             eta             phi           depth             det    value      DetId
               -1               1               1              HB  1.08547   42004081
               -1               2               1              HB  1.08547   42004082
               -1               3               1              HB  1.08547   42004083
               -1               4               1              HB  1.08547   42004084
               -1               5               1              HB  1.08547   42004085
               -1               6               1              HB  1.08547   42004086
               -1               7               1              HB  1.08547   42004087
               -1               8               1              HB  1.08547   42004088
               -1               9               1              HB  1.08547   42004089
               -1              10               1              HB  1.08547   4200408A
               -1              11               1              HB  1.08547   4200408B
               -1              12               1              HB  1.08547   4200408C
               -1              13               1              HB  1.08547   4200408D
               -1              14               1              HB  1.08547   4200408E
               -1              15               1              HB  1.08547   4200408F
               -1              16               1              HB  1.08547   42004090
               -1              17               1              HB  1.08547   42004091
               -1              18               1              HB  1.08547   42004092
               -1              19               1              HB  1.08547   42004093
               -1              20               1              HB  1.08547   42004094
               -1              21               1              HB  1.08547   42004095
               -1              22               1              HB  1.08547   42004096
               -1              23               1              HB  1.08547   42004097
               -1              24               1              HB  1.08547   42004098
               -1              25               1              HB  1.08547   42004099
               -1              26               1              HB  1.08547   4200409A
               -1              27               1              HB  1.08547   4200409B
               -1              28               1              HB  1.08547   4200409C
               -1              29               1              HB  1.08547   4200409D
               -1              30               1              HB  1.08547   4200409E
               -1              31               1              HB  1.08547   4200409F
               -1              32               1              HB  1.08547   420040A0
               -1              33               1              HB  1.08547   420040A1
               -1              34               1              HB  1.08547   420040A2
               -1              35               1              HB  1.08547   420040A3
               -1              36               1              HB  1.08547   420040A4
               -1              37               1              HB  1.08547   420040A5
               -1              38               1              HB  1.08547   420040A6
               -1              39               1              HB  1.08547   420040A7
               -1              40               1              HB  1.08547   420040A8
               -1              41               1              HB  1.08547   420040A9
               -1              42               1              HB  1.08547   420040AA
               -1              43               1              HB  1.08547   420040AB
               -1              44               1              HB  1.08547   420040AC
               -1              45               1              HB  1.08547   420040AD
               -1              46               1              HB  1.08547   420040AE
               -1              47               1              HB  1.08547   420040AF
               -1              48               1              HB  1.08547   420040B0
               -1              49               1              HB  1.08547   420040B1
               -1              50               1              HB  1.08547   420040B2
               -1              51               1              HB  1.08547   420040B3
               -1              52               1              HB  1.08547   420040B4
               -1              53               1              HB  1.08547   420040B5
               -1              54               1              HB  1.08547   420040B6
               -1              55               1              HB  1.08547   420040B7
               -1              56               1              HB  1.08547   420040B8
               -1              57               1              HB  1.08547   420040B9
               -1              58               1              HB  1.08547   420040BA
               -1              59               1              HB  1.08547   420040BB
               -1              60               1              HB  1.08547   420040BC
               -1              61               1              HB  1.08547   420040BD
               -1              62               1              HB  1.08547   420040BE
               -1              63               1              HB  1.08547   420040BF
               -1              64               1              HB  1.08547   420040C0
               -1              65               1              HB  1.08547   420040C1
               -1              66               1              HB  1.08547   420040C2
               -1              67               1              HB  1.08547   420040C3
               -1              68               1              HB  1.08547   420040C4
               -1              69               1              HB  1.08547   420040C5
               -1              70               1              HB  1.08547   420040C6
               -1              71               1              HB  1.08547   420040C7
               -1              72               1              HB  1.08547   420040C8
                1               1               1              HB  1.09125   42006081
                1               2               1              HB  1.09125   42006082
                1               3               1              HB  1.09125   42006083
                1               4               1              HB  1.09125   42006084
                1               5               1              HB  1.09125   42006085
                1               6               1              HB  1.09125   42006086
                1               7               1              HB  1.09125   42006087
                1               8               1              HB  1.09125   42006088
                1               9               1              HB  1.09125   42006089
                1              10               1              HB  1.09125   4200608A
                1              11               1              HB  1.09125   4200608B
                1              12               1              HB  1.09125   4200608C
                1              13               1              HB  1.09125   4200608D
                1              14               1              HB  1.09125   4200608E
                1              15               1              HB  1.09125   4200608F
                1              16               1              HB  1.09125   42006090
                1              17               1              HB  1.09125   42006091
                1              18               1              HB  1.09125   42006092
                1              19               1              HB  1.09125   42006093
                1              20               1              HB  1.09125   42006094
                1              21               1              HB  1.09125   42006095
                1              22               1              HB  1.09125   42006096
                1              23               1              HB  1.09125   42006097
                1              24               1              HB  1.09125   42006098
                1              25               1              HB  1.09125   42006099
                1              26               1              HB  1.09125   4200609A
                1              27               1              HB  1.09125   4200609B
                1              28               1              HB  1.09125   4200609C
                1              29               1              HB  1.09125   4200609D
                1              30               1              HB  1.09125   4200609E
                1              31               1              HB  1.09125   4200609F
                1              32               1              HB  1.09125   420060A0
                1              33               1              HB  1.09125   420060A1
                1              34               1              HB  1.09125   420060A2
                1              35               1              HB  1.09125   420060A3
                1              36               1              HB  1.09125   420060A4
                1              37               1              HB  1.09125   420060A5
                1              38               1              HB  1.09125   420060A6
                1              39               1              HB  1.09125   420060A7
                1              40               1              HB  1.09125   420060A8
                1              41               1              HB  1.09125   420060A9
                1              42               1              HB  1.09125   420060AA
                1              43               1              HB  1.09125   420060AB
                1              44               1              HB  1.09125   420060AC
                1              45               1              HB  1.09125   420060AD
                1              46               1              HB  1.09125   420060AE
                1              47               1              HB  1.09125   420060AF
                1              48               1              HB  1.09125   420060B0
                1              49               1              HB  1.09125   420060B1
                1              50               1              HB  1.09125   420060B2
                1              51               1              HB  1.09125   420060B3
                1              52               1              HB  1.09125   420060B4
                1              53               1              HB  1.09125   420060B5
                1              54               1              HB  1.09125   420060B6
                1              55               1              HB  1.09125   420060B7
                1              56               1              HB  1.09125   420060B8
                1              57               1              HB  1.09125   420060B9
                1              58               1              HB  1.09125   420060BA
                1              59               1              HB  1.09125   420060BB
                1              60               1              HB  1.09125   420060BC
                1              61               1              HB  1.09125   420060BD
                1              62               1              HB  1.09125   420060BE
                1              63               1              HB  1.09125   420060BF
                1              64               1              HB  1.09125   420060C0
                1              65               1              HB  1.09125   420060C1
                1              66               1              HB  1.09125   420060C2
                1              67               1              HB  1.09125   420060C3
                1              68               1              HB  1.09125   420060C4
                1              69               1              HB  1.09125   420060C5
                1              70               1              HB  1.09125   420060C6
                1              71               1              HB  1.09125   420060C7
                1              72               1              HB  1.09125   420060C8
               -2               1               1              HB  1.09767   42004101
               -2               2               1              HB  1.09767   42004102
               -2               3               1              HB  1.09767   42004103
               -2               4               1              HB  1.09767   42004104
               -2               5               1              HB  1.09767   42004105
               -2               6               1              HB  1.09767   42004106
               -2               7               1              HB  1.09767   42004107
               -2               8               1              HB  1.09767   42004108
               -2               9               1              HB  1.09767   42004109
               -2              10               1              HB  1.09767   4200410A
               -2              11               1              HB  1.09767   4200410B
               -2              12               1              HB  1.09767   4200410C
               -2              13               1              HB  1.09767   4200410D
               -2              14               1              HB  1.09767   4200410E
               -2              15               1              HB  1.09767   4200410F
               -2              16               1              HB  1.09767   42004110
               -2              17               1              HB  1.09767   42004111
               -2              18               1              HB  1.09767   42004112
               -2              19               1              HB  1.09767   42004113
               -2              20               1              HB  1.09767   42004114
               -2              21               1              HB  1.09767   42004115
               -2              22               1              HB  1.09767   42004116
               -2              23               1              HB  1.09767   42004117
               -2              24               1              HB  1.09767   42004118
               -2              25               1              HB  1.09767   42004119
               -2              26               1              HB  1.09767   4200411A
               -2              27               1              HB  1.09767   4200411B
               -2              28               1              HB  1.09767   4200411C
               -2              29               1              HB  1.09767   4200411D
               -2              30               1              HB  1.09767   4200411E
               -2              31               1              HB  1.09767   4200411F
               -2              32               1              HB  1.09767   42004120
               -2              33               1              HB  1.09767   42004121
               -2              34               1              HB  1.09767   42004122
               -2              35               1              HB  1.09767   42004123
               -2              36               1              HB  1.09767   42004124
               -2              37               1              HB  1.09767   42004125
               -2              38               1              HB  1.09767   42004126
               -2              39               1              HB  1.09767   42004127
               -2              40               1              HB  1.09767   42004128
               -2              41               1              HB  1.09767   42004129
               -2              42               1              HB  1.09767   4200412A
               -2              43               1              HB  1.09767   4200412B
               -2              44               1              HB  1.09767   4200412C
               -2              45               1              HB  1.09767   4200412D
               -2              46               1              HB  1.09767   4200412E
               -2              47               1              HB  1.09767   4200412F
               -2              48               1              HB  1.09767   42004130
               -2              49               1              HB  1.09767   42004131
               -2              50               1              HB  1.09767   42004132
               -2              51               1              HB  1.09767   42004133
               -2              52               1              HB  1.09767   42004134
               -2              53               1              HB  1.09767   42004135
               -2              54               1              HB  1.09767   42004136
               -2              55               1              HB  1.09767   42004137
               -2              56               1              HB  1.09767   42004138
               -2              57               1              HB  1.09767   42004139
               -2              58               1              HB  1.09767   4200413A
               -2              59               1              HB  1.09767   4200413B
               -2              60               1              HB  1.09767   4200413C
               -2              61               1              HB  1.09767   4200413D
               -2              62               1              HB  1.09767   4200413E
               -2              63               1              HB  1.09767   4200413F
               -2              64               1              HB  1.09767   42004140
               -2              65               1              HB  1.09767   42004141
               -2              66               1              HB  1.09767   42004142
               -2              67               1              HB  1.09767   42004143
               -2              68               1              HB  1.09767   42004144
               -2              69               1              HB  1.09767   42004145
               -2              70               1              HB  1.09767   42004146
               -2              71               1              HB  1.09767   42004147
               -2              72               1              HB  1.09767   42004148
                2               1               1              HB  1.09591   42006101
                2               2               1              HB  1.09591   42006102
                2               3               1              HB  1.09591   42006103
                2               4               1              HB  1.09591   42006104
                2               5               1              HB  1.09591   42006105
                2               6               1              HB  1.09591   42006106
                2               7               1              HB  1.09591   42006107
                2               8               1              HB  1.09591   42006108
                2               9               1              HB  1.09591   42006109
                2              10               1              HB  1.09591   4200610A
                2              11               1              HB  1.09591   4200610B
                2              12               1              HB  1.09591   4200610C
                2              13               1              HB  1.09591   4200610D
                2              14               1              HB  1.09591   4200610E
                2              15               1              HB  1.09591   4200610F
                2              16               1              HB  1.09591   42006110
                2              17               1              HB  1.09591   42006111
                2              18               1              HB  1.09591   42006112
                2              19               1              HB  1.09591   42006113
                2              20               1              HB  1.09591   42006114
                2              21               1              HB  1.09591   42006115
                2              22               1              HB  1.09591   42006116
                2              23               1              HB  1.09591   42006117
                2              24               1              HB  1.09591   42006118
                2              25               1              HB  1.09591   42006119
                2              26               1              HB  1.09591   4200611A
                2              27               1              HB  1.09591   4200611B
                2              28               1              HB  1.09591   4200611C
                2              29               1              HB  1.09591   4200611D
                2              30               1              HB  1.09591   4200611E
                2              31               1              HB  1.09591   4200611F
                2              32               1              HB  1.09591   42006120
                2              33               1              HB  1.09591   42006121
                2              34               1              HB  1.09591   42006122
                2              35               1              HB  1.09591   42006123
                2              36               1              HB  1.09591   42006124
                2              37               1              HB  1.09591   42006125
                2              38               1              HB  1.09591   42006126
                2              39               1              HB  1.09591   42006127
                2              40               1              HB  1.09591   42006128
                2              41               1              HB  1.09591   42006129
                2              42               1              HB  1.09591   4200612A
                2              43               1              HB  1.09591   4200612B
                2              44               1              HB  1.09591   4200612C
                2              45               1              HB  1.09591   4200612D
                2              46               1              HB  1.09591   4200612E
                2              47               1              HB  1.09591   4200612F
                2              48               1              HB  1.09591   42006130
                2              49               1              HB  1.09591   42006131
                2              50               1              HB  1.09591   42006132
                2              51               1              HB  1.09591   42006133
                2              52               1              HB  1.09591   42006134
                2              53               1              HB  1.09591   42006135
                2              54               1              HB  1.09591   42006136
                2              55               1              HB  1.09591   42006137
                2              56               1              HB  1.09591   42006138
                2              57               1              HB  1.09591   42006139
                2              58               1              HB  1.09591   4200613A
                2              59               1              HB  1.09591   4200613B
                2              60               1              HB  1.09591   4200613C
                2              61               1              HB  1.09591   4200613D
                2              62               1              HB  1.09591   4200613E
                2              63               1              HB  1.09591   4200613F
                2              64               1              HB  1.09591   42006140
                2              65               1              HB  1.09591   42006141
                2              66               1              HB  1.09591   42006142
                2              67               1              HB  1.09591   42006143
                2              68               1              HB  1.09591   42006144
                2              69               1              HB  1.09591   42006145
                2              70               1              HB  1.09591   42006146
                2              71               1              HB  1.09591   42006147
                2              72               1              HB  1.09591   42006148
               -3               1               1              HB  1.08642   42004181
               -3               2               1              HB  1.08642   42004182
               -3               3               1              HB  1.08642   42004183
               -3               4               1              HB  1.08642   42004184
               -3               5               1              HB  1.08642   42004185
               -3               6               1              HB  1.08642   42004186
               -3               7               1              HB  1.08642   42004187
               -3               8               1              HB  1.08642   42004188
               -3               9               1              HB  1.08642   42004189
               -3              10               1              HB  1.08642   4200418A
               -3              11               1              HB  1.08642   4200418B
               -3              12               1              HB  1.08642   4200418C
               -3              13               1              HB  1.08642   4200418D
               -3              14               1              HB  1.08642   4200418E
               -3              15               1              HB  1.08642   4200418F
               -3              16               1              HB  1.08642   42004190
               -3              17               1              HB  1.08642   42004191
               -3              18               1              HB  1.08642   42004192
               -3              19               1              HB  1.08642   42004193
               -3              20               1              HB  1.08642   42004194
               -3              21               1              HB  1.08642   42004195
               -3              22               1              HB  1.08642   42004196
               -3              23               1              HB  1.08642   42004197
               -3              24               1              HB  1.08642   42004198
               -3              25               1              HB  1.08642   42004199
               -3              26               1              HB  1.08642   4200419A
               -3              27               1              HB  1.08642   4200419B
               -3              28               1              HB  1.08642   4200419C
               -3              29               1              HB  1.08642   4200419D
               -3              30               1              HB  1.08642   4200419E
               -3              31               1              HB  1.08642   4200419F
               -3              32               1              HB  1.08642   420041A0
               -3              33               1              HB  1.08642   420041A1
               -3              34               1              HB  1.08642   420041A2
               -3              35               1              HB  1.08642   420041A3
               -3              36               1              HB  1.08642   420041A4
               -3              37               1              HB  1.08642   420041A5
               -3              38               1              HB  1.08642   420041A6
