4			
1	21	27	29
20	26	28	41
0	0	0	0
1	0	0	0
2	1	0	0
3	1	0	0
4	2	0	0
5	2	1	0
6	3	1	0
7	3	1	0
8	4	1	0
9	4	1	0
10	5	2	1
11	5	2	1
12	6	2	1
13	6	2	1
14	7	2	1
15	7	3	1
17	8	3	1
19	9	3	1
21	10	4	2
23	11	4	2
25	12	5	2
27	13	5	2
30	15	6	3
33	16	6	3
36	18	7	3
39	19	7	3
42	21	8	4
46	23	9	4
50	25	10	5
55	27	11	5
60	30	12	6
65	32	13	6
60	30	12	6
65	32	13	6
70	35	14	7
75	37	15	7
80	40	16	8
85	42	17	8
90	45	18	9
95	47	19	9
100	50	20	10
105	52	21	10
110	55	22	11
115	57	23	11
120	60	24	12
125	62	25	12
130	65	26	13
137	68	27	13
147	73	29	14
157	78	31	15
167	83	33	16
177	88	35	17
187	93	37	18
197	98	39	19
210	105	42	21
225	112	45	22
240	120	48	24
255	127	51	25
272	136	54	27
292	146	58	29
312	156	62	31
335	167	67	33
360	180	72	36
385	192	77	38
360	180	72	36
385	192	77	38
410	205	82	41
435	217	87	43
460	230	92	46
485	242	97	48
510	255	102	51
535	267	107	53
560	280	112	56
585	292	117	58
610	305	122	61
635	317	127	63
660	330	132	66
685	342	137	68
710	355	142	71
747	373	149	74
797	398	159	79
847	423	169	84
897	448	179	89
947	473	189	94
997	498	199	99
1047	523	209	104
1110	555	222	111
1185	592	237	118
1260	630	252	126
1335	667	267	133
1422	711	284	142
1522	761	304	152
1622	811	324	162
1735	867	347	173
1860	930	372	186
1985	992	397	198
1860	930	372	186
1985	992	397	198
2110	1055	422	211
2235	1117	447	223
2360	1180	472	236
2485	1242	497	248
2610	1305	522	261
2735	1367	547	273
2860	1430	572	286
2985	1492	597	298
3110	1555	622	311
3235	1617	647	323
3360	1680	672	336
3485	1742	697	348
3610	1805	722	361
3797	1898	759	379
4047	2023	809	404
4297	2148	859	429
4547	2273	909	454
4797	2398	959	479
5047	2523	1009	504
5297	2648	1059	529
5610	2805	1122	561
5985	2992	1197	598
6360	3180	1272	636
6735	3367	1347	673
7172	3586	1434	717
7672	3836	1534	767
8172	4086	1634	817
8735	4367	1747	873
9360	4680	1872	936
9985	4992	1997	998
