4			
1	21	27	29
20	26	28	41
0     0     0     0
0     0     0     0
0     0     0     0
0     0     0     0
0     0     0     0
1     0     0     0
2     1     0     0
3     1     0     0
4     2     1     0
5     2     1     0
6     3     1     0
7     3     1     0
8     4     1     1
9     4     1     1
10     5     2     1
11     5     2     1
13     6     2     1
15     7     3     1
17     8     3     1
19     9     3     2
21     10     4     2
23     11     4     2
26     13     5     2
29     14     5     3
32     16     6     3
35     17     7     3
38     19     7     4
42     21     8     4
46     23     9     4
51     25     10     5
56     28     11     5
61     30     12     6
56     28     11     5
61     30     12     6
66     33     13     6
71     35     14     7
76     38     15     7
81     40     16     8
86     43     17     8
91     45     18     9
96     48     19     9
101     50     20     10
106     53     21     10
111     55     22     11
116     58     23     11
121     60     24     12
126     63     25     12
133     66     26     13
143     71     28     14
153     76     30     15
163     81     32     16
173     86     34     17
183     91     36     18
193     96     38     19
206     103     41     20
221     110     44     22
236     118     47     23
251     125     50     25
268     134     53     27
288     144     57     29
308     154     61     31
331     165     66     33
356     178     71     35
381     190     76     38
356     178     71     35
381     190     76     38
406     203     81     40
431     215     86     43
456     228     91     45
481     240     96     48
506     253     101     50
531     265     106     53
556     278     111     55
581     290     116     58
606     303     121     60
631     315     126     63
656     328     131     65
681     340     136     68
706     353     141     70
743     371     148     74
793     396     158     79
843     421     168     84
893     446     178     89
943     471     188     94
993     496     198     99
1043     521     208     104
1106     553     221     110
1181     590     236     118
1256     628     251     125
1331     665     266     133
1418     709     283     142
1518     759     303     152
1618     809     323     162
1731     865     346     173
1856     928     371     185
1981     990     396     198
1856     928     371     185
1981     990     396     198
2106     1053     421     210
2231     1115     446     223
2356     1178     471     235
2481     1240     496     248
2606     1303     521     260
2731     1365     546     273
2856     1428     571     285
2981     1490     596     298
3106     1553     621     310
3231     1615     646     323
3356     1678     671     335
3481     1740     696     348
3606     1803     721     360
3793     1896     758     379
4043     2021     808     404
4293     2146     858     429
4543     2271     908     454
4793     2396     958     479
5043     2521     1008     504
5293     2646     1058     529
5606     2803     1121     560
5981     2990     1196     598
6356     3178     1271     635
6731     3365     1346     673
7168     3584     1433     717
7668     3834     1533     767
8168     4084     1633     817
8731     4365     1746     873
9356     4678     1871     935
9981     4990     1996     998


