Module_DetId/U, GBT_CMSSW_IdPerDTC/U, DTC_CMSSW_Id/U
438043652,1,1
438043656,2,1
438043660,3,1
438043664,4,1
438043668,5,1
438043672,6,1
438043676,7,1
438043680,8,1
438043684,9,1
438043688,10,1
438043692,11,1
438043696,12,1
439092228,13,1
439092232,14,1
439092236,15,1
439092240,16,1
439092244,17,1
439092248,18,1
439092252,19,1
439092256,20,1
439092260,21,1
439092264,22,1
439092268,23,1
439092272,24,1
440140804,25,1
440140808,26,1
440140812,27,1
440140816,28,1
440140820,29,1
440140824,30,1
440140828,31,1
440140832,32,1
440140836,33,1
440140840,34,1
440140844,35,1
440140848,36,1
441189380,37,1
441189384,38,1
441189388,39,1
441189392,40,1
441189396,41,1
441189400,42,1
441189404,43,1
441189408,44,1
441189412,45,1
441189416,46,1
441189420,47,1
441189424,48,1
442237956,49,1
442237960,50,1
442237964,51,1
442237968,52,1
442237972,53,1
442237976,54,1
442237980,55,1
442237984,56,1
442237988,57,1
442237992,58,1
442237996,59,1
442238000,60,1
443286532,61,1
443286536,62,1
443286540,63,1
443286544,64,1
443286548,65,1
443286552,66,1
443286556,67,1
443286560,68,1
443286564,69,1
443286568,70,1
443286572,71,1
443286576,72,1
