1.1.1.1.8,2.1.1.1.8,1
1.1.1.1.7,2.1.1.1.7,2
1.1.1.1.6,2.1.1.1.6,3
1.1.1.1.5,2.1.1.1.5,4
1.1.1.1.4,2.1.1.1.4,5
1.1.1.1.3,2.1.1.1.3,6
1.1.1.1.2,2.1.1.1.2,7
1.1.1.1.1,2.1.1.1.1,8
1.1.2.1.7,2.1.2.1.7,9
1.1.2.1.6,2.1.2.1.6,10
1.1.2.1.5,2.1.2.1.5,11
1.1.2.1.4,2.1.2.1.4,12
1.1.2.1.3,2.1.2.1.3,13
1.1.2.1.2,2.1.2.1.2,14
1.1.2.1.1,2.1.2.1.1,15
1.1.2.2.4,2.1.2.2.4,16
1.1.2.2.3,2.1.2.2.3,17
1.1.2.2.2,2.1.2.2.2,18
1.1.2.2.1,2.1.2.2.1,19
1.1.3.1.8,2.1.3.1.8,20
1.1.3.1.7,2.1.3.1.7,21
1.1.3.1.6,2.1.3.1.6,22
1.1.3.1.5,2.1.3.1.5,23
1.1.3.1.4,2.1.3.1.4,24
1.1.3.1.3,2.1.3.1.3,25
1.1.3.1.2,2.1.3.1.2,26
1.1.3.1.1,2.1.3.1.1,27
1.1.3.2.4,2.1.3.2.4,28
1.1.3.2.3,2.1.3.2.3,29
1.1.3.2.2,2.1.3.2.2,30
1.1.3.2.1,2.1.3.2.1,31
1.1.4.1.7,2.1.4.1.7,32
1.1.4.1.6,2.1.4.1.6,33
1.1.4.1.5,2.1.4.1.5,34
1.1.4.1.4,2.1.4.1.4,35
1.1.4.1.3,2.1.4.1.3,36
1.1.4.1.2,2.1.4.1.2,37
1.1.4.1.1,2.1.4.1.1,38
1.1.4.2.4,2.1.4.2.4,39
1.1.4.2.3,2.1.4.2.3,40
1.1.4.2.2,2.1.4.2.2,41
1.1.4.2.1,2.1.4.2.1,42
1.2.1.1.1,2.2.1.1.1,1
1.2.1.1.2,2.2.1.1.2,2
1.2.1.1.3,2.2.1.1.3,3
1.2.1.1.4,2.2.1.1.4,4
1.2.1.2.1,2.2.1.2.1,5
1.2.1.2.2,2.2.1.2.2,6
1.2.1.2.3,2.2.1.2.3,7
1.2.1.2.4,2.2.1.2.4,8
1.2.1.2.5,2.2.1.2.5,9
1.2.1.2.6,2.2.1.2.6,10
1.2.1.2.7,2.2.1.2.7,11
1.2.1.2.8,2.2.1.2.8,12
1.2.2.1.1,2.2.2.1.1,13
1.2.2.1.2,2.2.2.1.2,14
1.2.2.1.3,2.2.2.1.3,15
1.2.2.1.4,2.2.2.1.4,16
1.2.2.2.1,2.2.2.2.1,17
1.2.2.2.2,2.2.2.2.2,18
1.2.2.2.3,2.2.2.2.3,19
1.2.2.2.4,2.2.2.2.4,20
1.2.2.2.5,2.2.2.2.5,21
1.2.2.2.6,2.2.2.2.6,22
1.2.2.2.7,2.2.2.2.7,23
1.2.2.2.8,2.2.2.2.8,24
1.2.3.1.1,2.2.3.1.1,25
1.2.3.1.2,2.2.3.1.2,26
1.2.3.1.3,2.2.3.1.3,27
1.2.3.1.4,2.2.3.1.4,28
1.2.3.2.1,2.2.3.2.1,29
1.2.3.2.2,2.2.3.2.2,30
1.2.3.2.3,2.2.3.2.3,31
1.2.3.2.4,2.2.3.2.4,32
1.2.3.2.5,2.2.3.2.5,33
1.2.3.2.6,2.2.3.2.6,34
1.2.3.2.7,2.2.3.2.7,35
1.2.3.2.8,2.2.3.2.8,36
1.2.4.1.1,2.2.4.1.1,37
1.2.4.1.2,2.2.4.1.2,38
1.2.4.1.3,2.2.4.1.3,39
1.2.4.1.4,2.2.4.1.4,40
1.2.4.2.1,2.2.4.2.1,41
1.2.4.2.2,2.2.4.2.2,42
1.2.4.2.3,2.2.4.2.3,43
1.2.4.2.4,2.2.4.2.4,44
1.2.4.2.5,2.2.4.2.5,45
1.2.4.2.6,2.2.4.2.6,46
1.2.4.2.7,2.2.4.2.7,47
1.2.4.2.8,2.2.4.2.8,48
1.3.2.1.8,2.3.2.1.8,15
1.3.2.1.7,2.3.2.1.7,16
1.3.2.1.6,2.3.2.1.6,17
1.3.2.1.5,2.3.2.1.5,18
1.3.2.1.4,2.3.2.1.4,19
1.3.2.1.3,2.3.2.1.3,20
1.3.2.1.2,2.3.2.1.2,21
1.3.2.1.1,2.3.2.1.1,22
1.3.2.2.8,2.3.2.2.8,23
1.3.2.2.7,2.3.2.2.7,24
1.3.2.2.6,2.3.2.2.6,25
1.3.2.2.5,2.3.2.2.5,26
1.3.2.2.4,2.3.2.2.4,27
1.3.2.2.3,2.3.2.2.3,28
1.3.2.2.2,2.3.2.2.2,29
1.3.2.2.1,2.3.2.2.1,30
1.3.3.1.8,2.3.3.1.8,31
1.3.3.1.7,2.3.3.1.7,32
1.3.3.1.6,2.3.3.1.6,33
1.3.3.1.5,2.3.3.1.5,34
1.3.3.1.4,2.3.3.1.4,35
1.3.3.1.3,2.3.3.1.3,36
1.3.3.1.2,2.3.3.1.2,37
1.3.3.1.1,2.3.3.1.1,38
1.3.3.2.8,2.3.3.2.8,39
1.3.3.2.7,2.3.3.2.7,40
1.3.3.2.6,2.3.3.2.6,41
1.3.3.2.5,2.3.3.2.5,42
1.3.3.2.4,2.3.3.2.4,43
1.3.3.2.3,2.3.3.2.3,44
1.3.3.2.2,2.3.3.2.2,45
1.3.3.2.1,2.3.3.2.1,46
1.3.1.1.7,2.3.1.1.7,47
1.3.1.1.6,2.3.1.1.6,48
1.3.1.1.5,2.3.1.1.5,49
1.3.1.1.4,2.3.1.1.4,50
1.3.1.1.3,2.3.1.1.3,51
1.3.1.1.2,2.3.1.1.2,52
1.3.1.1.1,2.3.1.1.1,53
1.3.1.2.7,2.3.1.2.7,54
1.3.1.2.6,2.3.1.2.6,1
1.3.1.2.5,2.3.1.2.5,2
1.3.1.2.4,2.3.1.2.4,3
1.3.1.2.3,2.3.1.2.3,4
1.3.1.2.2,2.3.1.2.2,5
1.3.1.2.1,2.3.1.2.1,6
1.3.1.3.8,2.3.1.3.8,7
1.3.1.3.7,2.3.1.3.7,8
1.3.1.3.6,2.3.1.3.6,9
1.3.1.3.5,2.3.1.3.5,10
1.3.1.3.4,2.3.1.3.4,11
1.3.1.3.3,2.3.1.3.3,12
1.3.1.3.2,2.3.1.3.2,13
1.3.1.3.1,2.3.1.3.1,14
1.4.1.1.1,2.4.1.1.1,6
1.4.1.1.2,2.4.1.1.2,7
1.4.1.1.3,2.4.1.1.3,8
1.4.1.1.4,2.4.1.1.4,9
1.4.1.1.5,2.4.1.1.5,10
1.4.1.1.6,2.4.1.1.6,11
1.4.1.1.7,2.4.1.1.7,12
1.4.1.1.8,2.4.1.1.8,13
1.4.1.2.1,2.4.1.2.1,14
1.4.1.2.2,2.4.1.2.2,15
1.4.1.2.3,2.4.1.2.3,16
1.4.1.2.4,2.4.1.2.4,17
1.4.1.2.5,2.4.1.2.5,18
1.4.1.2.6,2.4.1.2.6,19
1.4.1.2.7,2.4.1.2.7,20
1.4.1.2.8,2.4.1.2.8,21
1.4.2.1.1,2.4.2.1.1,22
1.4.2.1.2,2.4.2.1.2,23
1.4.2.1.3,2.4.2.1.3,24
1.4.2.1.4,2.4.2.1.4,25
1.4.2.1.5,2.4.2.1.5,26
1.4.2.1.6,2.4.2.1.6,27
1.4.2.1.7,2.4.2.1.7,28
1.4.2.2.1,2.4.2.2.1,29
1.4.2.2.2,2.4.2.2.2,30
1.4.2.2.3,2.4.2.2.3,31
1.4.2.2.4,2.4.2.2.4,32
1.4.2.2.5,2.4.2.2.5,33
1.4.2.2.6,2.4.2.2.6,34
