#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
               -1               1               1              HB  0.0015506  0.0015506  0.0015506  0.0015506   43100401
               -1               1               2              HB  0.0007632  0.0007632  0.0007632  0.0007632   43200401
               -1               1               3              HB  0.0005705  0.0005705  0.0005705  0.0005705   43300401
               -1               1               4              HB  0.0005998  0.0005998  0.0005998  0.0005998   43400401
               -2               1               1              HB  0.0016500  0.0016500  0.0016500  0.0016500   43100801
               -2               1               2              HB  0.0007359  0.0007359  0.0007359  0.0007359   43200801
               -2               1               3              HB  0.0006110  0.0006110  0.0006110  0.0006110   43300801
               -2               1               4              HB  0.0005717  0.0005717  0.0005717  0.0005717   43400801
               -3               1               1              HB  0.0015436  0.0015436  0.0015436  0.0015436   43100C01
               -3               1               2              HB  0.0007304  0.0007304  0.0007304  0.0007304   43200C01
               -3               1               3              HB  0.0006340  0.0006340  0.0006340  0.0006340   43300C01
               -3               1               4              HB  0.0005542  0.0005542  0.0005542  0.0005542   43400C01
               -4               1               1              HB  0.0015977  0.0015977  0.0015977  0.0015977   43101001
               -4               1               2              HB  0.0007270  0.0007270  0.0007270  0.0007270   43201001
               -4               1               3              HB  0.0005848  0.0005848  0.0005848  0.0005848   43301001
               -4               1               4              HB  0.0005174  0.0005174  0.0005174  0.0005174   43401001
               -5               1               1              HB  0.0014207  0.0014207  0.0014207  0.0014207   43101401
               -5               1               2              HB  0.0006911  0.0006911  0.0006911  0.0006911   43201401
               -5               1               3              HB  0.0005553  0.0005553  0.0005553  0.0005553   43301401
               -5               1               4              HB  0.0004884  0.0004884  0.0004884  0.0004884   43401401
               -6               1               1              HB  0.0013844  0.0013844  0.0013844  0.0013844   43101801
               -6               1               2              HB  0.0006942  0.0006942  0.0006942  0.0006942   43201801
               -6               1               3              HB  0.0005200  0.0005200  0.0005200  0.0005200   43301801
               -6               1               4              HB  0.0004956  0.0004956  0.0004956  0.0004956   43401801
               -7               1               1              HB  0.0013180  0.0013180  0.0013180  0.0013180   43101C01
               -7               1               2              HB  0.0006946  0.0006946  0.0006946  0.0006946   43201C01
               -7               1               3              HB  0.0005742  0.0005742  0.0005742  0.0005742   43301C01
               -7               1               4              HB  0.0004958  0.0004958  0.0004958  0.0004958   43401C01
               -8               1               1              HB  0.0013040  0.0013040  0.0013040  0.0013040   43102001
               -8               1               2              HB  0.0006971  0.0006971  0.0006971  0.0006971   43202001
               -8               1               3              HB  0.0005710  0.0005710  0.0005710  0.0005710   43302001
               -8               1               4              HB  0.0005043  0.0005043  0.0005043  0.0005043   43402001
               -9               1               1              HB  0.0012474  0.0012474  0.0012474  0.0012474   43102401
               -9               1               2              HB  0.0006455  0.0006455  0.0006455  0.0006455   43202401
               -9               1               3              HB  0.0005392  0.0005392  0.0005392  0.0005392   43302401
               -9               1               4              HB  0.0004449  0.0004449  0.0004449  0.0004449   43402401
              -10               1               1              HB  0.0012141  0.0012141  0.0012141  0.0012141   43102801
              -10               1               2              HB  0.0006339  0.0006339  0.0006339  0.0006339   43202801
              -10               1               3              HB  0.0005782  0.0005782  0.0005782  0.0005782   43302801
              -10               1               4              HB  0.0004586  0.0004586  0.0004586  0.0004586   43402801
              -11               1               1              HB  0.0012130  0.0012130  0.0012130  0.0012130   43102C01
              -11               1               2              HB  0.0006479  0.0006479  0.0006479  0.0006479   43202C01
              -11               1               3              HB  0.0005694  0.0005694  0.0005694  0.0005694   43302C01
              -11               1               4              HB  0.0004473  0.0004473  0.0004473  0.0004473   43402C01
              -12               1               1              HB  0.0012966  0.0012966  0.0012966  0.0012966   43103001
              -12               1               2              HB  0.0006766  0.0006766  0.0006766  0.0006766   43203001
              -12               1               3              HB  0.0005513  0.0005513  0.0005513  0.0005513   43303001
