  20 0.0112196 -0.160517 
  19 0.0112285 -0.143327 
  18 0.011219 -0.125973 
  17 0.011228 -0.108784 
  16 0.0112185 -0.0914311 
  15 0.0112276 -0.0742431 
  14 0.0112182 -0.0568901 
  13 0.0112273 -0.0397028 
  12 0.011218 -0.0223498 
  11 0.0112272 -0.00516302 
  10 0.011218 0.0121902 
   9 0.0112273 0.0293767 
   8 0.0112181 0.0467303 
   7 0.0112275 0.0639168 
   6 0.0112184 0.0812711 
   5 0.0112279 0.0984577 
   4 0.0112189 0.115813 
   3 0.0112284    0.133 
   2 0.0112194 0.150356 
   1 0.011229 0.167544 
  40 0.029065 -0.160514 
  39 0.029088 -0.143325 
  38 0.0290633 -0.12597 
  37 0.0290866 -0.108782 
  36 0.0290621 -0.0914275 
  35 0.0290855 -0.0742406 
  34 0.0290613 -0.0568865 
  33 0.0290849 -0.0397002 
  32 0.0290608 -0.0223461 
  31 0.0290846 -0.00516046 
  30 0.0290608 0.0121939 
  29 0.0290848 0.0293792 
  28 0.0290611 0.046734 
  27 0.0290853 0.0639194 
  26 0.0290618 0.0812749 
  25 0.0290862 0.0984603 
  24 0.0290629 0.115817 
  23 0.0290876 0.133003 
  22 0.0290645  0.15036 
  21 0.0290893 0.167547 
  60 0.0469012 -0.16051 
  59 0.0469384 -0.143322 
  58 0.0468986 -0.125966 
  57 0.0469361 -0.10878 
  56 0.0468966 -0.0914242 
  55 0.0469344 -0.0742382 
  54 0.0468952 -0.0568831 
  53 0.0469334 -0.0396979 
  52 0.0468945 -0.0223427 
  51 0.0469329 -0.00515809 
  50 0.0468944 0.0121973 
  49 0.0469332 0.0293816 
  48 0.046895 0.0467375 
  47 0.046934 0.0639218 
  46 0.0468961 0.0812783 
  45 0.0469355 0.0984628 
  44 0.046898  0.11582 
  43 0.0469377 0.133005 
  42 0.0469004 0.150364 
  41 0.0469404 0.167549 
  80 0.0647241 -0.160507 
  79 0.0647754 -0.14332 
  78 0.0647205 -0.125963 
  77 0.0647722 -0.108777 
  76 0.0647177 -0.091421 
  75 0.0647699 -0.0742361 
  74 0.0647158 -0.0568799 
  73 0.0647684 -0.0396957 
  72 0.0647148 -0.0223396 
  71 0.0647678 -0.00515589 
  70 0.0647147 0.0122005 
  69 0.0647681 0.0293839 
