#HE and HO  HPD map created according with  elog      
#i cr sl tb dcc spigot  fiber fibcha  subdet  ieta  iphi  depth
0 17  15  t 0 4 5 0 HE  17  13  1
0 17  15  t 0 4 5 1 HE  16  13  3
0 17  15  t 0 4 5 2 HE  25  13  1
0 17  15  t 0 4 6 0 HE  18  13  1
0 17  15  t 0 4 6 1 HE  18  13  2
0 17  15  t 0 4 6 2 HE  25  13  2
0 17  15  t 0 4 7 0 HE  17  14  1
0 17  15  t 0 4 7 1 HE  16  14  3
0 17  15  t 0 4 7 2 HE  26  14  1
0 17  15  t 0 4 8 0 HE  18  14  1
0 17  15  t 0 4 8 1 HE  18  14  2
0 17  15  t 0 4 8 2 HE  26  14  2
0 17  15  b 0 5 5 0 HE  17  15  1
0 17  15  b 0 5 5 1 HE  16  15  3
0 17  15  b 0 5 5 2 HE  26  15  1
0 17  15  b 0 5 6 0 HE  18  15  1
0 17  15  b 0 5 6 1 HE  18  15  2
0 17  15  b 0 5 6 2 HE  26  15  2
0 17  15  b 0 5 7 0 HE  17  16  1
0 17  15  b 0 5 7 1 HE  16  16  3
0 17  15  b 0 5 7 2 HE  25  16  1
0 17  15  b 0 5 8 0 HE  18  16  1
0 17  15  b 0 5 8 1 HE  18  16  2
0 17  15  b 0 5 8 2 HE  25  16  2
0 17  16  t 0 6 1 0 HE  27  13  1
0 17  16  t 0 6 1 1 HE  27  13  2
0 17  16  t 0 6 1 2 HE  29  13  2
0 17  16  t 0 6 2 0 HE  27  13  3
0 17  16  t 0 6 2 1 HE  23  13  2
0 17  16  t 0 6 2 2 HE  23  13  1
0 17  16  t 0 6 3 0 HE  28  14  1
0 17  16  t 0 6 3 1 HE  28  14  2
0 17  16  t 0 6 3 2 HE  29  14  1
0 17  16  t 0 6 4 0 HE  28  14  3
0 17  16  t 0 6 4 1 HE  24  14  2
0 17  16  t 0 6 4 2 HE  24  14  1
0 17  16  t 0 6 5 0 HE  19  13  2
0 17  16  t 0 6 5 1 HE  20  13  1
0 17  16  t 0 6 5 2 HE  21  13  2
0 17  16  t 0 6 6 0 HE  19  13  1
0 17  16  t 0 6 6 1 HE  20  13  2
0 17  16  t 0 6 6 2 HE  21  13  1
0 17  16  t 0 6 7 0 HE  19  14  2
0 17  16  t 0 6 7 1 HE  20  14  1
0 17  16  t 0 6 7 2 HE  22  14  2
0 17  16  t 0 6 8 0 HE  19  14  1
0 17  16  t 0 6 8 1 HE  20  14  2
0 17  16  t 0 6 8 2 HE  22  14  1
0 17  16  b 0 7 1 0 HE  28  15  1
0 17  16  b 0 7 1 1 HE  28  15  2
0 17  16  b 0 7 1 2 HE  29  15  1
0 17  16  b 0 7 2 0 HE  28  15  3
0 17  16  b 0 7 2 1 HE  24  15  2
0 17  16  b 0 7 2 2 HE  24  15  1
0 17  16  b 0 7 3 0 HE  27  16  1
0 17  16  b 0 7 3 1 HE  27  16  2
0 17  16  b 0 7 3 2 HE  29  16  2
0 17  16  b 0 7 4 0 HE  27  16  3
0 17  16  b 0 7 4 1 HE  23  16  2
0 17  16  b 0 7 4 2 HE  23  16  1
0 17  16  b 0 7 5 0 HE  19  15  2
0 17  16  b 0 7 5 1 HE  20  15  1
0 17  16  b 0 7 5 2 HE  22  15  2
0 17  16  b 0 7 6 0 HE  19  15  1
0 17  16  b 0 7 6 1 HE  20  15  2
0 17  16  b 0 7 6 2 HE  22  15  1
0 17  16  b 0 7 7 0 HE  19  16  2
0 17  16  b 0 7 7 1 HE  20  16  1
0 17  16  b 0 7 7 2 HE  21  16  2
0 17  16  b 0 7 8 0 HE  19  16  1
0 17  16  b 0 7 8 1 HE  20  16  2
0 17  16  b 0 7 8 2 HE  21  16  1


0 17  14  t 0 2 1 0 HB  11  11  1
0 17  14  t 0 2 1 1 HB  7 11  1
0 17  14  t 0 2 1 2 HB  3 11  1
0 17  14  t 0 2 2 0 HB  5 11  1
0 17  14  t 0 2 2 1 HB  1 11  1
0 17  14  t 0 2 2 2 HB  9 11  1
0 17  14  t 0 2 3 0 HB  11  12  1
0 17  14  t 0 2 3 1 HB  7 12  1
0 17  14  t 0 2 3 2 HB  3 12  1
0 17  14  t 0 2 4 0 HB  5 12  1
0 17  14  t 0 2 4 1 HB  1 12  1
0 17  14  t 0 2 4 2 HB  9 12  1
0 17  14  t 0 2 5 0 HB  10  11  1
0 17  14  t 0 2 5 1 HB  6 11  1
0 17  14  t 0 2 5 2 HB  2 11  1
0 17  14  t 0 2 6 0 HB  8 11  1
0 17  14  t 0 2 6 1 HB  4 11  1
0 17  14  t 0 2 6 2 HB  12  11  1
0 17  14  t 0 2 7 0 HB  10  12  1
0 17  14  t 0 2 7 1 HB  6 12  1
0 17  14  t 0 2 7 2 HB  2 12  1
0 17  14  t 0 2 8 0 HB  8 12  1
0 17  14  t 0 2 8 1 HB  4 12  1
0 17  14  t 0 2 8 2 HB  12  12  1
0 17  14  b 0 3 1 0 HB  16  11  2
0 17  14  b 0 3 1 1 HB  15  11  2
0 17  14  b 0 3 1 2 HB  14  11  1
0 17  14  b 0 3 2 0 HB  15  11  1
0 17  14  b 0 3 2 1 HB  13  11  1
0 17  14  b 0 3 2 2 HB  16  11  1
0 17  14  b 0 3 3 0 HB  16  12  2
0 17  14  b 0 3 3 1 HB  15  12  2
0 17  14  b 0 3 3 2 HB  14  12  1
0 17  14  b 0 3 4 0 HB  15  12  1
0 17  14  b 0 3 4 1 HB  13  12  1
0 17  14  b 0 3 4 2 HB  16  12  1

0 17  18  t 0 10  1 0 HB  11  15  1
0 17  18  t 0 10  1 1 HB  7 15  1
0 17  18  t 0 10  1 2 HB  3 15  1
0 17  18  t 0 10  2 0 HB  5 15  1
0 17  18  t 0 10  2 1 HB  1 15  1
0 17  18  t 0 10  2 2 HB  9 15  1
0 17  18  t 0 10  3 0 HB  11  16  1
0 17  18  t 0 10  3 1 HB  7 16  1
0 17  18  t 0 10  3 2 HB  3 16  1
0 17  18  t 0 10  4 0 HB  5 16  1
0 17  18  t 0 10  4 1 HB  1 16  1
0 17  18  t 0 10  4 2 HB  9 16  1
0 17  18  t 0 10  5 0 HB  10  15  1
0 17  18  t 0 10  5 1 HB  6 15  1
0 17  18  t 0 10  5 2 HB  2 15  1
0 17  18  t 0 10  6 0 HB  8 15  1
0 17  18  t 0 10  6 1 HB  4 15  1
0 17  18  t 0 10  6 2 HB  12  15  1
0 17  18  t 0 10  7 0 HB  10  16  1
0 17  18  t 0 10  7 1 HB  6 16  1
0 17  18  t 0 10  7 2 HB  2 16  1
0 17  18  t 0 10  8 0 HB  8 16  1
0 17  18  t 0 10  8 1 HB  4 16  1
0 17  18  t 0 10  8 2 HB  12  16  1
0 17  15  b 0 5 1 0 HB  16  15  2
0 17  15  b 0 5 1 1 HB  15  15  2
0 17  15  b 0 5 1 2 HB  14  15  1
0 17  15  b 0 5 2 0 HB  15  15  1
0 17  15  b 0 5 2 1 HB  13  15  1
0 17  15  b 0 5 2 2 HB  16  15  1
0 17  15  b 0 5 3 0 HB  16  16  2
0 17  15  b 0 5 3 1 HB  15  16  2
0 17  15  b 0 5 3 2 HB  14  16  1
0 17  15  b 0 5 4 0 HB  15  16  1
0 17  15  b 0 5 4 1 HB  13  16  1
0 17  15  b 0 5 4 2 HB  16  16  1












#                       
# SiPM  Config  ONLY: Ring-0  "phi=3,"  phi=4 is  connected to  RM1   
# i cr  sl  tb  dcc spigot  fiber fiberchan subdet  ieta  iphi  depth
#                       
0 1  17  t 0 8 3 0 HB  1 4 15  
0 1  17  t 0 8 6 2 HB  2 4 15  
0 1  17  t 0 8 6 0 HB  3 4 15  
0 1  17  t 0 8 5 0 HB  4 4 15  
0 1  17  t 0 8 4 0 HB  1 3 15  
0 1  17  t 0 8 4 1 HB  2 3 15  
0 1  17  t 0 8 6 1 HB  3 3 15  
0 1  17  t 0 8 5 2 HB  4 3 15  
#                       
# SiPM  Config  ONLY: Ring-0  "phi=5,"  phi=6 is  connected to  RM2   
# i cr  sl  tb  dcc spigot  fiber fiberchan subdet  ieta  iphi  depth
#                       
0 1  17  b 0 9 3 0 HB  1 6 15  
0 1  17  b 0 9 6 2 HB  2 6 15  
0 1  17  b 0 9 6 0 HB  3 6 15  
0 1  17  b 0 9 5 0 HB  4 6 15  
0 1  17  b 0 9 4 0 HB  1 5 15  
0 1  17  b 0 9 4 1 HB  2 5 15  
0 1  17  b 0 9 6 1 HB  3 5 15  
0 1  17  b 0 9 5 2 HB  4 5 15  
#                       
# SiPM  Config. ONLY: Ring+1  "phi=4,3,2" is  connected to  RM3     
# i cr  sl  tb  dcc spigot  fiber fiberchan subdet  ieta  iphi  depth
#                       
0 1  18  b 0 11  5 0 HB  5 4 15  
0 1  18  b 0 11  6 2 HB  6 4 15  
0 1  18  b 0 11  3 0 HB  7 4 15  
0 1  18  b 0 11  4 2 HB  8 4 15
0 1  18  b 0 11  1 0 HB  9 4 15
0 1  18  b 0 11  2 2 HB  10  4 15
0 1  18  b 0 11  5 1 HB  5 3 15
0 1  18  b 0 11  6 0 HB  6 3 15
0 1  18  b 0 11  3 1 HB  7 3 15
0 1  18  b 0 11  4 0 HB  8 3 15
0 1  18  b 0 11  1 1 HB  9 3 15
0 1  18  b 0 11  2 0 HB  10  3 15
0 1  18  b 0 11  5 2 HB  5 2 15
0 1  18  b 0 11  6 1 HB  6 2 15
0 1  18  b 0 11  3 2 HB  7 2 15
0 1  18  b 0 11  4 1 HB  8 2 15
0 1  18  b 0 11  1 2 HB  9 2 15
0 1  18  b 0 11  2 1 HB  10  2 15



# Cfcal hpk                 
0 1  14  t 0 2 4 1 HB  9 14  1
0 1  14  t 0 2 4 2 HB  9 34  1
0 1  14  t 0 2 7 1 HB  8 34  1
0 1  14  t 0 2 8 1 HB  7 34  1
0 1  14  t 0 2 8 2 HB  8 14  1
0 1  14  b 0 3 3 1 HB  7 14  1
0 1  14  b 0 3 4 1 HB  6 14  1
0 1  14  b 0 3 4 2 HB  6 34  1

# cfcal ketek                 
