#i cr sl tb dcc spigot  fiber fibcha  subdet  ieta  iphi  depth
0 1  14  t 0 2 0 0 HB  11  11  1
0 1  14  t 0 2 0 1 HB  7 11  1
0 1  14  t 0 2 0 2 HB  3 11  1
0 1  14  t 0 2 1 0 HB  5 11  1
0 1  14  t 0 2 1 1 HB  1 11  1
0 1  14  t 0 2 1 2 HB  9 11  1
0 1  14  t 0 2 2 0 HB  11  12  1
0 1  14  t 0 2 2 1 HB  7 12  1
0 1  14  t 0 2 2 2 HB  3 12  1
0 1  14  t 0 2 3 0 HB  5 12  1
0 1  14  t 0 2 3 1 HB  1 12  1
0 1  14  t 0 2 3 2 HB  9 12  1
0 1  14  t 0 2 4 0 HB  10  11  1
0 1  14  t 0 2 4 1 HB  6 11  1
0 1  14  t 0 2 4 2 HB  2 11  1
0 1  14  t 0 2 5 0 HB  8 11  1
0 1  14  t 0 2 5 1 HB  4 11  1
0 1  14  t 0 2 5 2 HB  12  11  1
0 1  14  t 0 2 6 0 HB  10  12  1
0 1  14  t 0 2 6 1 HB  6 12  1
0 1  14  t 0 2 6 2 HB  2 12  1
0 1  14  t 0 2 7 0 HB  8 12  1
0 1  14  t 0 2 7 1 HB  4 12  1
0 1  14  t 0 2 7 2 HB  12  12  1
0 1  14  b 0 3 0 0 HB  16  11  2
0 1  14  b 0 3 0 1 HB  15  11  2
0 1  14  b 0 3 0 2 HB  14  11  1
0 1  14  b 0 3 1 0 HB  15  11  1
0 1  14  b 0 3 1 1 HB  13  11  1
0 1  14  b 0 3 1 2 HB  16  11  1
0 1  14  b 0 3 2 0 HB  16  12  2
0 1  14  b 0 3 2 1 HB  15  12  2
0 1  14  b 0 3 2 2 HB  14  12  1
0 1  14  b 0 3 3 0 HB  15  12  1
0 1  14  b 0 3 3 1 HB  13  12  1
0 1  14  b 0 3 3 2 HB  16  12  1

