DIRECT CHANNEL VIEWS
"name","maps_to","count","min_logic_id","max_logic_id","id1name","min_id1","max_id1","id2name","min_id2","max_id2","id3name","min_id3","max_id3","description"
DUMMY,DUMMY,1,-1,-1,,,,,,,,,,"A dummy logic_id for testing purposes"
ECAL,ECAL,1,1,1,,,,,,,,,,"The entire ECAL subdetector"
EB,EB,1,1000000000,1000000000,,,,,,,,,,"The entire ECAL Barrel"
EB_crystal_number,EB_crystal_number,62900,1011000001,1011361700,SM,0,36,crystal_number,1,1700,,,,"Crystals in ECAL barrel super-modules by number"
EB_crystal_index,EB_crystal_index,62900,1012000000,1012368419,SM,0,36,i,0,84,j,0,19,"Crystals in ECAL barrel super-modules by i,j index"
EB_elec_crystal_number,EB_elec_crystal_number,62900,1013000000,1013361699,SM,0,36,channel,0,1699,,,,"ECAL Barrel crystals, electronics numbering scheme"
EB_trigger_tower,EB_trigger_tower,2516,1021000001,1021360068,SM,0,36,trigger_tower,1,68,,,,"Trigger towers in the ECAL barrel super-modules"
EB_module,EB_module,148,1031000001,1031360004,SM,0,36,M,1,4,,,,"ECAL barrel modules"
EB_supermodule,EB_supermodule,37,1041000000,1041360036,SM,0,36,,,,,,,"ECAL barrel Super-Modules"
EB_HV_channel,EB_HV_channel,1258,1051000001,1051360034,SM,0,36,channel,1,34,,,,"ECAL Barrel High Voltage Channel"
EB_HV_board,EB_HV_board,148,1061000000,1061360006,SM,0,36,board#,0,6,,,,"ECAL Barrel High Voltage Board Number"
EB_LV_channel,EB_LV_channel,703,1071000001,1071360019,SM,0,36,channel,1,19,,,,"ECAL Barrel Low Voltage Channel"
EB_ESS_temp,EB_ESS_temp,296,1081000000,1081360007,SM,0,36,channel,0,7,,,,"ECAL Barrel ESS temperature channel"
EB_PTM_H_amb,EB_PTM_H_amb,148,1091000001,1091360004,SM,0,36,channel,1,4,,,,"ECAL Barrel Ambient humidity sensors"
EB_PTM_T_amb,EB_PTM_T_amb,370,1101000001,1101360010,SM,0,36,channel,1,10,,,,"ECAL Barrel Ambient temperature sensors"
EB_token_ring,EB_token_ring,296,1111000001,1111360008,SM,0,36,channel,1,8,,,,"ECAL Barrel Token Ring"
EB_LM_channel,EB_LM_channel,333,1121000001,1121360009,SM,0,36,channel,1,9,,,,"ECAL Barrel Laser Monitoring"
EB_LM_PN,EB_LM_PN,370,1131000000,1131360009,SM,0,36,channel,0,9,,,,"ECAL Barrel Laser Monitoring PN numbers"
EB_T_capsule,EB_T_capsule,6290,1141000001,1141360170,SM,0,36,channel,1,170,,,,"Ecal Barrel Capsule temperature sensors"
EB_VFE,EB_VFE,12580,1151000101,1151366805,SM,0,36,TT,1,68,VFE#,1,5,"Ecal Barrel Very Front End cards"
EB_LVRB_DCU,EB_LVRB_DCU,7548,1161000101,1161366803,SM,0,36,TT,1,68,LVRB_DCU#,1,3,"Ecal Barrel DCUs on the LVRB"
EB_LVRB_T_sensor,EB_LVRB_T_sensor,7548,1171000101,1171366803,SM,0,36,TT,1,68,T_sens#,1,3,"Ecal Barrel thermisters on the LVRB"
EB_mem_TT,EB_mem_TT,74,1181000069,1181360070,SM,0,36,TT,69,70,,,,"Supermodule mem box pseudo trigger tower"
EB_mem_channel,EB_mem_channel,1850,1191000001,1191360050,SM,0,36,channel,1,50,,,,"Supermodule mem box pseudo channel"
EE,EE,1,2000000001,2000000001,,,,,,,,,,"The entire ECAL Endcap"

CHANNEL VIEW MAPPINGS
"name","maps_to","count","min_logic_id","max_logic_id","id1name","min_id1","max_id1","id2name","min_id2","max_id2","id3name","min_id3","max_id3","description"
Offline_det_id,EB_crystal_number,62900,1011000001,1011361700,det_id,838861313,838970216,,,,,,,"DetID rawid() as used in CMSSW"
EB_crystal_angle,EB_crystal_number,62900,1011000001,1011361700,ieta,-85,85,iphi,1,360,,,,"Crystals in ECAL barrel super-modules by angle index"
EB_elec_crystal_number,EB_crystal_number,62900,1011000001,1011361700,SM,0,36,channel,0,1699,,,,"ECAL Barrel crystals, electronics numbering scheme"
EB_T_capsule,EB_crystal_number,6290,1011000041,1011361659,SM,0,36,channel,1,170,,,,"Ecal Barrel Capsule temperature sensors"
EB_crystal_number,EB_elec_crystal_number,62900,1013000000,1013361699,SM,0,36,crystal_number,1,1700,,,,"Crystals in ECAL barrel super-modules by number"
EB_crystal_number,EB_trigger_tower,62900,1021000001,1021360068,SM,0,36,crystal_number,1,1700,,,,"Crystals in ECAL barrel super-modules by number"
EB_crystal_number,EB_module,62900,1031000001,1031360004,SM,0,36,crystal_number,1,1700,,,,"Crystals in ECAL barrel super-modules by number"
EB_crystal_number,EB_HV_channel,62900,1051000001,1051360034,SM,0,36,crystal_number,1,1700,,,,"Crystals in ECAL barrel super-modules by number"
EB_crystal_number,EB_LV_channel,62900,1071000001,1071360017,SM,0,36,crystal_number,1,1700,,,,"Crystals in ECAL barrel super-modules by number"
EB_crystal_number,EB_LM_channel,62900,1121000001,1121360009,SM,0,36,crystal_number,1,1700,,,,"Crystals in ECAL barrel super-modules by number"
EB_crystal_number,EB_LM_PN,62900,1131000000,1131360009,SM,0,36,crystal_number,1,1700,,,,"Crystals in ECAL barrel super-modules by number"
EB_crystal_number,EB_T_capsule,62900,1141000001,1141360170,SM,0,36,crystal_number,1,1700,,,,"Crystals in ECAL barrel super-modules by number"
EB_crystal_number,EB_VFE,62900,1151000101,1151366805,SM,0,36,crystal_number,1,1700,,,,"Crystals in ECAL barrel super-modules by number"
