INJECTION SCHEME : 25ns_339b_326_206_266_12bpi_31inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_2,	41,		25,		12,		0,	1
2,	1,	ring_1,	161,		25,		12,		0,	1
3,	2,	ring_1,	631,		25,		12,		0,	1
4,	2,	ring_2,	631,		25,		12,		0,	1
5,	3,	ring_1,	1101,		25,		12,		0,	1
6,	3,	ring_2,	1101,		25,		12,		0,	1
7,	4,	ring_1,	1571,		25,		12,		0,	1
8,	4,	ring_2,	1571,		25,		12,		0,	1
9,	5,	ring_1,	2041,		25,		12,		0,	1
10,	5,	ring_2,	2041,		25,		12,		0,	1
11,	6,	ring_1,	2511,		25,		12,		0,	1
12,	6,	ring_2,	2511,		25,		12,		0,	1
13,	7,	ring_1,	2981,		25,		12,		0,	1
14,	7,	ring_2,	2981,		25,		12,		0,	1
15,	8,	ring_1,	6011,		0,		1,		0,	1
16,	8,	ring_2,	6011,		0,		1,		0,	1
17,	9,	ring_1,	8981,		25,		12,		0,	1
18,	9,	ring_2,	8981,		25,		12,		0,	1
19,	10,	ring_1,	9451,		25,		12,		0,	1
20,	10,	ring_2,	9451,		25,		12,		0,	1
21,	11,	ring_1,	9921,		25,		12,		0,	1
22,	11,	ring_2,	9921,		25,		12,		0,	1
23,	12,	ring_1,	10391,		25,		12,		0,	1
24,	12,	ring_2,	10391,		25,		12,		0,	1
25,	13,	ring_1,	10861,		25,		12,		0,	1
26,	13,	ring_2,	10861,		25,		12,		0,	1
27,	14,	ring_1,	11331,		25,		12,		0,	1
28,	14,	ring_2,	11331,		25,		12,		0,	1
29,	15,	ring_1,	11801,		25,		12,		0,	1
30,	15,	ring_2,	11801,		25,		12,		0,	1
31,	16,	ring_2,	14921,		0,		1,		0,	1
32,	16,	ring_1,	14951,		0,		1,		0,	1
33,	17,	ring_1,	17921,		25,		12,		0,	1
34,	17,	ring_2,	17921,		25,		12,		0,	1
35,	18,	ring_1,	18391,		25,		12,		0,	1
36,	18,	ring_2,	18391,		25,		12,		0,	1
37,	19,	ring_1,	18861,		25,		12,		0,	1
38,	19,	ring_2,	18861,		25,		12,		0,	1
39,	20,	ring_1,	19331,		25,		12,		0,	1
40,	20,	ring_2,	19331,		25,		12,		0,	1
41,	21,	ring_1,	19801,		25,		12,		0,	1
42,	21,	ring_2,	19801,		25,		12,		0,	1
43,	22,	ring_1,	20271,		25,		12,		0,	1
44,	22,	ring_2,	20271,		25,		12,		0,	1
45,	23,	ring_1,	20741,		25,		12,		0,	1
46,	23,	ring_2,	20741,		25,		12,		0,	1
47,	24,	ring_1,	23861,		0,		1,		0,	1
48,	24,	ring_2,	23861,		0,		1,		0,	1
49,	25,	ring_1,	26861,		25,		12,		0,	1
50,	25,	ring_2,	26861,		25,		12,		0,	1
51,	26,	ring_1,	27331,		25,		12,		0,	1
52,	26,	ring_2,	27331,		25,		12,		0,	1
53,	27,	ring_1,	27801,		25,		12,		0,	1
54,	27,	ring_2,	27801,		25,		12,		0,	1
55,	28,	ring_1,	28271,		25,		12,		0,	1
56,	28,	ring_2,	28271,		25,		12,		0,	1
57,	29,	ring_1,	28741,		25,		12,		0,	1
58,	29,	ring_2,	28741,		25,		12,		0,	1
59,	30,	ring_1,	29211,		25,		12,		0,	1
60,	30,	ring_2,	29211,		25,		12,		0,	1
61,	31,	ring_1,	29681,		25,		12,		0,	1
62,	31,	ring_2,	29681,		25,		12,		0,	1
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/339
Tot number of B2 bunches(probe/Nominal) : 0/339

Tot number of B1 injections : 31
Tot number of B2 injections : 31

Collisions at IP1&5: 326
B1-empty at IP1&5: 13
B2-empty at IP1&5: 13
Empty-empty at IP1&5: 3212

Collisions at IP2: 206
B1-empty at IP2: 133
B2-empty at IP2: 133
Empty-empty at IP2: 3092

Collisions at IP8: 266
B1-empty at IP8: 73
B2-empty at IP8: 73
Empty-empty at IP8: 3152

LONG RANGE COLL IN IRIP1
RFbucketbeam1,RFbucketbeam2,z-pos/m
211,41,-63.64
221,51,-63.64
231,61,-63.64
241,71,-63.64
251,81,-63.64
261,91,-63.64
271,101,-63.64
201,41,-59.89
211,51,-59.89
221,61,-59.89
231,71,-59.89
241,81,-59.89
251,91,-59.89
261,101,-59.89
271,111,-59.89
191,41,-56.15
201,51,-56.15
211,61,-56.15
221,71,-56.15
231,81,-56.15
241,91,-56.15
251,101,-56.15
261,111,-56.15
271,121,-56.15
181,41,-52.41
191,51,-52.41
201,61,-52.41
211,71,-52.41
221,81,-52.41
231,91,-52.41
241,101,-52.41
251,111,-52.41
261,121,-52.41
271,131,-52.41
171,41,-48.66
181,51,-48.66
191,61,-48.66
201,71,-48.66
211,81,-48.66
221,91,-48.66
231,101,-48.66
241,111,-48.66
251,121,-48.66
261,131,-48.66
271,141,-48.66
161,41,-44.92
171,51,-44.92
181,61,-44.92
191,71,-44.92
201,81,-44.92
211,91,-44.92
221,101,-44.92
231,111,-44.92
241,121,-44.92
251,131,-44.92
261,141,-44.92
271,151,-44.92
161,51,-41.18
171,61,-41.18
181,71,-41.18
191,81,-41.18
201,91,-41.18
211,101,-41.18
221,111,-41.18
231,121,-41.18
241,131,-41.18
251,141,-41.18
261,151,-41.18
741,631,-41.18
1211,1101,-41.18
1681,1571,-41.18
2151,2041,-41.18
2621,2511,-41.18
3091,2981,-41.18
9091,8981,-41.18
9561,9451,-41.18
10031,9921,-41.18
10501,10391,-41.18
10971,10861,-41.18
11441,11331,-41.18
11911,11801,-41.18
18031,17921,-41.18
18501,18391,-41.18
18971,18861,-41.18
19441,19331,-41.18
19911,19801,-41.18
20381,20271,-41.18
20851,20741,-41.18
26971,26861,-41.18
27441,27331,-41.18
27911,27801,-41.18
28381,28271,-41.18
28851,28741,-41.18
29321,29211,-41.18
29791,29681,-41.18
161,61,-37.43
171,71,-37.43
181,81,-37.43
191,91,-37.43
201,101,-37.43
211,111,-37.43
221,121,-37.43
231,131,-37.43
241,141,-37.43
251,151,-37.43
731,631,-37.43
741,641,-37.43
1201,1101,-37.43
1211,1111,-37.43
1671,1571,-37.43
1681,1581,-37.43
2141,2041,-37.43
2151,2051,-37.43
2611,2511,-37.43
2621,2521,-37.43
3081,2981,-37.43
3091,2991,-37.43
9081,8981,-37.43
9091,8991,-37.43
9551,9451,-37.43
9561,9461,-37.43
10021,9921,-37.43
10031,9931,-37.43
10491,10391,-37.43
10501,10401,-37.43
10961,10861,-37.43
10971,10871,-37.43
11431,11331,-37.43
11441,11341,-37.43
11901,11801,-37.43
11911,11811,-37.43
18021,17921,-37.43
18031,17931,-37.43
18491,18391,-37.43
18501,18401,-37.43
18961,18861,-37.43
18971,18871,-37.43
19431,19331,-37.43
19441,19341,-37.43
19901,19801,-37.43
19911,19811,-37.43
20371,20271,-37.43
20381,20281,-37.43
20841,20741,-37.43
20851,20751,-37.43
26961,26861,-37.43
26971,26871,-37.43
27431,27331,-37.43
27441,27341,-37.43
27901,27801,-37.43
27911,27811,-37.43
28371,28271,-37.43
28381,28281,-37.43
