INJECTION SCHEME : 100_150ns_260Pb_244_240_35_24bpi_13inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_1,	1,		100,		4,		0,	1
2,	1,	ring_2,	1,		100,		4,		0,	1
3,	2,	ring_1,	861,		100,		4,		450,	6
4,	2,	ring_2,	861,		100,		4,		450,	6
5,	3,	ring_1,	3151,		100,		4,		450,	6
6,	3,	ring_2,	3151,		100,		4,		450,	6
7,	4,	ring_1,	5851,		100,		4,		450,	4
8,	4,	ring_2,	5851,		100,		4,		450,	4
9,	5,	ring_1,	9771,		100,		4,		450,	6
10,	5,	ring_2,	9771,		100,		4,		450,	6
11,	6,	ring_1,	12061,		100,		4,		450,	6
12,	6,	ring_2,	12061,		100,		4,		450,	6
13,	7,	ring_1,	14761,		100,		4,		450,	4
14,	7,	ring_2,	14761,		100,		4,		450,	4
15,	8,	ring_1,	18681,		100,		4,		450,	6
16,	8,	ring_2,	18681,		100,		4,		450,	6
17,	9,	ring_1,	20971,		100,		4,		450,	6
18,	9,	ring_2,	20971,		100,		4,		450,	6
19,	10,	ring_2,	23671,		100,		4,		450,	4
20,	10,	ring_1,	23701,		100,		4,		450,	4
21,	11,	ring_1,	27591,		100,		4,		450,	6
22,	11,	ring_2,	27591,		100,		4,		450,	6
23,	12,	ring_1,	29881,		100,		4,		450,	6
24,	12,	ring_2,	29881,		100,		4,		450,	6
25,	13,	ring_1,	32611,		100,		4,		450,	4
26,	13,	ring_2,	32611,		100,		4,		450,	4
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/260
Tot number of B2 bunches(probe/Nominal) : 0/260

Tot number of B1 injections : 13
Tot number of B2 injections : 13

Collisions at IP1&5: 244
B1-empty at IP1&5: 16
B2-empty at IP1&5: 16
Empty-empty at IP1&5: 3288

Collisions at IP2: 240
B1-empty at IP2: 20
B2-empty at IP2: 20
Empty-empty at IP2: 3284

Collisions at IP8: 35
B1-empty at IP8: 225
B2-empty at IP8: 225
Empty-empty at IP8: 3079

LONG RANGE COLL IN IRIP1
RFbucketbeam1,RFbucketbeam2,z-pos/m
23881,23711,-63.64
23921,23751,-63.64
23961,23791,-63.64
24061,23891,-63.64
24101,23931,-63.64
24141,23971,-63.64
24241,24071,-63.64
24281,24111,-63.64
24321,24151,-63.64
23821,23671,-56.15
24001,23851,-56.15
24181,24031,-56.15
24361,24211,-56.15
1041,901,-52.41
1081,941,-52.41
1121,981,-52.41
1221,1081,-52.41
1261,1121,-52.41
1301,1161,-52.41
1401,1261,-52.41
1441,1301,-52.41
1481,1341,-52.41
1581,1441,-52.41
1621,1481,-52.41
1661,1521,-52.41
1761,1621,-52.41
1801,1661,-52.41
1841,1701,-52.41
3331,3191,-52.41
3371,3231,-52.41
3411,3271,-52.41
3511,3371,-52.41
3551,3411,-52.41
3591,3451,-52.41
3691,3551,-52.41
3731,3591,-52.41
3771,3631,-52.41
3871,3731,-52.41
3911,3771,-52.41
3951,3811,-52.41
4051,3911,-52.41
4091,3951,-52.41
4131,3991,-52.41
6031,5891,-52.41
6071,5931,-52.41
6111,5971,-52.41
6211,6071,-52.41
6251,6111,-52.41
6291,6151,-52.41
6391,6251,-52.41
6431,6291,-52.41
6471,6331,-52.41
9951,9811,-52.41
9991,9851,-52.41
10031,9891,-52.41
10131,9991,-52.41
10171,10031,-52.41
10211,10071,-52.41
10311,10171,-52.41
10351,10211,-52.41
10391,10251,-52.41
10491,10351,-52.41
10531,10391,-52.41
10571,10431,-52.41
10671,10531,-52.41
10711,10571,-52.41
10751,10611,-52.41
12241,12101,-52.41
12281,12141,-52.41
12321,12181,-52.41
12421,12281,-52.41
12461,12321,-52.41
12501,12361,-52.41
12601,12461,-52.41
12641,12501,-52.41
12681,12541,-52.41
12781,12641,-52.41
12821,12681,-52.41
12861,12721,-52.41
12961,12821,-52.41
13001,12861,-52.41
13041,12901,-52.41
14941,14801,-52.41
14981,14841,-52.41
15021,14881,-52.41
15121,14981,-52.41
15161,15021,-52.41
15201,15061,-52.41
15301,15161,-52.41
15341,15201,-52.41
15381,15241,-52.41
18861,18721,-52.41
18901,18761,-52.41
18941,18801,-52.41
19041,18901,-52.41
19081,18941,-52.41
19121,18981,-52.41
19221,19081,-52.41
19261,19121,-52.41
19301,19161,-52.41
19401,19261,-52.41
19441,19301,-52.41
19481,19341,-52.41
19581,19441,-52.41
19621,19481,-52.41
19661,19521,-52.41
21151,21011,-52.41
21191,21051,-52.41
21231,21091,-52.41
21331,21191,-52.41
21371,21231,-52.41
21411,21271,-52.41
21511,21371,-52.41
21551,21411,-52.41
21591,21451,-52.41
21691,21551,-52.41
21731,21591,-52.41
21771,21631,-52.41
21871,21731,-52.41
21911,21771,-52.41
21951,21811,-52.41
27771,27631,-52.41
27811,27671,-52.41
27851,27711,-52.41
27951,27811,-52.41
27991,27851,-52.41
28031,27891,-52.41
28131,27991,-52.41
28171,28031,-52.41
28211,28071,-52.41
28311,28171,-52.41
28351,28211,-52.41
28391,28251,-52.41
28491,28351,-52.41
28531,28391,-52.41
28571,28431,-52.41
30061,29921,-52.41
30101,29961,-52.41
30141,30001,-52.41
30241,30101,-52.41
30281,30141,-52.41
30321,30181,-52.41
30421,30281,-52.41
30461,30321,-52.41
30501,30361,-52.41
30601,30461,-52.41
30641,30501,-52.41
30681,30541,-52.41
30781,30641,-52.41
30821,30681,-52.41
30861,30721,-52.41
32791,32651,-52.41
32831,32691,-52.41
32871,32731,-52.41
32971,32831,-52.41
33011,32871,-52.41
33051,32911,-52.41
33151,33011,-52.41
33191,33051,-52.41
33231,33091,-52.41
23881,23751,-48.66
23921,23791,-48.66
24061,23931,-48.66
24101,23971,-48.66
24241,24111,-48.66
24281,24151,-48.66
121,1,-44.92
981,861,-44.92
1161,1041,-44.92
1341,1221,-44.92
1521,1401,-44.92
1701,1581,-44.92
1881,1761,-44.92
3271,3151,-44.92
3451,3331,-44.92
3631,3511,-44.92
3811,3691,-44.92
3991,3871,-44.92
4171,4051,-44.92
5971,5851,-44.92
6151,6031,-44.92
6331,6211,-44.92
6511,6391,-44.92
9891,9771,-44.92
10071,9951,-44.92
10251,10131,-44.92
10431,10311,-44.92
10611,10491,-44.92
