INJECTION SCHEME : 100ns_734b_732_0_0_72bpi_13inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_2,	61,		0,		1,		0,	1
2,	1,	ring_1,	101,		0,		1,		0,	1
3,	2,	ring_2,	381,		0,		1,		0,	1
4,	2,	ring_1,	421,		0,		1,		0,	1
5,	3,	ring_1,	861,		100,		12,		0,	1
6,	3,	ring_2,	861,		100,		12,		0,	1
7,	4,	ring_1,	1741,		100,		18,		1900,	4
8,	4,	ring_2,	1741,		100,		18,		1900,	4
9,	5,	ring_1,	5021,		100,		18,		1900,	4
10,	5,	ring_2,	5021,		100,		18,		1900,	4
11,	6,	ring_1,	8301,		100,		18,		1900,	4
12,	6,	ring_2,	8301,		100,		18,		1900,	4
13,	7,	ring_1,	11581,		100,		18,		1900,	4
14,	7,	ring_2,	11581,		100,		18,		1900,	4
15,	8,	ring_1,	14861,		100,		18,		1900,	4
16,	8,	ring_2,	14861,		100,		18,		1900,	4
17,	9,	ring_1,	18141,		100,		18,		1900,	4
18,	9,	ring_2,	18141,		100,		18,		1900,	4
19,	10,	ring_1,	21421,		100,		18,		1900,	4
20,	10,	ring_2,	21421,		100,		18,		1900,	4
21,	11,	ring_1,	24701,		100,		18,		1900,	4
22,	11,	ring_2,	24701,		100,		18,		1900,	4
23,	12,	ring_1,	27981,		100,		18,		1900,	4
24,	12,	ring_2,	27981,		100,		18,		1900,	4
25,	13,	ring_1,	31261,		100,		18,		1900,	4
26,	13,	ring_2,	31261,		100,		18,		1900,	4
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/734
Tot number of B2 bunches(probe/Nominal) : 0/734

Tot number of B1 injections : 13
Tot number of B2 injections : 13

Collisions at IP1&5: 732
B1-empty at IP1&5: 2
B2-empty at IP1&5: 2
Empty-empty at IP1&5: 2828

Collisions at IP2: 0
B1-empty at IP2: 734
B2-empty at IP2: 734
Empty-empty at IP2: 2096

Collisions at IP8: 0
B1-empty at IP8: 734
B2-empty at IP8: 734
Empty-empty at IP8: 2096

LONG RANGE COLL IN IRIP1
RFbucketbeam1,RFbucketbeam2,z-pos/m
1021,861,-59.89
1061,901,-59.89
1101,941,-59.89
1141,981,-59.89
1181,1021,-59.89
1221,1061,-59.89
1261,1101,-59.89
1301,1141,-59.89
1901,1741,-59.89
1941,1781,-59.89
1981,1821,-59.89
2021,1861,-59.89
2061,1901,-59.89
2101,1941,-59.89
2141,1981,-59.89
2181,2021,-59.89
2221,2061,-59.89
2261,2101,-59.89
2301,2141,-59.89
2341,2181,-59.89
2381,2221,-59.89
2421,2261,-59.89
2501,2341,-59.89
2541,2381,-59.89
2581,2421,-59.89
2661,2501,-59.89
2701,2541,-59.89
2741,2581,-59.89
2781,2621,-59.89
2821,2661,-59.89
2861,2701,-59.89
2901,2741,-59.89
2941,2781,-59.89
2981,2821,-59.89
3021,2861,-59.89
3061,2901,-59.89
3101,2941,-59.89
3141,2981,-59.89
3181,3021,-59.89
3261,3101,-59.89
3301,3141,-59.89
3341,3181,-59.89
3421,3261,-59.89
3461,3301,-59.89
3501,3341,-59.89
3541,3381,-59.89
3581,3421,-59.89
3621,3461,-59.89
3661,3501,-59.89
3701,3541,-59.89
3741,3581,-59.89
3781,3621,-59.89
3821,3661,-59.89
3861,3701,-59.89
3901,3741,-59.89
3941,3781,-59.89
4021,3861,-59.89
4061,3901,-59.89
4101,3941,-59.89
4181,4021,-59.89
4221,4061,-59.89
4261,4101,-59.89
4301,4141,-59.89
4341,4181,-59.89
4381,4221,-59.89
4421,4261,-59.89
4461,4301,-59.89
4501,4341,-59.89
4541,4381,-59.89
4581,4421,-59.89
4621,4461,-59.89
4661,4501,-59.89
4701,4541,-59.89
5181,5021,-59.89
5221,5061,-59.89
5261,5101,-59.89
5301,5141,-59.89
5341,5181,-59.89
5381,5221,-59.89
5421,5261,-59.89
5461,5301,-59.89
5501,5341,-59.89
5541,5381,-59.89
5581,5421,-59.89
5621,5461,-59.89
5661,5501,-59.89
5701,5541,-59.89
5781,5621,-59.89
5821,5661,-59.89
5861,5701,-59.89
5941,5781,-59.89
5981,5821,-59.89
6021,5861,-59.89
6061,5901,-59.89
6101,5941,-59.89
6141,5981,-59.89
6181,6021,-59.89
6221,6061,-59.89
6261,6101,-59.89
6301,6141,-59.89
6341,6181,-59.89
6381,6221,-59.89
6421,6261,-59.89
6461,6301,-59.89
6541,6381,-59.89
6581,6421,-59.89
6621,6461,-59.89
6701,6541,-59.89
6741,6581,-59.89
6781,6621,-59.89
6821,6661,-59.89
6861,6701,-59.89
6901,6741,-59.89
6941,6781,-59.89
6981,6821,-59.89
7021,6861,-59.89
7061,6901,-59.89
7101,6941,-59.89
7141,6981,-59.89
7181,7021,-59.89
7221,7061,-59.89
7301,7141,-59.89
7341,7181,-59.89
7381,7221,-59.89
