INJECTION SCHEME : 75_150ns_733Pb_733_702_468_42bpi_20inj

idx,inj Nbr,	Ring,RF Bucket,Bu Spac (ns),bu per PS batch,SPS Batch spac,PSbatch nbr
1,	1,	ring_1,	1,		100,		4,		0,	1
2,	1,	ring_2,	1,		100,		4,		0,	1
3,	2,	ring_1,	491,		75,		3,		300,	12
4,	2,	ring_2,	491,		75,		3,		300,	12
5,	3,	ring_1,	2191,		75,		3,		300,	14
6,	3,	ring_2,	2191,		75,		3,		300,	14
7,	4,	ring_1,	4131,		75,		3,		300,	14
8,	4,	ring_2,	4131,		75,		3,		300,	14
9,	5,	ring_1,	6071,		75,		3,		300,	14
10,	5,	ring_2,	6071,		75,		3,		300,	14
11,	6,	ring_1,	8061,		75,		3,		300,	7
12,	6,	ring_2,	8061,		75,		3,		300,	7
13,	7,	ring_1,	9161,		75,		3,		300,	14
14,	7,	ring_2,	9161,		75,		3,		300,	14
15,	8,	ring_1,	11101,		75,		3,		300,	14
16,	8,	ring_2,	11101,		75,		3,		300,	14
17,	9,	ring_1,	13041,		75,		3,		300,	14
18,	9,	ring_2,	13041,		75,		3,		300,	14
19,	10,	ring_1,	14981,		75,		3,		300,	14
20,	10,	ring_2,	14981,		75,		3,		300,	14
21,	11,	ring_1,	16971,		75,		3,		300,	7
22,	11,	ring_2,	16971,		75,		3,		300,	7
23,	12,	ring_1,	18071,		75,		3,		300,	14
24,	12,	ring_2,	18071,		75,		3,		300,	14
25,	13,	ring_1,	20011,		75,		3,		300,	14
26,	13,	ring_2,	20011,		75,		3,		300,	14
27,	14,	ring_1,	21951,		75,		3,		300,	14
28,	14,	ring_2,	21951,		75,		3,		300,	14
29,	15,	ring_1,	23891,		75,		3,		300,	14
30,	15,	ring_2,	23891,		75,		3,		300,	14
31,	16,	ring_1,	25881,		75,		3,		300,	7
32,	16,	ring_2,	25881,		75,		3,		300,	7
33,	17,	ring_1,	26981,		75,		3,		300,	14
34,	17,	ring_2,	26981,		75,		3,		300,	14
35,	18,	ring_1,	28921,		75,		3,		300,	14
36,	18,	ring_2,	28921,		75,		3,		300,	14
37,	19,	ring_1,	30861,		75,		3,		300,	14
38,	19,	ring_2,	30861,		75,		3,		300,	14
39,	20,	ring_1,	32801,		75,		3,		300,	14
40,	20,	ring_2,	32801,		75,		3,		300,	14
Bu Spac : space in ns between bunches in the same PS train
SPS Batch Spac : space in ns between 2 first bunches of consecutive PS trains in the SPS

Tot number of B1 bunches(probe/Nominal) : 0/733
Tot number of B2 bunches(probe/Nominal) : 0/733

Tot number of B1 injections : 20
Tot number of B2 injections : 20

Collisions at IP1&5: 733
B1-empty at IP1&5: 0
B2-empty at IP1&5: 0
Empty-empty at IP1&5: 2831

Collisions at IP2: 702
B1-empty at IP2: 31
B2-empty at IP2: 31
Empty-empty at IP2: 2800

Collisions at IP8: 468
B1-empty at IP8: 265
B2-empty at IP8: 265
Empty-empty at IP8: 2566

LONG RANGE COLL IN IRIP1
RFbucketbeam1,RFbucketbeam2,z-pos/m
641,491,-56.15
671,521,-56.15
761,611,-56.15
791,641,-56.15
881,731,-56.15
911,761,-56.15
1001,851,-56.15
1031,881,-56.15
1121,971,-56.15
1151,1001,-56.15
1241,1091,-56.15
1271,1121,-56.15
1361,1211,-56.15
1391,1241,-56.15
1481,1331,-56.15
1511,1361,-56.15
1601,1451,-56.15
1631,1481,-56.15
1721,1571,-56.15
1751,1601,-56.15
1841,1691,-56.15
1871,1721,-56.15
2341,2191,-56.15
2371,2221,-56.15
2461,2311,-56.15
2491,2341,-56.15
2581,2431,-56.15
2611,2461,-56.15
2701,2551,-56.15
2731,2581,-56.15
2821,2671,-56.15
2851,2701,-56.15
2941,2791,-56.15
2971,2821,-56.15
3061,2911,-56.15
3091,2941,-56.15
3181,3031,-56.15
3211,3061,-56.15
3301,3151,-56.15
3331,3181,-56.15
3421,3271,-56.15
3451,3301,-56.15
3541,3391,-56.15
3571,3421,-56.15
3661,3511,-56.15
3691,3541,-56.15
3781,3631,-56.15
3811,3661,-56.15
4281,4131,-56.15
4311,4161,-56.15
4401,4251,-56.15
4431,4281,-56.15
4521,4371,-56.15
4551,4401,-56.15
4641,4491,-56.15
4671,4521,-56.15
4761,4611,-56.15
4791,4641,-56.15
4881,4731,-56.15
4911,4761,-56.15
5001,4851,-56.15
5031,4881,-56.15
5121,4971,-56.15
5151,5001,-56.15
5241,5091,-56.15
5271,5121,-56.15
5361,5211,-56.15
5391,5241,-56.15
5481,5331,-56.15
5511,5361,-56.15
5601,5451,-56.15
5631,5481,-56.15
5721,5571,-56.15
5751,5601,-56.15
6221,6071,-56.15
6251,6101,-56.15
6341,6191,-56.15
6371,6221,-56.15
6461,6311,-56.15
6491,6341,-56.15
6581,6431,-56.15
6611,6461,-56.15
6701,6551,-56.15
6731,6581,-56.15
6821,6671,-56.15
6851,6701,-56.15
6941,6791,-56.15
6971,6821,-56.15
7061,6911,-56.15
7091,6941,-56.15
7181,7031,-56.15
7211,7061,-56.15
7301,7151,-56.15
7331,7181,-56.15
7421,7271,-56.15
7451,7301,-56.15
7541,7391,-56.15
7571,7421,-56.15
7661,7511,-56.15
7691,7541,-56.15
8211,8061,-56.15
8241,8091,-56.15
8331,8181,-56.15
8361,8211,-56.15
8451,8301,-56.15
8481,8331,-56.15
8571,8421,-56.15
8601,8451,-56.15
8691,8541,-56.15
8721,8571,-56.15
8811,8661,-56.15
8841,8691,-56.15
9311,9161,-56.15
9341,9191,-56.15
9431,9281,-56.15
9461,9311,-56.15
9551,9401,-56.15
9581,9431,-56.15
9671,9521,-56.15
9701,9551,-56.15
9791,9641,-56.15
9821,9671,-56.15
9911,9761,-56.15
9941,9791,-56.15
10031,9881,-56.15
10061,9911,-56.15
10151,10001,-56.15
10181,10031,-56.15
10271,10121,-56.15
10301,10151,-56.15
10391,10241,-56.15
10421,10271,-56.15
10511,10361,-56.15
10541,10391,-56.15
10631,10481,-56.15
10661,10511,-56.15
10751,10601,-56.15
10781,10631,-56.15
11251,11101,-56.15
