cMVAv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula
0, ttbar, central, 1, -2.4, 2.4, 30, 300, 0, 1, "0.937935+(-(3.7358e-05*x))" 
0, ttbar, central, 0, -2.4, 2.4, 30, 300, 0, 1, "0.937935+(-(3.7358e-05*x))" 
0, ttbar, down, 1, -2.4, 2.4, 30, 50, 0, 1, "0.937935+((-(3.7358e-05*x))-0.068051397800445668)" 
0, ttbar, down, 1, -2.4, 2.4, 50, 70, 0, 1, "0.937935+((-(3.7358e-05*x))-0.034480810165405273)" 
0, ttbar, down, 1, -2.4, 2.4, 70, 100, 0, 1, "0.937935+((-(3.7358e-05*x))-0.026232736185193062)" 
0, ttbar, down, 1, -2.4, 2.4, 100, 140, 0, 1, "0.937935+((-(3.7358e-05*x))-0.028091128915548325)" 
0, ttbar, down, 1, -2.4, 2.4, 140, 200, 0, 1, "0.937935+((-(3.7358e-05*x))-0.033968690782785416)" 
0, ttbar, down, 1, -2.4, 2.4, 200, 300, 0, 1, "0.937935+((-(3.7358e-05*x))-0.07081526517868042)" 
0, ttbar, down, 0, -2.4, 2.4, 30, 50, 0, 1, "0.937935+((-(3.7358e-05*x))-0.034025698900222778)" 
0, ttbar, down, 0, -2.4, 2.4, 50, 70, 0, 1, "0.937935+((-(3.7358e-05*x))-0.017240405082702637)" 
0, ttbar, down, 0, -2.4, 2.4, 70, 100, 0, 1, "0.937935+((-(3.7358e-05*x))-0.013116368092596531)" 
0, ttbar, down, 0, -2.4, 2.4, 100, 140, 0, 1, "0.937935+((-(3.7358e-05*x))-0.014045564457774162)" 
0, ttbar, down, 0, -2.4, 2.4, 140, 200, 0, 1, "0.937935+((-(3.7358e-05*x))-0.016984345391392708)" 
0, ttbar, down, 0, -2.4, 2.4, 200, 300, 0, 1, "0.937935+((-(3.7358e-05*x))-0.03540763258934021)" 
0, ttbar, down_correlated, 1, -2.4, 2.4, 30, 50, 0, 1, "0.937935+((-(3.7358e-05*x))-0.053822652953312941)" 
0, ttbar, down_correlated, 1, -2.4, 2.4, 50, 70, 0, 1, "0.937935+((-(3.7358e-05*x))-0.025250862677691433)" 
0, ttbar, down_correlated, 1, -2.4, 2.4, 70, 100, 0, 1, "0.937935+((-(3.7358e-05*x))-0.018786074517611991)" 
0, ttbar, down_correlated, 1, -2.4, 2.4, 100, 140, 0, 1, "0.937935+((-(3.7358e-05*x))-0.019092436105791536)" 
0, ttbar, down_correlated, 1, -2.4, 2.4, 140, 200, 0, 1, "0.937935+((-(3.7358e-05*x))-0.021242676650128377)" 
0, ttbar, down_correlated, 1, -2.4, 2.4, 200, 300, 0, 1, "0.937935+((-(3.7358e-05*x))-0.031095926961564584)" 
0, ttbar, down_correlated, 0, -2.4, 2.4, 30, 50, 0, 1, "0.937935+((-(3.7358e-05*x))-0.026911326476656401)" 
0, ttbar, down_correlated, 0, -2.4, 2.4, 50, 70, 0, 1, "0.937935+((-(3.7358e-05*x))-0.012625431338845717)" 
0, ttbar, down_correlated, 0, -2.4, 2.4, 70, 100, 0, 1, "0.937935+((-(3.7358e-05*x))-0.0093930372588059956)" 
0, ttbar, down_correlated, 0, -2.4, 2.4, 100, 140, 0, 1, "0.937935+((-(3.7358e-05*x))-0.009546218052895768)" 
0, ttbar, down_correlated, 0, -2.4, 2.4, 140, 200, 0, 1, "0.937935+((-(3.7358e-05*x))-0.010621338325064188)" 
