CSVv2;OperatingPoint, measurementType, sysType, jetFlavor, etaMin, etaMax, ptMin, ptMax, discrMin, discrMax, formula 
0, mujets, central, 1, -2.4, 2.4, 30, 670, 0, 1, "0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x)))" 
0, mujets, central, 0, -2.4, 2.4, 30, 670, 0, 1, "0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x)))" 
0, mujets, down, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.051934007555246353" 
0, mujets, down, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.049844250082969666" 
0, mujets, down, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.044865932315587997" 
0, mujets, down, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.055620122700929642" 
0, mujets, down, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.091987505555152893" 
0, mujets, down, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.12138277292251587" 
0, mujets, down, 1, -2.4, 2.4, 300, 670, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.19333741068840027" 
0, mujets, down, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.025967003777623177" 
0, mujets, down, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.024922125041484833" 
0, mujets, down, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.022432966157793999" 
0, mujets, down, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.027810061350464821" 
0, mujets, down, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.045993752777576447" 
0, mujets, down, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.060691386461257935" 
0, mujets, down, 0, -2.4, 2.4, 300, 670, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.096668705344200134" 
0, mujets, down_bfragmentation, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.00019013458222616464" 
0, mujets, down_bfragmentation, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0037883359473198652" 
0, mujets, down_bfragmentation, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.001369769568555057" 
0, mujets, down_bfragmentation, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0016021655173972249" 
0, mujets, down_bfragmentation, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0018914421088993549" 
0, mujets, down_bfragmentation, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0088965808972716331" 
0, mujets, down_bfragmentation, 1, -2.4, 2.4, 300, 670, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.013727148994803429" 
0, mujets, down_bfragmentation, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-9.5067291113082319e-05" 
0, mujets, down_bfragmentation, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0018941679736599326" 
0, mujets, down_bfragmentation, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.00068488478427752852" 
0, mujets, down_bfragmentation, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.00080108275869861245" 
0, mujets, down_bfragmentation, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.00094572105444967747" 
0, mujets, down_bfragmentation, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0044482904486358166" 
0, mujets, down_bfragmentation, 0, -2.4, 2.4, 300, 670, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0068635744974017143" 
0, mujets, down_gluonsplitting, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0011838282225653529" 
0, mujets, down_gluonsplitting, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0029120573308318853" 
0, mujets, down_gluonsplitting, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.003204552223905921" 
0, mujets, down_gluonsplitting, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0037548788823187351" 
0, mujets, down_gluonsplitting, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.00097656797152012587" 
0, mujets, down_gluonsplitting, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0026915436610579491" 
0, mujets, down_gluonsplitting, 1, -2.4, 2.4, 300, 670, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0052828439511358738" 
0, mujets, down_gluonsplitting, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.00059191411128267646" 
0, mujets, down_gluonsplitting, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0014560286654159427" 
0, mujets, down_gluonsplitting, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0016022761119529605" 
0, mujets, down_gluonsplitting, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0018774394411593676" 
0, mujets, down_gluonsplitting, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.00048828398576006293" 
0, mujets, down_gluonsplitting, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0013457718305289745" 
0, mujets, down_gluonsplitting, 0, -2.4, 2.4, 300, 670, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0026414219755679369" 
0, mujets, down_jes, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0030543399043381214" 
0, mujets, down_jes, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0055133840069174767" 
0, mujets, down_jes, 1, -2.4, 2.4, 70, 100, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0021522121969610453" 
0, mujets, down_jes, 1, -2.4, 2.4, 100, 140, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0041394932195544243" 
0, mujets, down_jes, 1, -2.4, 2.4, 140, 200, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0019137952476739883" 
0, mujets, down_jes, 1, -2.4, 2.4, 200, 300, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.002007731469348073" 
0, mujets, down_jes, 1, -2.4, 2.4, 300, 670, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0044681425206363201" 
0, mujets, down_jes, 0, -2.4, 2.4, 30, 50, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0015271699521690607" 
0, mujets, down_jes, 0, -2.4, 2.4, 50, 70, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0027566920034587383" 
0, mujets, down_jes, 0, -2.4, 2.4, 70, 100, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0010761060984805226" 
0, mujets, down_jes, 0, -2.4, 2.4, 100, 140, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0020697466097772121" 
0, mujets, down_jes, 0, -2.4, 2.4, 140, 200, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.00095689762383699417" 
0, mujets, down_jes, 0, -2.4, 2.4, 200, 300, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0010038657346740365" 
0, mujets, down_jes, 0, -2.4, 2.4, 300, 670, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0022340712603181601" 
0, mujets, down_jetaway, 1, -2.4, 2.4, 30, 50, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.022623205557465553" 
0, mujets, down_jetaway, 1, -2.4, 2.4, 50, 70, 0, 1, "(0.953039*((1.+(0.00582506*x))/(1.+(0.00603666*x))))-0.0098224971443414688" 
