302055684 (0,0,0,3,31,30,1,0,2,0,) 45.4287 8.0103 -234.5000 
302055688 (0,0,0,3,31,30,1,1,2,0,) 45.4287 8.0103 -167.5000 
302055692 (0,0,0,3,31,30,1,2,2,0,) 45.4287 8.0103 -100.5000 
302055696 (0,0,0,3,31,30,1,3,2,0,) 45.4287 8.0103 -33.5000 
302055700 (0,0,0,3,31,30,1,4,2,0,) 45.4287 8.0103 33.5000 
302055704 (0,0,0,3,31,30,1,5,2,0,) 45.4287 8.0103 100.5000 
302055708 (0,0,0,3,31,30,1,6,2,0,) 45.4287 8.0103 167.5000 
302055712 (0,0,0,3,31,30,1,7,2,0,) 45.4287 8.0103 234.5000 
302055940 (0,0,0,3,31,32,1,0,2,0,) 35.8348 20.6893 -234.5000 
302055944 (0,0,0,3,31,32,1,1,2,0,) 35.8348 20.6893 -167.5000 
302055948 (0,0,0,3,31,32,1,2,2,0,) 35.8348 20.6893 -100.5000 
302055952 (0,0,0,3,31,32,1,3,2,0,) 35.8348 20.6893 -33.5000 
302055956 (0,0,0,3,31,32,1,4,2,0,) 35.8348 20.6893 33.5000 
302055960 (0,0,0,3,31,32,1,5,2,0,) 35.8348 20.6893 100.5000 
302055964 (0,0,0,3,31,32,1,6,2,0,) 35.8348 20.6893 167.5000 
302055968 (0,0,0,3,31,32,1,7,2,0,) 35.8348 20.6893 234.5000 
302056196 (0,0,0,3,31,34,1,0,2,0,) 29.6515 35.3373 -234.5000 
302056200 (0,0,0,3,31,34,1,1,2,0,) 29.6515 35.3373 -167.5000 
302056204 (0,0,0,3,31,34,1,2,2,0,) 29.6515 35.3373 -100.5000 
302056208 (0,0,0,3,31,34,1,3,2,0,) 29.6515 35.3373 -33.5000 
302056212 (0,0,0,3,31,34,1,4,2,0,) 29.6515 35.3373 33.5000 
302056216 (0,0,0,3,31,34,1,5,2,0,) 29.6515 35.3373 100.5000 
302056220 (0,0,0,3,31,34,1,6,2,0,) 29.6515 35.3373 167.5000 
302056224 (0,0,0,3,31,34,1,7,2,0,) 29.6515 35.3373 234.5000 
302056452 (0,0,0,3,31,36,1,0,2,0,) 14.1523 38.8831 -234.5000 
302056456 (0,0,0,3,31,36,1,1,2,0,) 14.1523 38.8831 -167.5000 
302056460 (0,0,0,3,31,36,1,2,2,0,) 14.1523 38.8831 -100.5000 
302056464 (0,0,0,3,31,36,1,3,2,0,) 14.1523 38.8831 -33.5000 
302056468 (0,0,0,3,31,36,1,4,2,0,) 14.1523 38.8831 33.5000 
302056472 (0,0,0,3,31,36,1,5,2,0,) 14.1523 38.8831 100.5000 
302056476 (0,0,0,3,31,36,1,6,2,0,) 14.1523 38.8831 167.5000 
302056480 (0,0,0,3,31,36,1,7,2,0,) 14.1523 38.8831 234.5000 
