mH_GeV  XS_pb    Err_Hi     Err_Lo Sca_Hi  Sca_Lo  Pdf_Hi  Pdf_Lo
106	    26.8628	 15.4      -14.9 	7.7	 	   -8.3	 	7.7		-6.6		
107	    26.3911	 15.4      -14.9 	7.7	 	   -8.3	 	7.7		-6.6		
108	    25.9199	 15.4      -14.8 	7.7	 	   -8.2	 	7.7		-6.6		
109	    25.4603	 15.3      -14.9 	7.6	 	   -8.2	 	7.7		-6.7		
110	    25.0119	 15.3      -14.9 	7.6	 	   -8.2	 	7.7		-6.7		
110.5   24.7918	 15.3      -14.9 	7.6	 	   -8.2	 	7.7		-6.7		
111	    24.5743	 15.2      -14.9 	7.6	 	   -8.2	 	7.6		-6.7		
111.5   24.3597	 15.1      -14.8 	7.5	 	   -8.1	 	7.6		-6.7		
112	    24.1486	 15.1      -14.8 	7.5	 	   -8.1	 	7.6		-6.7		
112.5   23.9401	 15.1      -14.8 	7.5	 	   -8.1	 	7.6		-6.7		
113	    23.7343	 15.1      -14.8 	7.5	 	   -8.1	 	7.6		-6.7		
113.5   23.5312	 15.1      -14.9 	7.5	 	   -8.1	 	7.6		-6.8		
114	    23.3306	 15.1      -14.9 	7.5	 	   -8.1	 	7.6		-6.8		
114.5   23.1325	 15.1      -14.9 	7.5	 	   -8.1	 	7.6		-6.8		
115	    22.9369	 15        -14.9 	7.4	 	   -8.1	 	7.6		-6.8		
115.5   22.7442	 15        -14.8 	7.4	 	   -8	 	7.6		-6.8		
116	    22.5534	 14.9      -14.8 	7.4	 	   -8	 	7.5		-6.8		
116.5   22.3651	 14.9      -14.8 	7.4	 	   -8	 	7.5		-6.8		
117	    22.179	 14.9      -14.8 	7.4	 	   -8	 	7.5		-6.8		
117.5   21.9949	 14.9      -14.8 	7.4	 	   -8	 	7.5		-6.8		
118	    21.8134	 14.9      -14.8 	7.4	 	   -8	 	7.5		-6.8		
118.5   21.6341	 14.8      -14.8 	7.3	 	   -8	 	7.5		-6.8		
119	    21.457	 14.8      -14.8 	7.3	 	   -8	 	7.5		-6.8		
119.5   21.282	 14.8      -14.8 	7.3	 	   -8	 	7.5		-6.8		
120	    21.109	 14.8      -14.8 	7.3	 	   -7.9	 	7.5		-6.9		
120.5   20.9381	 14.8      -14.8 	7.3	 	   -7.9	 	7.5		-6.9		
121	    20.7692	 14.8      -14.8 	7.3	 	   -7.9	 	7.5		-6.9		
121.5   20.6023	 14.8      -14.8 	7.3	 	   -7.9	 	7.5		-6.9		
122	    20.4373	 14.8      -14.8 	7.3	 	   -7.9	 	7.5		-6.9		
122.5   20.2742	 14.7      -14.8 	7.2	 	   -7.9	 	7.5		-6.9		
123	    20.1131	 14.7      -14.8 	7.2	 	   -7.9	 	7.5		-6.9		
123.5   19.9538	 14.7      -14.8 	7.2	 	   -7.9	 	7.5		-6.9		
124	    19.7963	 14.7      -14.8 	7.2	 	   -7.9	 	7.5		-6.9		
124.5   19.6407	 14.7      -14.8 	7.2	 	   -7.9	 	7.5		-6.9		
125	    19.4868	 14.7      -14.7 	7.2	 	   -7.8	 	7.5		-6.9		
125.5   19.3347	 14.7      -14.7 	7.2	 	   -7.8	 	7.5		-6.9		
126	    19.1843	 14.7      -14.7 	7.2	 	   -7.8	 	7.5		-6.9		
126.5   19.0357	 14.7      -14.7 	7.2	 	   -7.8	 	7.5		-6.9		
127	    18.8887	 14.6      -14.7 	7.1	 	   -7.8	 	7.5		-6.9		
127.5   18.7433	 14.6      -14.7 	7.1	 	   -7.8	 	7.5		-6.9		
128	    18.5996	 14.6      -14.7 	7.1	 	   -7.8	 	7.5		-6.9		
128.5   18.4574	 14.6      -14.7 	7.1	 	   -7.8	 	7.5		-6.9		
129	    18.3169	 14.6      -14.7 	7.1	 	   -7.8	 	7.5		-6.9		
129.5   18.1778	 14.6      -14.7 	7.1	 	   -7.8	 	7.5		-6.9		
130	    18.0403	 14.6      -14.6 	7.1	 	   -7.7	 	7.5		-6.9		
130.5	17.9043	 14.6      -14.6 	7.1	 	   -7.7	 	7.5		-6.9		
131	    17.7698	 14.6      -14.7 	7.1	 	   -7.7	 	7.5		-7		
131.5	17.6368	 14.5      -14.7 	7	 	   -7.7	 	7.5		-7		
132	    17.5053	 14.5      -14.7 	7	 	   -7.7	 	7.5		-7		
132.5	17.3752	 14.5      -14.7 	7	 	   -7.7	 	7.5		-7		
133	    17.2464	 14.4      -14.7 	7	 	   -7.7	 	7.4		-7		
133.5	17.1191	 14.4      -14.7 	7	 	   -7.7	 	7.4		-7		
134	    16.993	 14.4      -14.7 	7	 	   -7.7	 	7.4		-7		
134.5	16.8683	 14.4      -14.7 	7	 	   -7.7	 	7.4		-7		
135	    16.7448	 14.4      -14.7 	7	 	   -7.7	 	7.4		-7		
135.5	16.6226	 14.4      -14.6 	7	 	   -7.6	 	7.4		-7		
136	    16.5017	 14.3      -14.6 	6.9	 	   -7.6	 	7.4		-7		
136.5	16.382	 14.3      -14.6 	6.9	 	   -7.6	 	7.4		-7		
137	    16.2635	 14.3      -14.6 	6.9	 	   -7.6	 	7.4		-7		
137.5	16.1463	 14.3      -14.6 	6.9	 	   -7.6	 	7.4		-7		
138	    16.0303	 14.3      -14.5 	6.9	 	   -7.6	 	7.4		-6.9		
138.5	15.9155	 14.3      -14.5 	6.9	 	   -7.6	 	7.4		-6.9		
139	    15.8019	 14.3      -14.5 	6.9	 	   -7.6	 	7.4		-6.9		
139.5	15.6894	 14.3      -14.5 	6.9	 	   -7.6	 	7.4		-6.9		
140	    15.5782	 14.3      -14.5 	6.9	 	   -7.6	 	7.4		-6.9		
141	    15.3592	 14.1      -14.5 	6.8	 	   -7.6	 	7.3		-6.9		
142	    15.1446	 14.1      -14.4 	6.8	 	   -7.5	 	7.3		-6.9		
143	    14.9342	 14.1      -14.4 	6.8	 	   -7.5	 	7.3		-6.9		
144	    14.7278	 14.1      -14.4 	6.8	 	   -7.5	 	7.3		-6.9		
145	    14.5253	 14.1      -14.4 	6.8	 	   -7.5	 	7.3		-6.9		
146	    14.3267	 14        -14.4 	6.7	 	   -7.5	 	7.3		-6.9		
147	    14.1318	 14        -14.4 	6.7	 	   -7.5	 	7.3		-6.9		
148	    13.9404	 14        -14.4 	6.7	 	   -7.4	 	7.3		-7		
149	    13.7522	 14.1      -14.4 	6.7	 	   -7.4	 	7.4		-7		
150	    13.5672	 14.1      -14.4 	6.7	 	   -7.4	 	7.4		-7		
151	    13.3852	 14.1      -14.4 	6.7	 	   -7.4	 	7.4		-7		
152	    13.2057	 14        -14.5 	6.6	 	   -7.4	 	7.4		-7.1		
153	    13.0284	 14.1      -14.5 	6.6	 	   -7.4	 	7.5		-7.1		
154	    12.8527	 14.1      -14.4 	6.6	 	   -7.3	 	7.5		-7.1		
155	    12.6779	 14.1      -14.4 	6.6	 	   -7.3	 	7.5		-7.1		
156	    12.5028	 14.1      -14.4 	6.6	 	   -7.3	 	7.5		-7.1		
157	    12.3256	 14.1      -14.4 	6.6	 	   -7.3	 	7.5		-7.1		
158	    12.1439	 14        -14.4 	6.5	 	   -7.3	 	7.5		-7.1		
159	    11.9554	 14        -14.4 	6.5	 	   -7.3	 	7.5		-7.1		
160	    11.7624	 14        -14.4 	6.5	 	   -7.3	 	7.5		-7.1		
162	    11.3963	 14        -14.4 	6.5	 	   -7.2	 	7.5		-7.2		
164	    11.0387	 13.9      -14.4 	6.4	 	   -7.2	 	7.5		-7.2		
166	    10.7032	 13.9      -14.5 	6.4	 	   -7.2	 	7.5		-7.3		
168	    10.3946	 13.9      -14.5 	6.4	 	   -7.2	 	7.5		-7.3		
170	    10.1077	 13.9      -14.5 	6.4	 	   -7.1	 	7.5		-7.4		
172	    9.8376	 13.8      -14.5 	6.3	 	   -7.1	 	7.5		-7.4		
174	    9.5807	 13.7      -14.5 	6.3	 	   -7.1	 	7.4		-7.4		
176	    9.3337	 13.7      -14.5 	6.3	 	   -7.1	 	7.4		-7.4		
