# e/g max H/E vs |ieta| and hwPt
# Index is (|ieta|-1)*256+hwPt.
# Cuts corresponding to 99.5% efficiency.
#anything after # is ignored with the exception of the header
#the header is first valid line starting with #<header> versionStr(unused but may be in future) nrBitsAddress nrBitsData </header>
#<header> V2 13 9 </header>

0 16 # ieta=1, ET=0
1 16 # ieta=1, ET=1
2 16 # ieta=1, ET=2
3 16 # ieta=1, ET=3
4 16 # ieta=1, ET=4
5 16 # ieta=1, ET=5
6 16 # ieta=1, ET=6
7 16 # ieta=1, ET=7
8 16 # ieta=1, ET=8
9 16 # ieta=1, ET=9
10 16 # ieta=1, ET=10
11 16 # ieta=1, ET=11
12 16 # ieta=1, ET=12
13 16 # ieta=1, ET=13
14 16 # ieta=1, ET=14
15 16 # ieta=1, ET=15
16 16 # ieta=1, ET=16
17 16 # ieta=1, ET=17
18 16 # ieta=1, ET=18
19 16 # ieta=1, ET=19
20 16 # ieta=1, ET=20
21 16 # ieta=1, ET=21
22 16 # ieta=1, ET=22
23 16 # ieta=1, ET=23
24 16 # ieta=1, ET=24
25 16 # ieta=1, ET=25
26 16 # ieta=1, ET=26
27 16 # ieta=1, ET=27
28 16 # ieta=1, ET=28
29 16 # ieta=1, ET=29
30 16 # ieta=1, ET=30
31 16 # ieta=1, ET=31
32 16 # ieta=1, ET=32
33 16 # ieta=1, ET=33
34 16 # ieta=1, ET=34
35 16 # ieta=1, ET=35
36 16 # ieta=1, ET=36
37 16 # ieta=1, ET=37
38 16 # ieta=1, ET=38
39 16 # ieta=1, ET=39
40 16 # ieta=1, ET=40
41 16 # ieta=1, ET=41
42 16 # ieta=1, ET=42
43 16 # ieta=1, ET=43
44 16 # ieta=1, ET=44
45 16 # ieta=1, ET=45
46 16 # ieta=1, ET=46
47 16 # ieta=1, ET=47
48 16 # ieta=1, ET=48
49 16 # ieta=1, ET=49
50 16 # ieta=1, ET=50
51 16 # ieta=1, ET=51
52 16 # ieta=1, ET=52
53 16 # ieta=1, ET=53
54 16 # ieta=1, ET=54
55 16 # ieta=1, ET=55
56 16 # ieta=1, ET=56
57 16 # ieta=1, ET=57
58 16 # ieta=1, ET=58
59 16 # ieta=1, ET=59
60 16 # ieta=1, ET=60
61 16 # ieta=1, ET=61
62 16 # ieta=1, ET=62
63 16 # ieta=1, ET=63
64 16 # ieta=1, ET=64
65 16 # ieta=1, ET=65
66 16 # ieta=1, ET=66
67 16 # ieta=1, ET=67
68 16 # ieta=1, ET=68
69 16 # ieta=1, ET=69
70 16 # ieta=1, ET=70
71 16 # ieta=1, ET=71
72 16 # ieta=1, ET=72
73 16 # ieta=1, ET=73
74 16 # ieta=1, ET=74
75 16 # ieta=1, ET=75
76 16 # ieta=1, ET=76
77 16 # ieta=1, ET=77
78 16 # ieta=1, ET=78
79 16 # ieta=1, ET=79
80 16 # ieta=1, ET=80
81 16 # ieta=1, ET=81
82 16 # ieta=1, ET=82
83 16 # ieta=1, ET=83
84 16 # ieta=1, ET=84
85 16 # ieta=1, ET=85
86 16 # ieta=1, ET=86
87 16 # ieta=1, ET=87
88 16 # ieta=1, ET=88
89 16 # ieta=1, ET=89
90 16 # ieta=1, ET=90
91 16 # ieta=1, ET=91
92 16 # ieta=1, ET=92
93 16 # ieta=1, ET=93
94 16 # ieta=1, ET=94
95 16 # ieta=1, ET=95
96 16 # ieta=1, ET=96
97 16 # ieta=1, ET=97
98 16 # ieta=1, ET=98
99 16 # ieta=1, ET=99
100 16 # ieta=1, ET=100
101 16 # ieta=1, ET=101
102 16 # ieta=1, ET=102
103 16 # ieta=1, ET=103
104 16 # ieta=1, ET=104
105 16 # ieta=1, ET=105
106 16 # ieta=1, ET=106
107 16 # ieta=1, ET=107
108 16 # ieta=1, ET=108
109 16 # ieta=1, ET=109
110 16 # ieta=1, ET=110
111 16 # ieta=1, ET=111
112 16 # ieta=1, ET=112
113 16 # ieta=1, ET=113
114 16 # ieta=1, ET=114
115 16 # ieta=1, ET=115
116 16 # ieta=1, ET=116
117 16 # ieta=1, ET=117
118 16 # ieta=1, ET=118
119 16 # ieta=1, ET=119
120 16 # ieta=1, ET=120
121 16 # ieta=1, ET=121
122 16 # ieta=1, ET=122
123 16 # ieta=1, ET=123
124 16 # ieta=1, ET=124
125 16 # ieta=1, ET=125
126 16 # ieta=1, ET=126
127 16 # ieta=1, ET=127
128 16 # ieta=1, ET=128
129 16 # ieta=1, ET=129
130 16 # ieta=1, ET=130
131 16 # ieta=1, ET=131
132 16 # ieta=1, ET=132
133 16 # ieta=1, ET=133
134 16 # ieta=1, ET=134
135 16 # ieta=1, ET=135
136 16 # ieta=1, ET=136
137 16 # ieta=1, ET=137
138 16 # ieta=1, ET=138
139 16 # ieta=1, ET=139
140 16 # ieta=1, ET=140
141 16 # ieta=1, ET=141
142 16 # ieta=1, ET=142
143 16 # ieta=1, ET=143
144 16 # ieta=1, ET=144
145 16 # ieta=1, ET=145
146 16 # ieta=1, ET=146
147 16 # ieta=1, ET=147
148 16 # ieta=1, ET=148
149 16 # ieta=1, ET=149
150 16 # ieta=1, ET=150
151 16 # ieta=1, ET=151
152 16 # ieta=1, ET=152
153 16 # ieta=1, ET=153
154 16 # ieta=1, ET=154
155 16 # ieta=1, ET=155
156 16 # ieta=1, ET=156
157 16 # ieta=1, ET=157
158 16 # ieta=1, ET=158
159 16 # ieta=1, ET=159
160 16 # ieta=1, ET=160
161 16 # ieta=1, ET=161
162 16 # ieta=1, ET=162
163 16 # ieta=1, ET=163
164 16 # ieta=1, ET=164
165 16 # ieta=1, ET=165
166 16 # ieta=1, ET=166
167 16 # ieta=1, ET=167
168 16 # ieta=1, ET=168
169 16 # ieta=1, ET=169
170 511 # ieta=1, ET=170
171 511 # ieta=1, ET=171
172 511 # ieta=1, ET=172
173 511 # ieta=1, ET=173
174 511 # ieta=1, ET=174
175 511 # ieta=1, ET=175
176 511 # ieta=1, ET=176
177 511 # ieta=1, ET=177
178 511 # ieta=1, ET=178
179 511 # ieta=1, ET=179
180 511 # ieta=1, ET=180
181 511 # ieta=1, ET=181
182 511 # ieta=1, ET=182
183 511 # ieta=1, ET=183
184 511 # ieta=1, ET=184
185 511 # ieta=1, ET=185
186 511 # ieta=1, ET=186
187 511 # ieta=1, ET=187
188 511 # ieta=1, ET=188
