
# Shape identification bit vs |ieta|,shape,E. Derived from Zee PU40bx25
# Index is compressedShape+compressedE<<4+compressedIeta<<8. 
# Compression version is v4
#anything after # is ignored with the exception of the header
#the header is first valid line starting with #<header> versionStr(unused but may be in future) nrBitsAddress nrBitsData </header>
#<header> V4 12 1 </header>

0 1  # abs(compressedIeta)=0, compressedE=0, compressedShape=0
1 1  # abs(compressedIeta)=0, compressedE=0, compressedShape=1
2 0  # abs(compressedIeta)=0, compressedE=0, compressedShape=2
3 0  # abs(compressedIeta)=0, compressedE=0, compressedShape=3
4 0  # abs(compressedIeta)=0, compressedE=0, compressedShape=4
5 1  # abs(compressedIeta)=0, compressedE=0, compressedShape=5
6 0  # abs(compressedIeta)=0, compressedE=0, compressedShape=6
7 0  # abs(compressedIeta)=0, compressedE=0, compressedShape=7
8 0  # abs(compressedIeta)=0, compressedE=0, compressedShape=8
9 0  # abs(compressedIeta)=0, compressedE=0, compressedShape=9
10 0  # abs(compressedIeta)=0, compressedE=0, compressedShape=10
11 0  # abs(compressedIeta)=0, compressedE=0, compressedShape=11
12 0  # abs(compressedIeta)=0, compressedE=0, compressedShape=12
13 0  # abs(compressedIeta)=0, compressedE=0, compressedShape=13
14 0  # abs(compressedIeta)=0, compressedE=0, compressedShape=14
15 0  # abs(compressedIeta)=0, compressedE=0, compressedShape=15
16 1  # abs(compressedIeta)=0, compressedE=1, compressedShape=0
17 1  # abs(compressedIeta)=0, compressedE=1, compressedShape=1
18 0  # abs(compressedIeta)=0, compressedE=1, compressedShape=2
19 1  # abs(compressedIeta)=0, compressedE=1, compressedShape=3
20 0  # abs(compressedIeta)=0, compressedE=1, compressedShape=4
21 0  # abs(compressedIeta)=0, compressedE=1, compressedShape=5
22 0  # abs(compressedIeta)=0, compressedE=1, compressedShape=6
23 0  # abs(compressedIeta)=0, compressedE=1, compressedShape=7
24 0  # abs(compressedIeta)=0, compressedE=1, compressedShape=8
25 0  # abs(compressedIeta)=0, compressedE=1, compressedShape=9
26 0  # abs(compressedIeta)=0, compressedE=1, compressedShape=10
27 0  # abs(compressedIeta)=0, compressedE=1, compressedShape=11
28 0  # abs(compressedIeta)=0, compressedE=1, compressedShape=12
29 0  # abs(compressedIeta)=0, compressedE=1, compressedShape=13
30 0  # abs(compressedIeta)=0, compressedE=1, compressedShape=14
31 0  # abs(compressedIeta)=0, compressedE=1, compressedShape=15
32 1  # abs(compressedIeta)=0, compressedE=2, compressedShape=0
33 1  # abs(compressedIeta)=0, compressedE=2, compressedShape=1
34 1  # abs(compressedIeta)=0, compressedE=2, compressedShape=2
35 1  # abs(compressedIeta)=0, compressedE=2, compressedShape=3
36 0  # abs(compressedIeta)=0, compressedE=2, compressedShape=4
37 0  # abs(compressedIeta)=0, compressedE=2, compressedShape=5
38 0  # abs(compressedIeta)=0, compressedE=2, compressedShape=6
39 0  # abs(compressedIeta)=0, compressedE=2, compressedShape=7
40 0  # abs(compressedIeta)=0, compressedE=2, compressedShape=8
41 0  # abs(compressedIeta)=0, compressedE=2, compressedShape=9
42 0  # abs(compressedIeta)=0, compressedE=2, compressedShape=10
43 0  # abs(compressedIeta)=0, compressedE=2, compressedShape=11
44 0  # abs(compressedIeta)=0, compressedE=2, compressedShape=12
45 0  # abs(compressedIeta)=0, compressedE=2, compressedShape=13
46 0  # abs(compressedIeta)=0, compressedE=2, compressedShape=14
47 0  # abs(compressedIeta)=0, compressedE=2, compressedShape=15
48 1  # abs(compressedIeta)=0, compressedE=3, compressedShape=0
49 1  # abs(compressedIeta)=0, compressedE=3, compressedShape=1
50 1  # abs(compressedIeta)=0, compressedE=3, compressedShape=2
51 1  # abs(compressedIeta)=0, compressedE=3, compressedShape=3
52 0  # abs(compressedIeta)=0, compressedE=3, compressedShape=4
53 0  # abs(compressedIeta)=0, compressedE=3, compressedShape=5
54 0  # abs(compressedIeta)=0, compressedE=3, compressedShape=6
55 0  # abs(compressedIeta)=0, compressedE=3, compressedShape=7
56 0  # abs(compressedIeta)=0, compressedE=3, compressedShape=8
57 0  # abs(compressedIeta)=0, compressedE=3, compressedShape=9
58 0  # abs(compressedIeta)=0, compressedE=3, compressedShape=10
59 0  # abs(compressedIeta)=0, compressedE=3, compressedShape=11
60 0  # abs(compressedIeta)=0, compressedE=3, compressedShape=12
61 0  # abs(compressedIeta)=0, compressedE=3, compressedShape=13
62 0  # abs(compressedIeta)=0, compressedE=3, compressedShape=14
63 0  # abs(compressedIeta)=0, compressedE=3, compressedShape=15
64 1  # abs(compressedIeta)=0, compressedE=4, compressedShape=0
65 1  # abs(compressedIeta)=0, compressedE=4, compressedShape=1
66 1  # abs(compressedIeta)=0, compressedE=4, compressedShape=2
67 0  # abs(compressedIeta)=0, compressedE=4, compressedShape=3
68 0  # abs(compressedIeta)=0, compressedE=4, compressedShape=4
69 0  # abs(compressedIeta)=0, compressedE=4, compressedShape=5
70 0  # abs(compressedIeta)=0, compressedE=4, compressedShape=6
71 0  # abs(compressedIeta)=0, compressedE=4, compressedShape=7
72 0  # abs(compressedIeta)=0, compressedE=4, compressedShape=8
73 1  # abs(compressedIeta)=0, compressedE=4, compressedShape=9
74 0  # abs(compressedIeta)=0, compressedE=4, compressedShape=10
75 0  # abs(compressedIeta)=0, compressedE=4, compressedShape=11
76 0  # abs(compressedIeta)=0, compressedE=4, compressedShape=12
