mH_GeV 	H_gg 	        H_gamgam 	H_Zgam  	H_WW 	        H_ZZ 	        Total_Width_GeV
80.00	 0.000E+00	 6.672E-01	 0.000E+00	 2.622E-01	 7.059E-02	 4.670E-06
80.25	 0.000E+00	 6.632E-01	 0.000E+00	 2.656E-01	 7.129E-02	 4.747E-06
80.50	 0.000E+00	 6.591E-01	 0.000E+00	 2.689E-01	 7.200E-02	 4.825E-06
80.75	 0.000E+00	 6.550E-01	 0.000E+00	 2.723E-01	 7.270E-02	 4.904E-06
81.00	 0.000E+00	 6.508E-01	 0.000E+00	 2.758E-01	 7.340E-02	 4.986E-06
81.25	 0.000E+00	 6.466E-01	 0.000E+00	 2.792E-01	 7.410E-02	 5.069E-06
81.50	 0.000E+00	 6.424E-01	 0.000E+00	 2.828E-01	 7.481E-02	 5.153E-06
81.75	 0.000E+00	 6.382E-01	 0.000E+00	 2.863E-01	 7.550E-02	 5.240E-06
82.00	 0.000E+00	 6.339E-01	 0.000E+00	 2.899E-01	 7.620E-02	 5.328E-06
82.25	 0.000E+00	 6.296E-01	 0.000E+00	 2.936E-01	 7.690E-02	 5.419E-06
82.50	 0.000E+00	 6.252E-01	 0.000E+00	 2.972E-01	 7.759E-02	 5.511E-06
82.75	 0.000E+00	 6.208E-01	 0.000E+00	 3.010E-01	 7.827E-02	 5.606E-06
83.00	 0.000E+00	 6.163E-01	 0.000E+00	 3.048E-01	 7.896E-02	 5.703E-06
83.25	 0.000E+00	 6.118E-01	 0.000E+00	 3.086E-01	 7.963E-02	 5.802E-06
83.50	 0.000E+00	 6.072E-01	 0.000E+00	 3.125E-01	 8.030E-02	 5.904E-06
83.75	 0.000E+00	 6.026E-01	 0.000E+00	 3.165E-01	 8.097E-02	 6.008E-06
84.00	 0.000E+00	 5.979E-01	 0.000E+00	 3.205E-01	 8.162E-02	 6.114E-06
84.25	 0.000E+00	 5.931E-01	 0.000E+00	 3.246E-01	 8.227E-02	 6.224E-06
84.50	 0.000E+00	 5.883E-01	 0.000E+00	 3.288E-01	 8.291E-02	 6.337E-06
84.75	 0.000E+00	 5.834E-01	 0.000E+00	 3.331E-01	 8.354E-02	 6.452E-06
85.00	 0.000E+00	 5.784E-01	 0.000E+00	 3.374E-01	 8.415E-02	 6.571E-06
85.25	 0.000E+00	 5.734E-01	 0.000E+00	 3.419E-01	 8.475E-02	 6.694E-06
