number, lhcFill, injectionScheme
323488, 7218, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323487, 7218, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323486, 7218, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323484, 7218, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323482, 7218, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323481, 7218, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323480, 7218, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323479, 7218, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323477, 7218, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323476, 7217, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323475, 7217, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323474, 7217, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323473, 7217, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323472, 7217, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323471, 7217, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323470, 7217, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323468, 7217, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323467, 7217, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323423, 7213, 25ns_1227b_1214_1054_1102_144bpi_14inj
323422, 7213, 25ns_1227b_1214_1054_1102_144bpi_14inj
323421, 7213, 25ns_1227b_1214_1054_1102_144bpi_14inj
323420, 7213, 25ns_1227b_1214_1054_1102_144bpi_14inj
323419, 7213, 25ns_1227b_1214_1054_1102_144bpi_14inj
323418, 7213, 25ns_1227b_1214_1054_1102_144bpi_14inj
323417, 7213, 25ns_1227b_1214_1054_1102_144bpi_14inj
323416, 7213, 25ns_1227b_1214_1054_1102_144bpi_14inj
323415, 7213, 25ns_1227b_1214_1054_1102_144bpi_14inj
323414, 7213, 25ns_1227b_1214_1054_1102_144bpi_14inj
323413, 7213, 25ns_1227b_1214_1054_1102_144bpi_14inj
323411, 7213, 25ns_1227b_1214_1054_1102_144bpi_14inj
323410, 7213, 25ns_1227b_1214_1054_1102_144bpi_14inj
323408, 7213, 25ns_1227b_1214_1054_1102_144bpi_14inj
323407, 7213, 25ns_1227b_1214_1054_1102_144bpi_14inj
323401, 7213, 25ns_1227b_1214_1054_1102_144bpi_14inj
323400, 7213, 25ns_1227b_1214_1054_1102_144bpi_14inj
323399, 7212, 25ns_603b_590_524_542_48bpi_17inj
323398, 7212, 25ns_603b_590_524_542_48bpi_17inj
323397, 7212, 25ns_603b_590_524_542_48bpi_17inj
323396, 7212, 25ns_603b_590_524_542_48bpi_17inj
323395, 7212, 25ns_603b_590_524_542_48bpi_17inj
323394, 7212, 25ns_603b_590_524_542_48bpi_17inj
323393, 7212, 25ns_603b_590_524_542_48bpi_17inj
323391, 7212, 25ns_603b_590_524_542_48bpi_17inj
323388, 7212, 25ns_603b_590_524_542_48bpi_17inj
323387, 7212, 25ns_603b_590_524_542_48bpi_17inj
323384, 7212, 25ns_603b_590_524_542_48bpi_17inj
323383, 7212, 25ns_603b_590_524_542_48bpi_17inj
323381, 7212, 25ns_603b_590_524_542_48bpi_17inj
323380, 7211, 25ns_75b_62_32_62_12bpi_9inj
323379, 7211, 25ns_75b_62_32_62_12bpi_9inj
323378, 7211, 25ns_75b_62_32_62_12bpi_9inj
323377, 7211, 25ns_75b_62_32_62_12bpi_9inj
323376, 7211, 25ns_75b_62_32_62_12bpi_9inj
323375, 7211, 25ns_75b_62_32_62_12bpi_9inj
323374, 7211, 25ns_75b_62_32_62_12bpi_9inj
323373, 7211, 25ns_75b_62_32_62_12bpi_9inj
323371, 7211, 25ns_75b_62_32_62_12bpi_9inj
323370, 7211, 25ns_75b_62_32_62_12bpi_9inj
323369, 7211, 25ns_75b_62_32_62_12bpi_9inj
323368, 7211, 25ns_75b_62_32_62_12bpi_9inj
323367, 7211, 25ns_75b_62_32_62_12bpi_9inj
323365, 7211, 25ns_75b_62_32_62_12bpi_9inj
323364, 7211, 25ns_75b_62_32_62_12bpi_9inj
323363, 7211, 25ns_75b_62_32_62_12bpi_9inj
323362, 7211, 25ns_75b_62_32_62_12bpi_9inj
323361, 7211, 25ns_75b_62_32_62_12bpi_9inj
323360, 7211, 25ns_75b_62_32_62_12bpi_9inj
323359, 7211, 25ns_75b_62_32_62_12bpi_9inj
322633, 7145, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322625, 7145, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322624, 7145, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322620, 7145, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322619, 7145, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322617, 7144, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322616, 7144, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322605, 7144, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322603, 7144, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322602, 7144, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322599, 7144, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322595, 7144, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322593, 7144, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322551, 7144, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322550, 7144, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322512, 7142, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322510, 7142, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322509, 7142, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322508, 7142, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322507, 7142, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322505, 7142, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322492, 7139, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322487, 7139, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322485, 7139, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322484, 7139, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322483, 7139, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322480, 7139, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322479, 7139, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322477, 7139, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322431, 7137, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322430, 7137, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322429, 7137, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322427, 7137, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322424, 7137, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322422, 7137, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322407, 7135, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322406, 7135, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322381, 7133, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322380, 7133, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322379, 7133, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322378, 7133, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322377, 7133, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322361, 7133, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322359, 7133, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322358, 7133, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322357, 7133, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322356, 7132, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322355, 7132, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322354, 7132, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322351, 7132, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322349, 7132, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322348, 7131, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322347, 7131, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322346, 7131, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322345, 7131, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322343, 7131, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322333, 7128, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322332, 7128, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322331, 7128, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322330, 7128, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322328, 7128, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322327, 7128, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322326, 7128, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322324, 7127, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322323, 7127, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322322, 7127, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322319, 7127, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322317, 7127, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322310, 7127, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322308, 7127, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322306, 7127, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322302, 7127, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322252, 7125, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322250, 7125, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322249, 7125, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322248, 7125, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322247, 7125, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322245, 7125, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322243, 7125, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322233, 7125, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322222, 7124, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322204, 7124, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322201, 7124, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322200, 7124, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322198, 7124, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322196, 7124, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322194, 7124, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322192, 7124, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322179, 7123, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322178, 7123, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322177, 7123, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322175, 7123, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322174, 7123, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322169, 7123, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322168, 7123, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322167, 7123, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322165, 7123, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322164, 7123, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322163, 7123, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322160, 7123, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322152, 7123, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322118, 7122, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322113, 7122, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322110, 7122, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322109, 7120, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322106, 7120, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322104, 7120, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322103, 7120, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322101, 7120, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322088, 7118, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322079, 7118, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322077, 7118, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322075, 7118, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322074, 7118, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322073, 7118, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322071, 7118, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322068, 7117, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322067, 7117, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322058, 7114, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322057, 7114, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322056, 7114, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322054, 7114, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322040, 7112, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322037, 7112, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322022, 7110, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322020, 7110, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322018, 7110, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322017, 7110, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322016, 7110, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322014, 7109, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322013, 7109, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322012, 7109, 25ns_2556b_2544_2215_2332_144bpi_20injV3
322010, 7109, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321990, 7108, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321988, 7108, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321987, 7108, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321986, 7108, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321985, 7108, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321984, 7108, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321975, 7105, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321973, 7105, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321971, 7105, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321961, 7101, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321960, 7101, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321959, 7101, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321958, 7101, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321956, 7101, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321955, 7101, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321952, 7101, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321937, 7099, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321933, 7099, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321931, 7099, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321930, 7099, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321928, 7099, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321919, 7098, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321917, 7098, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321913, 7098, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321911, 7098, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321909, 7097, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321908, 7097, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321906, 7097, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321892, 7095, 25ns_2556b_2544_2215_2332_144bpi_20injV3
321889, 7095, 25ns_2556b_2544_2215_2332_144bpi_20injV3
