number, lhcFill, injectionScheme
324897, 7317, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324896, 7317, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324895, 7317, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324878, 7315, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324877, 7315, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324876, 7315, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324873, 7315, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324872, 7315, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324870, 7315, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324869, 7315, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324865, 7315, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324863, 7315, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324857, 7315, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324856, 7315, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324852, 7315, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324847, 7314, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324846, 7314, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324841, 7314, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324840, 7314, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324835, 7314, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324832, 7314, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324791, 7310, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324785, 7310, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324784, 7310, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324782, 7310, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324780, 7310, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324778, 7310, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324776, 7310, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324775, 7310, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324772, 7309, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324769, 7309, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324765, 7309, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324764, 7309, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324747, 7309, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324746, 7309, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324745, 7309, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324744, 7309, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324742, 7309, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324741, 7309, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324738, 7309, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324737, 7309, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324729, 7308, 25ns_603b_590_524_542_48bpi_17inj
324725, 7308, 25ns_603b_590_524_542_48bpi_17inj
324723, 7308, 25ns_603b_590_524_542_48bpi_17inj
324722, 7308, 25ns_603b_590_524_542_48bpi_17inj
324720, 7308, 25ns_603b_590_524_542_48bpi_17inj
324717, 7308, 25ns_603b_590_524_542_48bpi_17inj
324612, 7304, 25ns_75b_62_32_62_12bpi_9inj
324611, 7304, 25ns_75b_62_32_62_12bpi_9inj
324572, 7300, Multi_525ns_152_150_0_0_8bpi_19inj
324571, 7300, Multi_525ns_152_150_0_0_8bpi_19inj
324570, 7300, Multi_525ns_152_150_0_0_8bpi_19inj
324567, 7300, Multi_525ns_152_150_0_0_8bpi_19inj
324565, 7300, Multi_525ns_152_150_0_0_8bpi_19inj
324564, 7299, Multi_525ns_152_150_0_0_8bpi_19inj
324420, 7274, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324418, 7274, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324416, 7274, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324415, 7274, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324414, 7274, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324332, 7271, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324323, 7271, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324322, 7271, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324318, 7271, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324317, 7271, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324315, 7271, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324314, 7271, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324313, 7271, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324312, 7271, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324310, 7271, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324308, 7271, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324305, 7271, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324295, 7271, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324293, 7270, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324292, 7270, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324291, 7270, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324245, 7266, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324243, 7266, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324242, 7266, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324240, 7266, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324239, 7266, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324237, 7265, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324236, 7265, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324234, 7265, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324233, 7265, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324232, 7265, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324231, 7265, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324224, 7265, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324218, 7265, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324214, 7265, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324213, 7265, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324211, 7265, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324209, 7264, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324207, 7264, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324206, 7264, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324205, 7264, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324202, 7264, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324201, 7264, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324200, 7264, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324199, 7264, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324198, 7264, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324197, 7264, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324196, 7264, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324195, 7264, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324194, 7264, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324078, 7259, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324077, 7259, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324076, 7259, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324022, 7256, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324021, 7256, 25ns_2556b_2544_2215_2332_144bpi_20injV3
324020, 7256, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323997, 7253, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323983, 7253, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323980, 7253, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323978, 7253, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323976, 7253, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323975, 7253, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323960, 7253, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323958, 7253, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323955, 7253, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323954, 7252, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323940, 7252, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323857, 7245, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323841, 7245, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323794, 7242, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323790, 7242, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323788, 7242, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323787, 7242, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323786, 7242, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323778, 7240, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323775, 7240, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323773, 7240, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323772, 7240, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323766, 7240, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323761, 7240, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323759, 7240, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323758, 7240, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323755, 7239, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323754, 7239, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323727, 7236, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323726, 7236, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323725, 7236, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323723, 7236, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323722, 7236, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323721, 7236, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323720, 7236, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323719, 7236, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323718, 7236, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323702, 7234, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323701, 7234, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323700, 7234, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323699, 7234, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323698, 7234, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323697, 7234, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323696, 7234, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323693, 7234, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323692, 7234, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323689, 7234, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323688, 7234, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323526, 7221, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323525, 7221, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323524, 7221, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323523, 7221, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323522, 7221, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323521, 7221, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323518, 7221, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323516, 7221, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323515, 7221, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323514, 7220, Single_12b_9_1_5_BSRT_2018_pilot
323513, 7220, Single_12b_9_1_5_BSRT_2018_pilot
323495, 7218, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323493, 7218, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323492, 7218, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323491, 7218, 25ns_2556b_2544_2215_2332_144bpi_20injV3
323489, 7218, 25ns_2556b_2544_2215_2332_144bpi_20injV3
