   0.953102E-01
   0.182322    
   0.262364    
   0.405465    
   0.587787    
   0.693147    
   0.916291    
   1.09861    
   1.38629    
   1.94591    
   2.30259    
   2.99573    
   3.68888    
   4.24850    
   4.60517    
   5.70378    
   6.39693    
   6.90776    
   8.00637    
   9.21034    
  10.8198    

   2.4213      2.4756      2.5300      2.5844      2.6532      2.7158      2.7718      2.8290      2.8890      2.9621    
   3.0666      3.1711      3.2756      3.3801      3.4846      3.5990      3.6556      3.7222      3.7888      3.8695    
   3.9353      3.9931      4.0509      4.1087      4.1666      4.2244      4.3345      4.4565      4.6307      4.8050    
   4.9793      5.1535      5.3278      5.5438      5.6065      5.6752      5.7380      5.8278      5.9176      6.0073    
   6.0971      6.1869      6.3128      6.3852      6.4576      6.5366      6.5963      6.6625      6.7441      6.8828    
   7.0810      7.2791      7.4773      7.6755      7.8736      8.0813      8.1353      8.1988      8.2623      8.3630    

   8.5240      8.7539      8.9838  
   5.4031      4.8970      4.6397      4.3720      4.1922      4.1304      4.0556      4.0285      4.0196      4.0563    
   4.0942      4.1735      4.2326      4.2583      4.2675      4.2792      4.2813      4.2820      4.2825      4.2826    
   4.2826      5.3425      4.8363      4.5790      4.3112      4.1313      4.0696      3.9946      3.9675      3.9584    
   3.9947      4.0320      4.1089      4.1678      4.1942      4.2038      4.2160      4.2183      4.2190      4.2195    
   4.2196      4.2196      5.2814      4.7751      4.5177      4.2499      4.0699      4.0081      3.9331      3.9059    
   3.8968      3.9328      3.9697      4.0456      4.1046      4.1317      4.1417      4.1545      4.1568      4.1576    
   4.1582      4.1583      4.1583      5.2197      4.7134      4.4559      4.1881      4.0080      3.9462      3.8711    
   3.8439      3.8347      3.8704      3.9071      3.9823      4.0417      4.0695      4.0798      4.0932      4.0957    
   4.0965      4.0971      4.0972      4.0972      5.1409      4.6344      4.3769      4.1089      3.9288      3.8670    
   3.7918      3.7645      3.7552      3.7907      3.8272      3.9019      3.9617      3.9905      4.0013      4.0155    
   4.0182      4.0190      4.0197      4.0198      4.0198      5.0685      4.5619      4.3043      4.0363      3.8562    
   3.7942      3.7190      3.6917      3.6822      3.7176      3.7540      3.8284      3.8887      3.9183      3.9296    
   3.9445      3.9474      3.9483      3.9490      3.9491      3.9491      5.0031      4.4964      4.2387      3.9706    
   3.7904      3.7285      3.6532      3.6258      3.6162      3.6515      3.6877      3.7620      3.8227      3.8532    
   3.8649      3.8805      3.8835      3.8845      3.8852      3.8854      3.8854      4.9356      4.4287      4.1710    
   3.9028      3.7225      3.6605      3.5852      3.5577      3.5481      3.5832      3.6193      3.6935      3.7547    
   3.7860      3.7982      3.8145      3.8177      3.8188      3.8195      3.8197      3.8197      4.8641      4.3570    
   4.0992      3.8310      3.6505      3.5885      3.5131      3.4855      3.4758      3.5108      3.5468      3.6209    
