Block MASS   #
#  PDG code   mass                 particle
      1000021   900.0     # ~g
      1000993   900.700   # ~g_glueball
      1009213   900.700   # ~g_rho+
      1009313   900.825   # ~g_K*0
      1009323   900.825   # ~g_K*+
      1009113   900.700   # ~g_rho0
      1009223   900.650   # ~g_omega
      1009333   901.800   # ~g_phi
      1091114   900.975   # ~g_Delta-
      1092114   900.975   # ~g_Delta0
      1092214   900.975   # ~g_Delta+
      1092224   900.975   # ~g_Delta++
      1093114   901.150   # ~g_Sigma*-
      1093214   900.700   # ~g_Sigma*0
      1093224   901.150   # ~g_Sigma*+
      1093314   901.300   # ~g_Xi*-
      1093324   901.300   # ~g_Xi*0
      1093334   901.600   # ~g_Omega-
     -1009213   900.700   # ~g_rho-
     -1009313   900.825   # ~g_K*bar0
     -1009323   900.825   # ~g_K*-
     -1091114   900.975   # ~g_Deltabar+
     -1092114   900.975   # ~g_Deltabar0
     -1092214   900.975   # ~g_Deltabar-
     -1092224   900.975   # ~g_Deltabar--
     -1093114   901.150   # ~g_Sigma*bar+
     -1093214   901.150   # ~g_Sigma*bar0
     -1093224   901.150   # ~g_Sigma*bar-
     -1093314   901.300   # ~g_Xi*bar+
     -1093324   901.300   # ~g_Xi*bar0
     -1093334   901.600   # ~g_Omegabar+
Block
