Block MASS   #
#  PDG code   mass                 particle
        1000006 600.000   # ~t_1
	1000612 600.300   # ~T+  
	1000622 600.300   # ~T0  
	1000632 600.500   # ~T_s+
	1000642 601.500   # ~T_c0
	1000652 604.800   # ~T_b+
	1006113 600.650   # ~T_dd10
	1006211 600.700   # ~T_ud0+
	1006213 600.650   # ~T_ud1+
	1006223 600.650   # ~T_uu1++ 
	1006311 600.825   # ~T_sd00  
	1006313 600.825   # ~T_sd10  
	1006321 600.825   # ~T_su0+  
	1006323 600.825   # ~T_su1+  
	1006333 601.000   # ~T_ss10  
        -1000006 600.000   # ~t_1bar
	-1000612 600.300   # ~Tbar-  
	-1000622 600.300   # ~Tbar0  
	-1000632 600.500   # ~Tbar_s-
	-1000642 601.500   # ~Tbar_c0
	-1000652 604.800   # ~Tbar_b-
	-1006113 600.650   # ~Tbar_dd10
	-1006211 600.700   # ~Tbar_ud0-
	-1006213 600.650   # ~Tbar_ud1-
	-1006223 600.650   # ~Tbar_uu1-- 
	-1006311 600.825   # ~Tbar_sd00  
	-1006313 600.825   # ~Tbar_sd10  
	-1006321 600.825   # ~Tbar_su0-  
	-1006323 600.825   # ~Tbar_su1-  
	-1006333 601.000   # ~Tbar_ss10  	
Block
