82,45,46
83,46,47
83,43,44
82,44,45
85,46,50
84,47,48
83,48,50
85,50,54
83,50,52
84,52,53
82,55,56
83,56,57
83,53,54
82,54,55
78,45,48
80,45,47
81,47,48
82,48,50
80,47,50
79,47,48
78,48,50
81,50,51
82,51,53
80,50,53
78,50,52
79,52,53
80,53,55
78,52,55
76,45,47
77,47,48
75,45,49
76,48,49
75,49,50
75,50,51
76,51,52
76,52,54
77,54,55
75,51,55
73,46,47
72,47,48
73,48,49
72,49,50
72,50,51
73,51,52
72,52,53
73,53,54
70,45,48
67,46,48
68,48,49
70,48,50
67,48,50
70,50,52
67,50,52
70,52,55
68,51,52
67,52,54
66,47,48
65,48,50
65,50,52
66,52,53
63,47,49
64,49,50
61,48,50
63,50,52
64,52,53
61,50,52
63,52,53
82,56,57
83,57,59
81,56,59
83,60,63
80,59,60
80,60,61
81,61,62
81,62,64
82,64,65
80,61,65
80,65,69
78,65,67
79,67,68
80,55,59
78,55,57
79,57,58
78,57,60
78,60,61
79,61,64
77,60,63
77,63,65
76,62,63
75,63,65
75,55,56
76,56,57
76,57,59
77,59,60
75,56,60
75,60,63
72,60,61
73,61,62
72,62,63
73,63,64
70,55,56
72,53,54
71,54,55
73,56,58
74,58,59
70,56,57
71,57,58
72,58,60
70,57,60
70,60,62
68,53,54
67,54,55
67,55,56
68,56,57
67,57,58
68,58,59
66,58,59
67,59,60
65,52,55
66,55,60
65,55,60
64,55,56
63,56,58
62,52,53
63,53,55
61,52,55
60,55,57
78,67,70
77,66,67
76,67,68
77,68,70
77,70,72
75,70,71
76,71,73
75,71,75
73,72,74
74,74,75
71,75,76
73,76,77
71,73,75
75,65,67
75,67,70
74,67,68
73,68,70
72,70,71
73,71,72
70,70,72
70,72,75
73,65,68
72,63,64
71,64,65
71,65,66
72,66,69
70,65,68
70,68,70
69,66,67
68,67,68
69,68,70
68,70,72
69,72,73
67,68,69
66,69,70
70,62,65
68,61,63
69,63,64
67,63,65
67,65,67
65,65,66
66,66,68
65,66,70
66,60,61
67,61,62
65,60,62
66,62,63
65,62,65
63,61,63
64,63,64
62,65,66
63,66,67
62,63,65
62,58,59
63,59,60
62,60,63
60,60,62
61,62,63
61,56,58
62,59,60
60,57,60
59,57,58
58,58,59
57,59,60
71,76,79
70,75,80
68,77,79
69,79,80
67,76,77
66,77,78
67,78,79
68,79,80
65,80,82
65,78,80
63,80,82
64,82,83
61,80,81
62,81,83
68,73,74
67,74,75
67,75,76
68,76,77
65,75,78
64,75,80
63,75,76
62,76,77
63,77,79
61,77,78
62,78,80
60,77,80
66,70,71
67,71,73
65,70,73
65,73,75
64,71,72
63,72,73
64,73,75
62,72,75
60,75,77
60,72,75
63,67,69
64,69,70
62,70,72
61,68,70
60,70,72
61,72,73
59,70,75
57,70,71
58,71,74
60,65,66
61,66,67
62,67,68
60,66,70
58,66,68
59,68,70
57,67,70
60,62,65
58,62,65
57,65,67
56,63,64
55,64,65
55,65,67
56,67,68
58,60,62
59,62,63
57,60,61
56,61,63
55,60,64
61,81,85
60,80,85
59,80,85
57,81,82
58,82,85
56,81,83
57,83,85
55,82,85
54,82,83
53,83,85
50,85,87
50,83,85
57,78,79
58,79,80
55,80,82
55,78,80
53,80,83
52,78,79
53,79,80
51,80,81
52,81,84
50,78,80
50,80,83
58,75,77
59,77,78
56,75,76
57,76,78
55,75,78
53,75,77
54,77,78
51,75,76
52,76,78
50,75,78
57,71,75
56,70,75
55,70,75
54,71,72
53,72,73
54,73,75
52,72,75
50,72,75
55,67,70
54,67,68
53,68,70
52,70,72
52,67,68
51,68,69
52,69,70
50,70,72
51,72,73
50,67,70
52,65,66
53,66,67
50,65,67
53,61,62
54,62,65
52,61,63
53,63,65
51,61,64
52,64,65
50,61,65
46,85,86
49,86,87
48,83,84
47,84,85
45,82,85
44,82,83
43,83,85
42,81,84
41,81,85
40,80,85
39,80,85
38,81,83
37,83,84
38,84,85
48,80,82
49,82,83
48,78,79
47,79,80
47,80,84
45,78,80
45,80,82
46,82,83
41,80,81
44,81,82
43,78,79
42,79,80
40,78,80
49,75,76
48,76,78
46,75,76
47,76,78
45,75,78
44,75,76
43,76,78
41,75,76
42,76,78
40,75,78
49,72,73
48,73,75
47,72,73
46,73,75
45,71,75
44,70,75
43,70,75
42,71,74
41,74,75
48,70,73
48,67,68
49,68,69
48,69,70
46,67,68
47,68,70
45,70,71
46,71,72
45,67,70
44,67,68
43,68,70
48,65,66
47,66,67
45,65,67
48,61,62
49,62,65
48,62,63
47,63,65
46,61,64
45,61,65
36,80,81
37,81,83
35,80,83
31,80,81
34,81,82
33,78,79
32,79,80
32,76,77
31,77,78
32,78,79
30,77,80
29,75,80
27,76,78
28,78,79
37,77,79
36,79,80
38,77,79
39,79,80
36,75,79
35,75,80
33,75,77
34,77,78
30,75,77
30,73,75
37,75,76
38,76,77
39,72,73
38,73,75
37,72,73
36,73,75
35,71,75
32,73,74
33,74,75
33,70,72
34,72,73
32,70,72
31,72,73
41,70,74
40,70,75
38,70,73
37,68,69
36,69,70
35,70,71
36,71,72
35,67,70
42,67,68
41,68,70
41,66,67
40,67,70
39,66,67
38,67,68
39,68,70
38,65,66
37,66,68
43,65,68
42,63,65
40,65,67
41,62,63
40,63,65
43,60,61
44,61,64
42,60,63
42,59,60
40,60,63
25,75,76
26,76,77
26,73,74
25,74,75
24,71,73
23,73,74
24,74,75
25,71,74
20,70,71
21,71,72
22,72,73
22,70,71
23,71,73
21,67,68
20,68,70
22,66,70
28,70,75
29,70,75
25,70,71
27,71,73
24,67,68
23,68,70
25,67,70
22,65,66
23,66,67
32,68,69
30,69,70
30,70,73
28,68,69
27,69,70
30,66,69
27,65,69
28,65,67
29,67,68
25,65,67
26,67,68
27,63,64
25,64,65
34,65,70
32,66,68
33,68,69
