## file created 05.May.2015 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 42004191   0   5   b    2       7          3              2      HB    -3    17      1
 42004291   0   5   b    2       7          4              0      HB    -5    17      1
 42004091   0   5   b    2       7          4              1      HB    -1    17      1
 42004491   0   5   b    2       7          4              2      HB    -9    17      1
 42004512   0   5   b    2       7          5              0      HB   -10    18      1
 42004312   0   5   b    2       7          5              1      HB    -6    18      1
 42004112   0   5   b    2       7          5              2      HB    -2    18      1
 42004412   0   5   b    2       7          6              0      HB    -8    18      1
 42004212   0   5   b    2       7          6              1      HB    -4    18      1
 42004612   0   5   b    2       7          6              2      HB   -12    18      1
 42004511   0   5   b    2       7          7              0      HB   -10    17      1
 42004311   0   5   b    2       7          7              1      HB    -6    17      1
 42004111   0   5   b    2       7          7              2      HB    -2    17      1
 42004411   0   5   b    2       7          8              0      HB    -8    17      1
 42004211   0   5   b    2       7          8              1      HB    -4    17      1
 42004611   0   5   b    2       7          8              2      HB   -12    17      1
 42008810   0   6   t    2       8          1              0      HB   -16    16      2
 42008790   0   6   t    2       8          1              1      HB   -15    16      2
 42004710   0   6   t    2       8          1              2      HB   -14    16      1
 42004790   0   6   t    2       8          2              0      HB   -15    16      1
 42004690   0   6   t    2       8          2              1      HB   -13    16      1
 42004810   0   6   t    2       8          2              2      HB   -16    16      1
 4200880F   0   6   t    2       8          3              0      HB   -16    15      2
 4200878F   0   6   t    2       8          3              1      HB   -15    15      2
 4200470F   0   6   t    2       8          3              2      HB   -14    15      1
 4200478F   0   6   t    2       8          4              0      HB   -15    15      1
 4200468F   0   6   t    2       8          4              1      HB   -13    15      1
 4200480F   0   6   t    2       8          4              2      HB   -16    15      1
 44004890   0   6   t    2       8          5              0      HE   -17    16      1
 4400C810   0   6   t    2       8          5              1      HE   -16    16      3
 44004C8F   0   6   t    2       8          5              2      HE   -25    15      1
 44004910   0   6   t    2       8          6              0      HE   -18    16      1
 44008910   0   6   t    2       8          6              1      HE   -18    16      2
 44008C8F   0   6   t    2       8          6              2      HE   -25    15      2
 4400488F   0   6   t    2       8          7              0      HE   -17    15      1
 4400C80F   0   6   t    2       8          7              1      HE   -16    15      3
 44004D0F   0   6   t    2       8          7              2      HE   -26    15      1
 4400490F   0   6   t    2       8          8              0      HE   -18    15      1
 4400890F   0   6   t    2       8          8              1      HE   -18    15      2
 44008D0F   0   6   t    2       8          8              2      HE   -26    15      2
 42008812   0   6   b    2       9          1              0      HB   -16    18      2
 42008792   0   6   b    2       9          1              1      HB   -15    18      2
 42004712   0   6   b    2       9          1              2      HB   -14    18      1
 42004792   0   6   b    2       9          2              0      HB   -15    18      1
 42004692   0   6   b    2       9          2              1      HB   -13    18      1
 42004812   0   6   b    2       9          2              2      HB   -16    18      1
 42008811   0   6   b    2       9          3              0      HB   -16    17      2
 42008791   0   6   b    2       9          3              1      HB   -15    17      2
 42004711   0   6   b    2       9          3              2      HB   -14    17      1
 42004791   0   6   b    2       9          4              0      HB   -15    17      1
 42004691   0   6   b    2       9          4              1      HB   -13    17      1
 42004811   0   6   b    2       9          4              2      HB   -16    17      1
 44004892   0   6   b    2       9          5              0      HE   -17    18      1
 4400C812   0   6   b    2       9          5              1      HE   -16    18      3
 44004D11   0   6   b    2       9          5              2      HE   -26    17      1
 44004912   0   6   b    2       9          6              0      HE   -18    18      1
 44008912   0   6   b    2       9          6              1      HE   -18    18      2
 44008D11   0   6   b    2       9          6              2      HE   -26    17      2
 44004891   0   6   b    2       9          7              0      HE   -17    17      1
 4400C811   0   6   b    2       9          7              1      HE   -16    17      3
 44004C91   0   6   b    2       9          7              2      HE   -25    17      1
 44004911   0   6   b    2       9          8              0      HE   -18    17      1
 44008911   0   6   b    2       9          8              1      HE   -18    17      2
 44008C91   0   6   b    2       9          8              2      HE   -25    17      2
 44004D8F   0   7   t    2      10          1              0      HE   -27    15      1
 44008D8F   0   7   t    2      10          1              1      HE   -27    15      2
 44008E8F   0   7   t    2      10          1              2      HE   -29    15      2
 4400CD8F   0   7   t    2      10          2              0      HE   -27    15      3
 44008B8F   0   7   t    2      10          2              1      HE   -23    15      2
 44004B8F   0   7   t    2      10          2              2      HE   -23    15      1
 44004E0F   0   7   t    2      10          3              0      HE   -28    15      1
 44008E0F   0   7   t    2      10          3              1      HE   -28    15      2
 44004E8F   0   7   t    2      10          3              2      HE   -29    15      1
 4400CE0F   0   7   t    2      10          4              0      HE   -28    15      3
 44008C0F   0   7   t    2      10          4              1      HE   -24    15      2
 44004C0F   0   7   t    2      10          4              2      HE   -24    15      1
 44008990   0   7   t    2      10          5              0      HE   -19    16      2
 44004A10   0   7   t    2      10          5              1      HE   -20    16      1
 44008A8F   0   7   t    2      10          5              2      HE   -21    15      2
 44004990   0   7   t    2      10          6              0      HE   -19    16      1
 44008A10   0   7   t    2      10          6              1      HE   -20    16      2
 44004A8F   0   7   t    2      10          6              2      HE   -21    15      1
 4400898F   0   7   t    2      10          7              0      HE   -19    15      2
 44004A0F   0   7   t    2      10          7              1      HE   -20    15      1
 44008B0F   0   7   t    2      10          7              2      HE   -22    15      2
 4400498F   0   7   t    2      10          8              0      HE   -19    15      1
 44008A0F   0   7   t    2      10          8              1      HE   -20    15      2
 44004B0F   0   7   t    2      10          8              2      HE   -22    15      1
 44004E11   0   7   b    2      11          1              0      HE   -28    17      1
 44008E11   0   7   b    2      11          1              1      HE   -28    17      2
 44004E91   0   7   b    2      11          1              2      HE   -29    17      1
 4400CE11   0   7   b    2      11          2              0      HE   -28    17      3
 44008C11   0   7   b    2      11          2              1      HE   -24    17      2
 44004C11   0   7   b    2      11          2              2      HE   -24    17      1
 44004D91   0   7   b    2      11          3              0      HE   -27    17      1
 44008D91   0   7   b    2      11          3              1      HE   -27    17      2
 44008E91   0   7   b    2      11          3              2      HE   -29    17      2
 4400CD91   0   7   b    2      11          4              0      HE   -27    17      3
 44008B91   0   7   b    2      11          4              1      HE   -23    17      2
 44004B91   0   7   b    2      11          4              2      HE   -23    17      1
 44008992   0   7   b    2      11          5              0      HE   -19    18      2
 44004A12   0   7   b    2      11          5              1      HE   -20    18      1
 44008B11   0   7   b    2      11          5              2      HE   -22    17      2
 44004992   0   7   b    2      11          6              0      HE   -19    18      1
 44008A12   0   7   b    2      11          6              1      HE   -20    18      2
 44004B11   0   7   b    2      11          6              2      HE   -22    17      1
 44008991   0   7   b    2      11          7              0      HE   -19    17      2
 44004A11   0   7   b    2      11          7              1      HE   -20    17      1
 44008A91   0   7   b    2      11          7              2      HE   -21    17      2
 44004991   0   7   b    2      11          8              0      HE   -19    17      1
 44008A11   0   7   b    2      11          8              1      HE   -20    17      2
 44004A91   0   7   b    2      11          8              2      HE   -21    17      1
 4200658B   0  13   t    3       0          1              0      HB    11    11      1
 4200638B   0  13   t    3       0          1              1      HB     7    11      1
 4200618B   0  13   t    3       0          1              2      HB     3    11      1
 4200628B   0  13   t    3       0          2              0      HB     5    11      1
 4200608B   0  13   t    3       0          2              1      HB     1    11      1
 4200648B   0  13   t    3       0          2              2      HB     9    11      1
 4200658C   0  13   t    3       0          3              0      HB    11    12      1
 4200638C   0  13   t    3       0          3              1      HB     7    12      1
 4200618C   0  13   t    3       0          3              2      HB     3    12      1
 4200628C   0  13   t    3       0          4              0      HB     5    12      1
 4200608C   0  13   t    3       0          4              1      HB     1    12      1
 4200648C   0  13   t    3       0          4              2      HB     9    12      1
 4200650B   0  13   t    3       0          5              0      HB    10    11      1
 4200630B   0  13   t    3       0          5              1      HB     6    11      1
 4200610B   0  13   t    3       0          5              2      HB     2    11      1
 4200640B   0  13   t    3       0          6              0      HB     8    11      1
 4200620B   0  13   t    3       0          6              1      HB     4    11      1
 4200660B   0  13   t    3       0          6              2      HB    12    11      1
 4200650C   0  13   t    3       0          7              0      HB    10    12      1
 4200630C   0  13   t    3       0          7              1      HB     6    12      1
 4200610C   0  13   t    3       0          7              2      HB     2    12      1
 4200640C   0  13   t    3       0          8              0      HB     8    12      1
 4200620C   0  13   t    3       0          8              1      HB     4    12      1
 4200660C   0  13   t    3       0          8              2      HB    12    12      1
 4200658D   0  13   b    3       1          1              0      HB    11    13      1
 4200638D   0  13   b    3       1          1              1      HB     7    13      1
 4200618D   0  13   b    3       1          1              2      HB     3    13      1
 4200628D   0  13   b    3       1          2              0      HB     5    13      1
 4200608D   0  13   b    3       1          2              1      HB     1    13      1
 4200648D   0  13   b    3       1          2              2      HB     9    13      1
 4200658E   0  13   b    3       1          3              0      HB    11    14      1
 4200638E   0  13   b    3       1          3              1      HB     7    14      1
 4200618E   0  13   b    3       1          3              2      HB     3    14      1
 4200628E   0  13   b    3       1          4              0      HB     5    14      1
 4200608E   0  13   b    3       1          4              1      HB     1    14      1
 4200648E   0  13   b    3       1          4              2      HB     9    14      1
 4200650D   0  13   b    3       1          5              0      HB    10    13      1
 4200630D   0  13   b    3       1          5              1      HB     6    13      1
 4200610D   0  13   b    3       1          5              2      HB     2    13      1
 4200640D   0  13   b    3       1          6              0      HB     8    13      1
 4200620D   0  13   b    3       1          6              1      HB     4    13      1
 4200660D   0  13   b    3       1          6              2      HB    12    13      1
 4200650E   0  13   b    3       1          7              0      HB    10    14      1
 4200630E   0  13   b    3       1          7              1      HB     6    14      1
 4200610E   0  13   b    3       1          7              2      HB     2    14      1
 4200640E   0  13   b    3       1          8              0      HB     8    14      1
 4200620E   0  13   b    3       1          8              1      HB     4    14      1
 4200660E   0  13   b    3       1          8              2      HB    12    14      1
 4200A80B   0  14   t    3       2          1              0      HB    16    11      2
 4200A78B   0  14   t    3       2          1              1      HB    15    11      2
 4200670B   0  14   t    3       2          1              2      HB    14    11      1
 4200678B   0  14   t    3       2          2              0      HB    15    11      1
 4200668B   0  14   t    3       2          2              1      HB    13    11      1
 4200680B   0  14   t    3       2          2              2      HB    16    11      1
 4200A80C   0  14   t    3       2          3              0      HB    16    12      2
 4200A78C   0  14   t    3       2          3              1      HB    15    12      2
 4200670C   0  14   t    3       2          3              2      HB    14    12      1
 4200678C   0  14   t    3       2          4              0      HB    15    12      1
 4200668C   0  14   t    3       2          4              1      HB    13    12      1
 4200680C   0  14   t    3       2          4              2      HB    16    12      1
 4400688B   0  14   t    3       2          5              0      HE    17    11      1
 4400E80B   0  14   t    3       2          5              1      HE    16    11      3
 44006D0B   0  14   t    3       2          5              2      HE    26    11      1
 4400690B   0  14   t    3       2          6              0      HE    18    11      1
 4400A90B   0  14   t    3       2          6              1      HE    18    11      2
 4400AD0B   0  14   t    3       2          6              2      HE    26    11      2
 4400688C   0  14   t    3       2          7              0      HE    17    12      1
 4400E80C   0  14   t    3       2          7              1      HE    16    12      3
 44006C8B   0  14   t    3       2          7              2      HE    25    11      1
 4400690C   0  14   t    3       2          8              0      HE    18    12      1
 4400A90C   0  14   t    3       2          8              1      HE    18    12      2
 4400AC8B   0  14   t    3       2          8              2      HE    25    11      2
 4200A80D   0  14   b    3       3          1              0      HB    16    13      2
 4200A78D   0  14   b    3       3          1              1      HB    15    13      2
 4200670D   0  14   b    3       3          1              2      HB    14    13      1
 4200678D   0  14   b    3       3          2              0      HB    15    13      1
 4200668D   0  14   b    3       3          2              1      HB    13    13      1
 4200680D   0  14   b    3       3          2              2      HB    16    13      1
 4200A80E   0  14   b    3       3          3              0      HB    16    14      2
 4200A78E   0  14   b    3       3          3              1      HB    15    14      2
 4200670E   0  14   b    3       3          3              2      HB    14    14      1
 4200678E   0  14   b    3       3          4              0      HB    15    14      1
 4200668E   0  14   b    3       3          4              1      HB    13    14      1
 4200680E   0  14   b    3       3          4              2      HB    16    14      1
 4400688D   0  14   b    3       3          5              0      HE    17    13      1
 4400E80D   0  14   b    3       3          5              1      HE    16    13      3
 44006C8D   0  14   b    3       3          5              2      HE    25    13      1
 4400690D   0  14   b    3       3          6              0      HE    18    13      1
 4400A90D   0  14   b    3       3          6              1      HE    18    13      2
 4400AC8D   0  14   b    3       3          6              2      HE    25    13      2
 4400688E   0  14   b    3       3          7              0      HE    17    14      1
 4400E80E   0  14   b    3       3          7              1      HE    16    14      3
 44006D0D   0  14   b    3       3          7              2      HE    26    13      1
 4400690E   0  14   b    3       3          8              0      HE    18    14      1
 4400A90E   0  14   b    3       3          8              1      HE    18    14      2
 4400AD0D   0  14   b    3       3          8              2      HE    26    13      2
 44006E0B   0  15   t    3       4          1              0      HE    28    11      1
 4400AE0B   0  15   t    3       4          1              1      HE    28    11      2
 44006E8B   0  15   t    3       4          1              2      HE    29    11      1
 4400EE0B   0  15   t    3       4          2              0      HE    28    11      3
 4400AC0B   0  15   t    3       4          2              1      HE    24    11      2
 44006C0B   0  15   t    3       4          2              2      HE    24    11      1
 44006D8B   0  15   t    3       4          3              0      HE    27    11      1
 4400AD8B   0  15   t    3       4          3              1      HE    27    11      2
 4400AE8B   0  15   t    3       4          3              2      HE    29    11      2
 4400ED8B   0  15   t    3       4          4              0      HE    27    11      3
 4400AB8B   0  15   t    3       4          4              1      HE    23    11      2
 44006B8B   0  15   t    3       4          4              2      HE    23    11      1
 4400A98B   0  15   t    3       4          5              0      HE    19    11      2
 44006A0B   0  15   t    3       4          5              1      HE    20    11      1
 4400AB0B   0  15   t    3       4          5              2      HE    22    11      2
 4400698B   0  15   t    3       4          6              0      HE    19    11      1
 4400AA0B   0  15   t    3       4          6              1      HE    20    11      2
 44006B0B   0  15   t    3       4          6              2      HE    22    11      1
 4400A98C   0  15   t    3       4          7              0      HE    19    12      2
 44006A0C   0  15   t    3       4          7              1      HE    20    12      1
 4400AA8B   0  15   t    3       4          7              2      HE    21    11      2
 4400698C   0  15   t    3       4          8              0      HE    19    12      1
 4400AA0C   0  15   t    3       4          8              1      HE    20    12      2
 44006A8B   0  15   t    3       4          8              2      HE    21    11      1
 44006D8D   0  15   b    3       5          1              0      HE    27    13      1
 4400AD8D   0  15   b    3       5          1              1      HE    27    13      2
 4400AE8D   0  15   b    3       5          1              2      HE    29    13      2
 4400ED8D   0  15   b    3       5          2              0      HE    27    13      3
 4400AB8D   0  15   b    3       5          2              1      HE    23    13      2
 44006B8D   0  15   b    3       5          2              2      HE    23    13      1
 44006E0D   0  15   b    3       5          3              0      HE    28    13      1
 4400AE0D   0  15   b    3       5          3              1      HE    28    13      2
 44006E8D   0  15   b    3       5          3              2      HE    29    13      1
 4400EE0D   0  15   b    3       5          4              0      HE    28    13      3
 4400AC0D   0  15   b    3       5          4              1      HE    24    13      2
 44006C0D   0  15   b    3       5          4              2      HE    24    13      1
 4400A98D   0  15   b    3       5          5              0      HE    19    13      2
 44006A0D   0  15   b    3       5          5              1      HE    20    13      1
 4400AA8D   0  15   b    3       5          5              2      HE    21    13      2
 4400698D   0  15   b    3       5          6              0      HE    19    13      1
 4400AA0D   0  15   b    3       5          6              1      HE    20    13      2
 44006A8D   0  15   b    3       5          6              2      HE    21    13      1
 4400A98E   0  15   b    3       5          7              0      HE    19    14      2
 44006A0E   0  15   b    3       5          7              1      HE    20    14      1
 4400AB0D   0  15   b    3       5          7              2      HE    22    13      2
 4400698E   0  15   b    3       5          8              0      HE    19    14      1
 4400AA0E   0  15   b    3       5          8              1      HE    20    14      2
 44006B0D   0  15   b    3       5          8              2      HE    22    13      1
 4200658F   0  16   t    3       6          1              0      HB    11    15      1
 4200638F   0  16   t    3       6          1              1      HB     7    15      1
 4200618F   0  16   t    3       6          1              2      HB     3    15      1
 4200628F   0  16   t    3       6          2              0      HB     5    15      1
 4200608F   0  16   t    3       6          2              1      HB     1    15      1
 4200648F   0  16   t    3       6          2              2      HB     9    15      1
 42006590   0  16   t    3       6          3              0      HB    11    16      1
 42006390   0  16   t    3       6          3              1      HB     7    16      1
 42006190   0  16   t    3       6          3              2      HB     3    16      1
 42006290   0  16   t    3       6          4              0      HB     5    16      1
 42006090   0  16   t    3       6          4              1      HB     1    16      1
 42006490   0  16   t    3       6          4              2      HB     9    16      1
 4200650F   0  16   t    3       6          5              0      HB    10    15      1
 4200630F   0  16   t    3       6          5              1      HB     6    15      1
 4200610F   0  16   t    3       6          5              2      HB     2    15      1
 4200640F   0  16   t    3       6          6              0      HB     8    15      1
 4200620F   0  16   t    3       6          6              1      HB     4    15      1
 4200660F   0  16   t    3       6          6              2      HB    12    15      1
 42006510   0  16   t    3       6          7              0      HB    10    16      1
 42006310   0  16   t    3       6          7              1      HB     6    16      1
 42006110   0  16   t    3       6          7              2      HB     2    16      1
 42006410   0  16   t    3       6          8              0      HB     8    16      1
 42006210   0  16   t    3       6          8              1      HB     4    16      1
 42006610   0  16   t    3       6          8              2      HB    12    16      1
 42006591   0  16   b    3       7          1              0      HB    11    17      1
 42006391   0  16   b    3       7          1              1      HB     7    17      1
 42006191   0  16   b    3       7          1              2      HB     3    17      1
 42006291   0  16   b    3       7          2              0      HB     5    17      1
 42006091   0  16   b    3       7          2              1      HB     1    17      1
 42006491   0  16   b    3       7          2              2      HB     9    17      1
 42006592   0  16   b    3       7          3              0      HB    11    18      1
 42006392   0  16   b    3       7          3              1      HB     7    18      1
 42006192   0  16   b    3       7          3              2      HB     3    18      1
