## file created 05.May.2015 #
#       i  cr  sl  tb  dcc  spigot  fiber/slb  fibcha/slbcha  subdet  ieta  iphi  depth
 4200458C   0   2   t    2       0          1              0      HB   -11    12      1
 4200438C   0   2   t    2       0          1              1      HB    -7    12      1
 4200418C   0   2   t    2       0          1              2      HB    -3    12      1
 4200428C   0   2   t    2       0          2              0      HB    -5    12      1
 4200408C   0   2   t    2       0          2              1      HB    -1    12      1
 4200448C   0   2   t    2       0          2              2      HB    -9    12      1
 4200458B   0   2   t    2       0          3              0      HB   -11    11      1
 4200438B   0   2   t    2       0          3              1      HB    -7    11      1
 4200418B   0   2   t    2       0          3              2      HB    -3    11      1
 4200428B   0   2   t    2       0          4              0      HB    -5    11      1
 4200408B   0   2   t    2       0          4              1      HB    -1    11      1
 4200448B   0   2   t    2       0          4              2      HB    -9    11      1
 4200450C   0   2   t    2       0          5              0      HB   -10    12      1
 4200430C   0   2   t    2       0          5              1      HB    -6    12      1
 4200410C   0   2   t    2       0          5              2      HB    -2    12      1
 4200440C   0   2   t    2       0          6              0      HB    -8    12      1
 4200420C   0   2   t    2       0          6              1      HB    -4    12      1
 4200460C   0   2   t    2       0          6              2      HB   -12    12      1
 4200450B   0   2   t    2       0          7              0      HB   -10    11      1
 4200430B   0   2   t    2       0          7              1      HB    -6    11      1
 4200410B   0   2   t    2       0          7              2      HB    -2    11      1
 4200440B   0   2   t    2       0          8              0      HB    -8    11      1
 4200420B   0   2   t    2       0          8              1      HB    -4    11      1
 4200460B   0   2   t    2       0          8              2      HB   -12    11      1
 4200458E   0   2   b    2       1          1              0      HB   -11    14      1
 4200438E   0   2   b    2       1          1              1      HB    -7    14      1
 4200418E   0   2   b    2       1          1              2      HB    -3    14      1
 4200428E   0   2   b    2       1          2              0      HB    -5    14      1
 4200408E   0   2   b    2       1          2              1      HB    -1    14      1
 4200448E   0   2   b    2       1          2              2      HB    -9    14      1
 4200458D   0   2   b    2       1          3              0      HB   -11    13      1
 4200438D   0   2   b    2       1          3              1      HB    -7    13      1
 4200418D   0   2   b    2       1          3              2      HB    -3    13      1
 4200428D   0   2   b    2       1          4              0      HB    -5    13      1
 4200408D   0   2   b    2       1          4              1      HB    -1    13      1
 4200448D   0   2   b    2       1          4              2      HB    -9    13      1
 4200450E   0   2   b    2       1          5              0      HB   -10    14      1
 4200430E   0   2   b    2       1          5              1      HB    -6    14      1
 4200410E   0   2   b    2       1          5              2      HB    -2    14      1
 4200440E   0   2   b    2       1          6              0      HB    -8    14      1
 4200420E   0   2   b    2       1          6              1      HB    -4    14      1
 4200460E   0   2   b    2       1          6              2      HB   -12    14      1
 4200450D   0   2   b    2       1          7              0      HB   -10    13      1
 4200430D   0   2   b    2       1          7              1      HB    -6    13      1
 4200410D   0   2   b    2       1          7              2      HB    -2    13      1
 4200440D   0   2   b    2       1          8              0      HB    -8    13      1
 4200420D   0   2   b    2       1          8              1      HB    -4    13      1
 4200460D   0   2   b    2       1          8              2      HB   -12    13      1
 4200880C   0   3   t    2       2          1              0      HB   -16    12      2
 4200878C   0   3   t    2       2          1              1      HB   -15    12      2
 4200470C   0   3   t    2       2          1              2      HB   -14    12      1
 4200478C   0   3   t    2       2          2              0      HB   -15    12      1
 4200468C   0   3   t    2       2          2              1      HB   -13    12      1
 4200480C   0   3   t    2       2          2              2      HB   -16    12      1
 4200880B   0   3   t    2       2          3              0      HB   -16    11      2
 4200878B   0   3   t    2       2          3              1      HB   -15    11      2
 4200470B   0   3   t    2       2          3              2      HB   -14    11      1
 4200478B   0   3   t    2       2          4              0      HB   -15    11      1
 4200468B   0   3   t    2       2          4              1      HB   -13    11      1
 4200480B   0   3   t    2       2          4              2      HB   -16    11      1
 4400488C   0   3   t    2       2          5              0      HE   -17    12      1
 4400C80C   0   3   t    2       2          5              1      HE   -16    12      3
 44004C8B   0   3   t    2       2          5              2      HE   -25    11      1
 4400490C   0   3   t    2       2          6              0      HE   -18    12      1
 4400890C   0   3   t    2       2          6              1      HE   -18    12      2
 44008C8B   0   3   t    2       2          6              2      HE   -25    11      2
 4400488B   0   3   t    2       2          7              0      HE   -17    11      1
 4400C80B   0   3   t    2       2          7              1      HE   -16    11      3
 44004D0B   0   3   t    2       2          7              2      HE   -26    11      1
 4400490B   0   3   t    2       2          8              0      HE   -18    11      1
 4400890B   0   3   t    2       2          8              1      HE   -18    11      2
 44008D0B   0   3   t    2       2          8              2      HE   -26    11      2
 4200880E   0   3   b    2       3          1              0      HB   -16    14      2
 4200878E   0   3   b    2       3          1              1      HB   -15    14      2
 4200470E   0   3   b    2       3          1              2      HB   -14    14      1
 4200478E   0   3   b    2       3          2              0      HB   -15    14      1
 4200468E   0   3   b    2       3          2              1      HB   -13    14      1
 4200480E   0   3   b    2       3          2              2      HB   -16    14      1
 4200880D   0   3   b    2       3          3              0      HB   -16    13      2
 4200878D   0   3   b    2       3          3              1      HB   -15    13      2
 4200470D   0   3   b    2       3          3              2      HB   -14    13      1
 4200478D   0   3   b    2       3          4              0      HB   -15    13      1
 4200468D   0   3   b    2       3          4              1      HB   -13    13      1
 4200480D   0   3   b    2       3          4              2      HB   -16    13      1
 4400488E   0   3   b    2       3          5              0      HE   -17    14      1
 4400C80E   0   3   b    2       3          5              1      HE   -16    14      3
 44004D0D   0   3   b    2       3          5              2      HE   -26    13      1
 4400490E   0   3   b    2       3          6              0      HE   -18    14      1
 4400890E   0   3   b    2       3          6              1      HE   -18    14      2
 44008D0D   0   3   b    2       3          6              2      HE   -26    13      2
 4400488D   0   3   b    2       3          7              0      HE   -17    13      1
 4400C80D   0   3   b    2       3          7              1      HE   -16    13      3
 44004C8D   0   3   b    2       3          7              2      HE   -25    13      1
 4400490D   0   3   b    2       3          8              0      HE   -18    13      1
 4400890D   0   3   b    2       3          8              1      HE   -18    13      2
 44008C8D   0   3   b    2       3          8              2      HE   -25    13      2
 44004D8B   0   4   t    2       4          1              0      HE   -27    11      1
 44008D8B   0   4   t    2       4          1              1      HE   -27    11      2
 44008E8B   0   4   t    2       4          1              2      HE   -29    11      2
 4400CD8B   0   4   t    2       4          2              0      HE   -27    11      3
 44008B8B   0   4   t    2       4          2              1      HE   -23    11      2
 44004B8B   0   4   t    2       4          2              2      HE   -23    11      1
 44004E0B   0   4   t    2       4          3              0      HE   -28    11      1
 44008E0B   0   4   t    2       4          3              1      HE   -28    11      2
 44004E8B   0   4   t    2       4          3              2      HE   -29    11      1
 4400CE0B   0   4   t    2       4          4              0      HE   -28    11      3
 44008C0B   0   4   t    2       4          4              1      HE   -24    11      2
 44004C0B   0   4   t    2       4          4              2      HE   -24    11      1
 4400898C   0   4   t    2       4          5              0      HE   -19    12      2
 44004A0C   0   4   t    2       4          5              1      HE   -20    12      1
 44008A8B   0   4   t    2       4          5              2      HE   -21    11      2
 4400498C   0   4   t    2       4          6              0      HE   -19    12      1
 44008A0C   0   4   t    2       4          6              1      HE   -20    12      2
 44004A8B   0   4   t    2       4          6              2      HE   -21    11      1
 4400898B   0   4   t    2       4          7              0      HE   -19    11      2
 44004A0B   0   4   t    2       4          7              1      HE   -20    11      1
 44008B0B   0   4   t    2       4          7              2      HE   -22    11      2
 4400498B   0   4   t    2       4          8              0      HE   -19    11      1
 44008A0B   0   4   t    2       4          8              1      HE   -20    11      2
 44004B0B   0   4   t    2       4          8              2      HE   -22    11      1
 44004E0D   0   4   b    2       5          1              0      HE   -28    13      1
 44008E0D   0   4   b    2       5          1              1      HE   -28    13      2
 44004E8D   0   4   b    2       5          1              2      HE   -29    13      1
 4400CE0D   0   4   b    2       5          2              0      HE   -28    13      3
 44008C0D   0   4   b    2       5          2              1      HE   -24    13      2
 44004C0D   0   4   b    2       5          2              2      HE   -24    13      1
 44004D8D   0   4   b    2       5          3              0      HE   -27    13      1
 44008D8D   0   4   b    2       5          3              1      HE   -27    13      2
 44008E8D   0   4   b    2       5          3              2      HE   -29    13      2
 4400CD8D   0   4   b    2       5          4              0      HE   -27    13      3
 44008B8D   0   4   b    2       5          4              1      HE   -23    13      2
 44004B8D   0   4   b    2       5          4              2      HE   -23    13      1
 4400898E   0   4   b    2       5          5              0      HE   -19    14      2
 44004A0E   0   4   b    2       5          5              1      HE   -20    14      1
 44008B0D   0   4   b    2       5          5              2      HE   -22    13      2
 4400498E   0   4   b    2       5          6              0      HE   -19    14      1
 44008A0E   0   4   b    2       5          6              1      HE   -20    14      2
 44004B0D   0   4   b    2       5          6              2      HE   -22    13      1
 4400898D   0   4   b    2       5          7              0      HE   -19    13      2
 44004A0D   0   4   b    2       5          7              1      HE   -20    13      1
 44008A8D   0   4   b    2       5          7              2      HE   -21    13      2
 4400498D   0   4   b    2       5          8              0      HE   -19    13      1
 44008A0D   0   4   b    2       5          8              1      HE   -20    13      2
 44004A8D   0   4   b    2       5          8              2      HE   -21    13      1
 42004590   0   5   t    2       6          1              0      HB   -11    16      1
 42004390   0   5   t    2       6          1              1      HB    -7    16      1
 42004190   0   5   t    2       6          1              2      HB    -3    16      1
 42004290   0   5   t    2       6          2              0      HB    -5    16      1
 42004090   0   5   t    2       6          2              1      HB    -1    16      1
 42004490   0   5   t    2       6          2              2      HB    -9    16      1
 4200458F   0   5   t    2       6          3              0      HB   -11    15      1
 4200438F   0   5   t    2       6          3              1      HB    -7    15      1
 4200418F   0   5   t    2       6          3              2      HB    -3    15      1
 4200428F   0   5   t    2       6          4              0      HB    -5    15      1
 4200408F   0   5   t    2       6          4              1      HB    -1    15      1
 4200448F   0   5   t    2       6          4              2      HB    -9    15      1
 42004510   0   5   t    2       6          5              0      HB   -10    16      1
 42004310   0   5   t    2       6          5              1      HB    -6    16      1
 42004110   0   5   t    2       6          5              2      HB    -2    16      1
 42004410   0   5   t    2       6          6              0      HB    -8    16      1
 42004210   0   5   t    2       6          6              1      HB    -4    16      1
 42004610   0   5   t    2       6          6              2      HB   -12    16      1
 4200450F   0   5   t    2       6          7              0      HB   -10    15      1
 4200430F   0   5   t    2       6          7              1      HB    -6    15      1
 4200410F   0   5   t    2       6          7              2      HB    -2    15      1
 4200440F   0   5   t    2       6          8              0      HB    -8    15      1
 4200420F   0   5   t    2       6          8              1      HB    -4    15      1
 4200460F   0   5   t    2       6          8              2      HB   -12    15      1
 42004592   0   5   b    2       7          1              0      HB   -11    18      1
 42004392   0   5   b    2       7          1              1      HB    -7    18      1
 42004192   0   5   b    2       7          1              2      HB    -3    18      1
 42004292   0   5   b    2       7          2              0      HB    -5    18      1
 42004092   0   5   b    2       7          2              1      HB    -1    18      1
 42004492   0   5   b    2       7          2              2      HB    -9    18      1
 42004591   0   5   b    2       7          3              0      HB   -11    17      1
 42004391   0   5   b    2       7          3              1      HB    -7    17      1
