module,frac,noise
304152580,0.0011532706927266758,0.0002685582743450589
304152584,0.0012970261789005885,0.00025865466972091927
304152588,0.0015730334468433509,0.00025686756966793216
304152592,0.001908876439485001,0.00025627002167315997
304152596,0.0019257165044869753,0.0002542864235987477
304152600,0.0016044793600571829,0.00025120958100741466
304152604,0.001317081559664895,0.0002460242626862928
304152608,0.0011586627845456088,0.00024272451707380862
304156676,0.0010999993831683835,0.00022591732265077297
304156680,0.0012368663669631503,0.00022546227296050539
304156684,0.0014725769984220405,0.0002209620627562583
304156688,0.0017840233747002,0.0002208009619232099
304156692,0.001802782065181668,0.00022290899736851147
304156696,0.0015158096205057845,0.0002176459797004855
304156700,0.001253942866583306,0.0002114341994566341
304156704,0.001105553881447538,0.00020964429400914606
304160772,0.001157513284349712,0.00022736122493369177
304160776,0.0013032379614026563,0.0002384604125278909
304160780,0.001583486252004047,0.00023209066278404996
304160784,0.0019211473933003103,0.00022425924972242162
304160788,0.0019414906517845462,0.00022713296592422752
304160792,0.0016162706811661588,0.0002235044067381596
304160796,0.0013238492058917047,0.00022055121225819944
304160800,0.0011658581901308226,0.00021995510275130454
304164868,0.001119678470622497,0.00021249990621386542
304164872,0.001252818928747196,0.00021374422744501714
304164876,0.0015036669029989751,0.00020855103345648489
304164880,0.0018044977779571216,0.00021627672930729452
304164884,0.0018155994287789613,0.00021555011719627792
304164888,0.0015300826847696133,0.00020816475873932188
304164892,0.0012677442921148504,0.0002001559092993728
304164896,0.001118719870657257,0.00019764549536213367
304168964,0.0011743583975735471,0.00023092910476483718
304168968,0.0013855858930301886,0.00022940483584245599
304168972,0.0008063383456990484,0.000114246602777888
304168976,0.0019426457136294138,0.00022486474260152709
304168980,0.00195902842980894,0.0002265757649060284
304168984,0.0016335058039484481,0.00022395172811757498
304168988,0.0013395175929412884,0.00021606774506245722
304168992,0.001180061132872018,0.00021235085888096698
304173060,0.0010645450326449357,0.00019546922079781843
304173064,0.001196728505661729,0.00019389795273556061
304173068,0.0007204638926413026,0.00010054941779857978
304173072,0.0017087941529735974,0.00019765906042470806
304173076,0.0017253040269778622,0.0001990398354456271
304173080,0.0019697196487202515,0.026028532301930172
304173084,0.0012181006089710769,0.00018948683206494163
304173088,0.0010747195029460043,0.00018613647910413312
304177156,0.0011664651785751384,0.00022566310163435092
304177160,0.001311728623116771,0.0002199526162677763
304177164,0.001594551297480779,0.00022309066726816334
304177168,0.0018304806660982584,0.000212703977078226
304177172,0.001954345202993446,0.00022586528443705202
304177176,0.0016269101959597058,0.00022121129991200646
304177180,0.0013260312911861833,0.00021603125784492368
304177184,0.0011697697761567127,0.0002123540979126479
304181256,0.001255439070625352,0.00020896624760781545
304181260,0.0015083816611229448,0.00021110430561849375
304181264,0.001809727471920757,0.00020982582610908944
304181268,0.0018241193013404807,0.00021499654418375577
304181272,0.0015315180405283872,0.0002095947117957382
304181276,0.0012680794194704138,0.00020413977729567785
304181280,0.0011253014239374093,0.00020305419065607967
304185348,0.001173620023418684,0.00021763996212018018
304185352,0.0013172946692034326,0.0002251431902283632
304185356,0.0016004616036152794,0.00022587285789346
304185360,0.0019515760238380767,0.0002207795118255578
304185364,0.0019543878748097105,0.00021693356029508335
304185368,0.0016325837232790798,0.00021147962324785687
304185372,0.0013412951521711547,0.00020959924538116936
304185376,0.0011790645163541956,0.00020436096024935033
304189448,0.0012461986389691846,0.00021014148186287936
304189452,0.0015030873642610284,0.0002059286589063037
304189456,0.0018096989867552448,0.0002106804115614861
304189460,0.0018220292801238835,0.0002075509011135753
304189464,0.0015337346487764559,0.00020224373057506017
304189468,0.0012617468381821671,0.00019678941758921958
