    15     7
   211  -211   310   321  -321   130   111
   2   1.152   1.157
   3   1.880   1.920
   4   2.534   2.579
   5   3.415   3.318
   6   4.304   4.061
   7   5.042   4.851
   8   5.729   5.695
   9   6.696   6.481
  20  16.556  16.424
  30  25.934  25.904
  50  44.161  44.316
 100  91.577  91.587
 150 138.095 138.562
 200 185.897 185.784
 300 289.882 282.716
    11    10
  2112 -2112  2212 -2212  3112 -3112  3222 -3222  3312 -3312
   2   0.759   0.653
   3   1.364   1.215
   4   1.967   1.898
   5   2.594   2.611
   6   3.365   3.338
   7   4.020   4.027
   8   4.765   4.765
   9   5.829   5.551
  20  14.538  14.848
  30  23.481  23.786
 350 332.743 324.366
