  1	      10	  1	   119		 1
  1	      10	  1	   125		 2
  1	      10	  1	   126		 3
  1	      10	  1	    63		 4
  1	      10	  2	   119		 1
  1	      10	  2	   125		 2
  1	      10	  2	   126		 3
  1	      10	  2	    63		 4
  1	      10	  3	   103		14
  1	      10	  3	   107		13
  1	      10	  3	   109		15
  1	      10	  3	   111		 6
  1	      10	  3	   115		 8
  1	      10	  3	   119		 1
  1	      10	  3	   121		 9
  1	      10	  3	   122		10
  1	      10	  3	   123		 7
  1	      10	  3	   125		 2
  1	      10	  3	   126		 3
  1	      10	  3	    59		11
  1	      10	  3	    63		 4
  1	      10	  3	    91		12
  1	      10	  3	    95		 5
  1	      10	  4	   119		 1
  1	      10	  4	   125		 2
  1	      10	  4	   126		 3
  1	      10	  5	   119		 1
  1	      10	  5	   125		 2
  1	      10	  5	   126		 3
  1	      10	  5	    63		 4
  1	      10	  7	   103		14
  1	      10	  7	   107		13
  1	      10	  7	   109		15
  1	      10	  7	   111		 6
  1	      10	  7	   115		 8
  1	      10	  7	   119		 1
  1	      10	  7	   121		 9
  1	      10	  7	   122		10
  1	      10	  7	   123		 7
  1	      10	  7	   125		 2
  1	      10	  7	   126		 3
  1	      10	  7	    59		11
  1	      10	  7	    63		 4
  1	      10	  7	    91		12
  1	      10	  7	    95		 5
  1	      10	  8	   107		13
  1	      10	  8	   111		 6
  1	      10	  8	   115		 8
  1	      10	  8	   119		 1
  1	      10	  8	   121		 9
  1	      10	  8	   122		10
  1	      10	  8	   123		 7
  1	      10	  8	   125		 2
  1	      10	  8	   126		 3
  1	      10	  8	    59		11
  1	      10	  8	    63		 4
  1	      10	  8	    91		12
  1	      10	  8	    95		 5
  1	      11	  1	   119		 1
  1	      11	  1	   125		 2
  1	      11	  1	   126		 3
  1	      11	  1	    63		 4
  1	      11	  1	    95		 5
  1	      11	  2	   119		 1
  1	      11	  2	   125		 2
  1	      11	  2	   126		 3
  1	      11	  2	    63		 4
  1	      11	  2	    95		 5
  1	      11	  3	   119		 1
  1	      11	  3	   125		 2
  1	      11	  3	   126		 3
  1	      11	  3	    63		 4
  1	      11	  4	   119		 1
  1	      11	  4	   125		 2
  1	      11	  4	   126		 3
  1	      11	  4	    63		 4
  1	      11	  4	    95		 5
