#i     cr sl  tb dcc spigot  fiber  fiberchan        subdet zside sector  module
1 18 4 t 0 2 3 1 CASTOR_HAD 0 5 8
2 18 3 b 0 1 6 2 CASTOR_HAD 0 4 4
3 18 7 t 2 1 1 2 CASTOR_HAD 0 13 3
4 18 6 b 1 2 5 0 CASTOR_HAD 0 15 14
5 18 7 b 2 2 1 2 CASTOR_HAD 0 15 3
6 18 7 b 2 2 7 1 CASTOR_HAD 0 16 8
7 18 4 b 1 0 1 1 CASTOR_EM 0 7 2
8 18 4 t 0 2 8 0 CASTOR_HAD 0 6 10
9 18 7 t 2 1 6 1 CASTOR_HAD 0 14 6
10 18 5 b 2 0 4 0 CASTOR_HAD 0 11 10
11 18 3 b 0 1 6 0 CASTOR_HAD 0 4 5
12 18 7 t 2 1 1 1 CASTOR_EM 0 13 2
13 18 7 t 2 1 4 1 CASTOR_HAD 0 13 11
14 18 5 t 1 1 1 0 CASTOR_EM 0 9 1
15 18 7 b 2 2 7 2 CASTOR_HAD 0 16 9
16 18 4 b 1 0 1 0 CASTOR_EM 0 7 1
17 18 6 t 1 3 4 1 CASTOR_HAD 0 2 14
18 18 5 t 1 1 3 1 CASTOR_HAD 0 9 8
19 18 3 t 0 0 7 0 CASTOR_HAD 0 2 8
20 18 4 t 0 2 1 1 CASTOR_HAD 0 5 3
21 18 4 b 1 0 4 0 CASTOR_HAD 0 7 10
22 18 6 b 1 2 6 1 CASTOR_HAD 0 14 13
23 18 3 b 0 1 5 0 CASTOR_EM 0 4 2
24 18 7 b 2 2 8 2 CASTOR_HAD 0 16 12
25 18 5 t 1 1 7 1 CASTOR_HAD 0 10 9
26 18 4 t 0 2 4 1 CASTOR_HAD 0 5 12
27 18 5 t 1 1 6 2 CASTOR_HAD 0 10 6
28 18 6 t 1 3 1 2 CASTOR_HAD 0 4 13
29 18 7 t 2 1 4 0 CASTOR_HAD 0 13 10
30 18 4 t 0 2 6 0 CASTOR_HAD 0 6 5
31 18 7 t 2 1 6 2 CASTOR_HAD 0 14 4
32 18 3 t 0 0 8 0 CASTOR_HAD 0 2 11
33 18 3 t 0 0 3 1 CASTOR_HAD 0 1 9
34 18 3 b 0 1 5 1 CASTOR_HAD 0 4 3
35 18 5 t 1 1 1 2 CASTOR_HAD 0 9 3
36 18 6 t 1 3 5 0 CASTOR_HAD 0 7 13
37 18 6 t 1 3 1 1 CASTOR_HAD 0 1 14
38 18 6 b 1 2 6 2 CASTOR_HAD 0 14 14
39 18 4 b 1 0 3 2 CASTOR_HAD 0 7 7
40 18 3 t 0 0 5 0 CASTOR_EM 0 2 1
41 18 5 b 2 0 1 0 CASTOR_EM 0 11 2
42 18 4 b 1 0 5 0 CASTOR_EM 0 8 2
43 18 4 t 0 2 4 0 CASTOR_HAD 0 5 11
44 18 5 t 1 1 4 2 CASTOR_HAD 0 9 12
45 18 5 b 2 0 1 2 CASTOR_EM 0 11 1
46 18 6 t 1 3 4 2 CASTOR_HAD 0 4 14
47 18 6 t 1 3 3 2 CASTOR_HAD 0 13 13
48 18 7 b 2 2 2 2 CASTOR_HAD 0 15 4
49 18 7 t 2 1 4 2 CASTOR_HAD 0 13 12
50 18 7 b 2 2 4 2 CASTOR_HAD 0 15 10
51 18 5 t 1 1 8 2 CASTOR_HAD 0 10 10
52 18 3 b 0 1 4 0 CASTOR_HAD 0 3 11
53 18 6 t 1 3 8 1 CASTOR_HAD 0 12 13
54 18 7 b 2 2 6 2 CASTOR_HAD 0 16 4
55 18 4 b 1 0 2 2 CASTOR_HAD 0 7 6
56 18 4 b 1 0 5 1 CASTOR_HAD 0 8 3
57 18 3 b 0 1 3 2 CASTOR_HAD 0 3 9
58 18 4 t 0 2 7 2 CASTOR_HAD 0 6 7
59 18 6 t 1 3 2 1 CASTOR_HAD 0 1 13
60 18 7 t 2 1 5 1 CASTOR_EM 0 14 2
61 18 6 b 1 2 5 2 CASTOR_HAD 0 16 14
62 18 6 t 1 3 7 2 CASTOR_HAD 0 11 14
63 18 3 b 0 1 5 2 CASTOR_EM 0 4 1
64 18 4 b 1 0 6 0 CASTOR_HAD 0 8 4
65 18 6 t 1 3 6 0 CASTOR_HAD 0 5 14
66 18 3 t 0 0 1 1 CASTOR_EM 0 1 2
67 18 5 t 1 1 4 1 CASTOR_HAD 0 9 11
68 18 5 t 1 1 8 0 CASTOR_HAD 0 10 11
69 18 5 t 1 1 2 1 CASTOR_HAD 0 9 5
70 18 7 b 2 2 6 0 CASTOR_HAD 0 16 5
71 18 4 b 1 0 2 1 CASTOR_HAD 0 7 5
72 18 3 t 0 0 5 2 CASTOR_HAD 0 2 3
73 18 5 b 2 0 2 0 CASTOR_HAD 0 11 4
74 18 3 b 0 1 3 1 CASTOR_HAD 0 3 8
75 18 4 t 0 2 2 2 CASTOR_HAD 0 5 4
76 18 6 t 1 3 4 0 CASTOR_HAD 0 3 14
77 18 5 b 2 0 8 2 CASTOR_HAD 0 12 10
78 18 6 t 1 3 6 2 CASTOR_HAD 0 7 14
79 18 7 b 2 2 2 1 CASTOR_HAD 0 15 6
80 18 4 t 0 2 8 1 CASTOR_HAD 0 6 11
81 18 7 b 2 2 3 2 CASTOR_HAD 0 15 9
82 18 5 b 2 0 5 0 CASTOR_EM 0 12 1
83 18 7 b 2 2 6 1 CASTOR_HAD 0 16 6
84 18 4 b 1 0 2 0 CASTOR_HAD 0 7 4
85 18 4 t 0 2 7 0 CASTOR_HAD 0 6 8
86 18 4 b 1 0 5 2 CASTOR_EM 0 8 1
87 18 3 b 0 1 3 0 CASTOR_HAD 0 3 7
88 18 4 t 0 2 5 0 CASTOR_EM 0 6 1
89 18 7 t 2 1 3 1 CASTOR_HAD 0 13 8
90 18 7 t 2 1 7 1 CASTOR_HAD 0 14 9
91 18 6 t 1 3 5 1 CASTOR_HAD 0 8 13
