#i     cr sl  tb dcc spigot  fiber  fiberchan        subdet zside sector  module
1 0 7 t 0 0 1 0 CASTOR_EM  0 1 1
2 0 7 t 0 0 1 1 CASTOR_EM  0 1 2
3 0 7 t 0 0 1 2 CASTOR_HAD 0 1 3
4 0 7 t 0 0 2 0 CASTOR_HAD 0 1 4
5 0 7 t 0 0 2 1 CASTOR_HAD 0 1 5
6 0 7 t 0 0 2 2 CASTOR_HAD 0 1 6
7 0 7 t 0 0 3 0 CASTOR_HAD 0 1 7
8 0 7 t 0 0 3 1 CASTOR_HAD 0 1 8
9 0 7 t 0 0 3 2 CASTOR_HAD 0 1 9
10 0 7 t 0 0 4 0 CASTOR_HAD 0 1 10
11 0 7 t 0 0 4 1 CASTOR_HAD 0 1 11
12 0 7 t 0 0 4 2 CASTOR_HAD 0 1 12
13 0 7 t 0 0 5 0 CASTOR_EM  0 2 1
14 0 7 t 0 0 5 1 CASTOR_EM  0 2 2
15 0 7 t 0 0 5 2 CASTOR_HAD 0 2 3
16 0 7 t 0 0 6 0 CASTOR_HAD 0 2 4
17 0 7 t 0 0 6 1 CASTOR_HAD 0 2 5
18 0 7 t 0 0 6 2 CASTOR_HAD 0 2 6
19 0 7 t 0 0 7 0 CASTOR_HAD 0 2 7
20 0 7 t 0 0 7 1 CASTOR_HAD 0 2 8
21 0 7 t 0 0 7 2 CASTOR_HAD 0 2 9
22 0 7 t 0 0 8 0 CASTOR_HAD 0 2 10
23 0 7 t 0 0 8 1 CASTOR_HAD 0 2 11
24 0 7 t 0 0 8 2 CASTOR_HAD 0 2 12
25 0 7 b 0 1 1 0 CASTOR_EM  0 3 1
26 0 7 b 0 1 1 1 CASTOR_EM  0 3 2
27 0 7 b 0 1 1 2 CASTOR_HAD 0 3 3
28 0 7 b 0 1 2 0 CASTOR_HAD 0 3 4
29 0 7 b 0 1 2 1 CASTOR_HAD 0 3 5
30 0 7 b 0 1 2 2 CASTOR_HAD 0 3 6
31 0 7 b 0 1 3 0 CASTOR_HAD 0 3 7
32 0 7 b 0 1 3 1 CASTOR_HAD 0 3 8
33 0 7 b 0 1 3 2 CASTOR_HAD 0 3 9
34 0 7 b 0 1 4 0 CASTOR_HAD 0 3 10
35 0 7 b 0 1 4 1 CASTOR_HAD 0 3 11
36 0 7 b 0 1 4 2 CASTOR_HAD 0 3 12
37 0 7 b 0 1 5 0 CASTOR_EM  0 4 1
38 0 7 b 0 1 5 1 CASTOR_EM  0 4 2
39 0 7 b 0 1 5 2 CASTOR_HAD 0 4 3
40 0 7 b 0 1 6 0 CASTOR_HAD 0 4 4
41 0 7 b 0 1 6 1 CASTOR_HAD 0 4 5
42 0 7 b 0 1 6 2 CASTOR_HAD 0 4 6
43 0 7 b 0 1 7 0 CASTOR_HAD 0 4 7
44 0 7 b 0 1 7 1 CASTOR_HAD 0 4 8
45 0 7 b 0 1 7 2 CASTOR_HAD 0 4 9
46 0 7 b 0 1 8 0 CASTOR_HAD 0 4 10
47 0 7 b 0 1 8 1 CASTOR_HAD 0 4 11
48 0 7 b 0 1 8 2 CASTOR_HAD 0 4 12
49 0 8 t 0 2 1 0 CASTOR_EM  0 5 1
50 0 8 t 0 2 1 1 CASTOR_EM  0 5 2
51 0 8 t 0 2 1 2 CASTOR_HAD 0 5 3
