plane u v typecode econdidx captureblock captureblockidx slinkidx fedid zside
1 -1 7 ML-F3W 10 1 0 1 118 -1
1 -1 8 ML-F3W 11 1 0 1 118 -1
1 0 -8 ML-F3W 10 0 0 0 314 -1
1 0 -7 ML-F3W 9 0 0 0 314 -1
1 0 -6 ML-F3W 8 0 0 0 314 -1
1 0 -5 ML-F3W 7 0 0 0 314 -1
1 0 -4 MH-F2W 2 0 0 0 314 -1
1 0 -3 MH-F2W 1 0 0 0 314 -1
1 0 -2 MH-B1W 0 0 0 0 314 -1
1 0 2 MH-B1W 0 0 0 0 149 -1
1 0 3 MH-F2W 1 0 0 0 149 -1
1 0 4 MH-F2W 2 0 0 0 149 -1
1 0 5 ML-F3W 7 0 0 0 149 -1
1 0 6 ML-F3W 8 0 0 0 149 -1
1 0 7 ML-F3W 9 0 0 0 149 -1
1 0 8 ML-F3W 10 0 0 0 149 -1
1 1 -8 ML-F3W 11 1 0 1 283 -1
1 1 -7 ML-F3W 10 1 0 1 283 -1
1 1 -6 ML-F3W 9 1 0 1 283 -1
1 1 -5 ML-F3W 8 1 0 1 283 -1
1 1 -4 MH-F2W 6 0 0 0 314 -1
1 1 -3 MH-F2W 5 0 0 0 314 -1
1 1 -2 MH-F2W 4 0 0 0 314 -1
1 1 -1 MH-L1W 3 0 0 0 314 -1
1 1 2 MH-L1W 3 0 0 0 97 -1
1 1 3 MH-F2W 0 0 0 0 73 -1
1 1 4 MH-F2W 1 0 0 0 73 -1
1 1 5 MH-F2W 2 0 0 0 73 -1
1 1 6 ML-F3W 3 0 0 0 65 -1
1 1 7 ML-F3W 4 0 0 0 65 -1
1 1 8 ML-F3W 5 0 0 0 65 -1
1 1 9 ML-T3W 6 0 0 0 65 -1
1 2 -7 ML-F3W 7 1 0 1 283 -1
1 2 -6 ML-F3W 6 1 0 1 283 -1
1 2 -5 ML-F3W 5 1 0 1 283 -1
1 2 -4 ML-F3W 4 1 0 1 283 -1
1 2 -3 MH-F2W 2 0 0 0 282 -1
1 2 -2 MH-F2W 0 0 0 0 282 -1
1 2 -1 MH-F2W 0 0 0 0 290 -1
1 2 0 MH-B1W 0 0 0 0 40 -1
1 2 1 MH-L1W 3 0 0 0 40 -1
1 2 2 MH-B1W 0 0 0 0 97 -1
1 2 3 MH-F2W 4 0 0 0 97 -1
1 2 4 MH-F2W 0 0 0 0 65 -1
1 2 5 MH-F2W 1 0 0 0 65 -1
1 2 6 ML-F3W 7 0 0 0 65 -1
1 2 7 ML-F3W 8 0 0 0 65 -1
1 2 8 ML-F3W 9 0 0 0 65 -1
1 2 9 ML-F3W 10 0 0 0 65 -1
1 3 -7 ML-B3W 2 1 0 1 315 -1
1 3 -6 ML-F3W 1 1 0 1 315 -1
1 3 -5 ML-F3W 0 1 0 1 315 -1
1 3 -4 ML-F3W 11 0 0 0 314 -1
1 3 -3 ML-F3W 11 0 0 0 282 -1
1 3 -2 MH-F2W 1 0 0 0 282 -1
1 3 -1 MH-F2W 1 0 0 0 290 -1
1 3 0 MH-F2W 1 0 0 0 40 -1
1 3 1 MH-F2W 4 0 0 0 40 -1
1 3 2 MH-F2W 0 0 0 0 16 -1
1 3 3 MH-F2W 1 0 0 0 97 -1
1 3 4 MH-F2W 5 0 0 0 97 -1
1 3 5 MH-F2W 2 0 0 0 65 -1
1 3 6 ML-F3W 11 0 0 0 65 -1
1 3 7 ML-F3W 0 1 0 1 66 -1
1 3 8 ML-F3W 1 1 0 1 66 -1
1 3 9 ML-F3W 2 1 0 1 66 -1
1 3 10 ML-T3W 3 1 0 1 66 -1
1 4 -6 ML-53W 8 0 0 0 290 -1
1 4 -5 ML-F3W 6 0 0 0 290 -1
1 4 -4 ML-F3W 3 0 0 0 290 -1
1 4 -3 ML-F3W 0 1 0 1 283 -1
1 4 -2 ML-F3W 7 0 0 0 282 -1
1 4 -1 MH-F2W 2 0 0 0 290 -1
1 4 0 MH-F2W 2 0 0 0 40 -1
1 4 1 MH-F2W 5 0 0 0 40 -1
1 4 2 MH-F2W 0 0 0 0 8 -1
1 4 3 MH-F2W 1 0 0 0 16 -1
1 4 4 MH-F2W 2 0 0 0 97 -1
1 4 5 MH-F2W 6 0 0 0 97 -1
1 4 6 ML-F3W 4 1 0 1 66 -1
1 4 7 ML-F3W 11 0 0 0 97 -1
1 4 8 ML-F3W 3 0 0 0 73 -1
1 4 9 ML-F3W 4 0 0 0 73 -1
1 4 10 ML-53W 5 0 0 0 73 -1
1 5 -5 ML-R3W 7 0 0 0 290 -1
1 5 -4 ML-F3W 4 0 0 0 290 -1
1 5 -3 ML-F3W 1 1 0 1 283 -1
1 5 -2 ML-F3W 8 0 0 0 282 -1
1 5 -1 ML-F3W 3 0 0 0 282 -1
1 5 0 ML-F3W 7 0 0 0 40 -1
1 5 1 MH-F2W 6 0 0 0 40 -1
1 5 2 MH-F2W 1 0 0 0 8 -1
1 5 3 MH-F2W 2 0 0 0 8 -1
1 5 4 MH-F2W 2 0 0 0 16 -1
1 5 5 ML-F3W 7 0 0 0 97 -1
1 5 6 ML-F3W 8 1 0 1 66 -1
1 5 7 ML-F3W 5 1 0 1 66 -1
1 5 8 ML-F3W 0 1 0 1 98 -1
1 5 9 ML-F3W 6 0 0 0 73 -1
1 5 10 ML-R3W 7 0 0 0 73 -1
1 6 -4 ML-53W 5 0 0 0 290 -1
1 6 -3 ML-F3W 2 1 0 1 283 -1
1 6 -2 ML-F3W 9 0 0 0 282 -1
1 6 -1 ML-F3W 4 0 0 0 282 -1
1 6 0 ML-F3W 8 0 0 0 40 -1
1 6 1 ML-F3W 8 1 0 1 9 -1
1 6 2 ML-F3W 4 1 0 1 9 -1
1 6 3 ML-F3W 11 0 0 0 8 -1
1 6 4 ML-F3W 7 0 0 0 8 -1
1 6 5 ML-F3W 3 0 0 0 8 -1
1 6 6 ML-F3W 8 0 0 0 97 -1
1 6 7 ML-F3W 9 1 0 1 66 -1
1 6 8 ML-F3W 6 1 0 1 66 -1
1 6 9 ML-F3W 1 1 0 1 98 -1
1 6 10 ML-53W 8 0 0 0 73 -1
1 7 -3 ML-T3W 3 1 0 1 283 -1
1 7 -2 ML-F3W 10 0 0 0 282 -1
1 7 -1 ML-F3W 5 0 0 0 282 -1
1 7 0 ML-F3W 9 0 0 0 40 -1
1 7 1 ML-F3W 9 1 0 1 9 -1
1 7 2 ML-F3W 5 1 0 1 9 -1
1 7 3 ML-F3W 11 0 0 0 40 -1
1 7 4 ML-F3W 0 1 0 1 9 -1
1 7 5 ML-F3W 8 0 0 0 8 -1
1 7 6 ML-F3W 4 0 0 0 8 -1
1 7 7 ML-F3W 9 0 0 0 97 -1
1 7 8 ML-F3W 10 1 0 1 66 -1
1 7 9 ML-F3W 7 1 0 1 66 -1
1 7 10 ML-B3W 2 1 0 1 98 -1
1 8 -1 ML-T3W 6 0 0 0 282 -1
1 8 0 ML-F3W 10 0 0 0 40 -1
1 8 1 ML-F3W 10 1 0 1 9 -1
1 8 2 ML-F3W 6 1 0 1 9 -1
1 8 3 ML-F3W 0 1 0 1 41 -1
1 8 4 ML-F3W 3 0 0 0 16 -1
1 8 5 ML-F3W 1 1 0 1 9 -1
1 8 6 ML-F3W 9 0 0 0 8 -1
1 8 7 ML-F3W 5 0 0 0 8 -1
1 8 8 ML-F3W 10 0 0 0 97 -1
1 8 9 ML-F3W 11 1 0 1 66 -1
1 9 1 ML-F3W 11 1 0 1 9 -1
1 9 2 ML-F3W 7 1 0 1 9 -1
1 9 3 ML-F3W 1 1 0 1 41 -1
1 9 4 ML-F3W 4 0 0 0 16 -1
1 9 5 ML-F3W 5 0 0 0 16 -1
1 9 6 ML-F3W 2 1 0 1 9 -1
1 9 7 ML-F3W 10 0 0 0 8 -1
1 9 8 ML-T3W 6 0 0 0 8 -1
1 10 3 ML-B3W 2 1 0 1 41 -1
1 10 4 ML-53W 6 0 0 0 16 -1
1 10 5 ML-R3W 7 0 0 0 16 -1
1 10 6 ML-53W 8 0 0 0 16 -1
1 10 7 ML-T3W 3 1 0 1 9 -1
2 -10 -6 ML-L3W 11 9 3 0 197 -1
2 -10 -5 ML-L3W 1 10 3 1 198 -1
2 -10 -4 ML-R3W 2 10 3 1 198 -1
2 -9 -8 ML-B3W 3 8 2 2 191 -1
2 -9 -7 ML-F3W 7 8 2 2 191 -1
2 -9 -6 ML-F3W 11 8 2 2 191 -1
2 -9 -5 ML-F3W 10 9 3 0 197 -1
2 -9 -4 ML-F3W 0 10 3 1 198 -1
2 -9 -3 ML-F3W 10 9 3 0 167 -1
2 -9 -2 ML-F3W 3 9 3 0 189 -1
2 -9 -1 ML-T3W 7 9 3 0 189 -1
2 -8 -9 ML-T3W 7 7 1 2 242 -1
2 -8 -8 ML-F3W 8 11 0 3 250 -1
2 -8 -7 ML-F3W 2 8 2 2 191 -1
2 -8 -6 ML-F3W 6 8 2 2 191 -1
2 -8 -5 ML-F3W 10 8 2 2 191 -1
2 -8 -4 ML-F3W 9 9 3 0 197 -1
2 -8 -3 ML-F3W 9 9 3 0 167 -1
2 -8 -2 ML-F3W 2 9 3 0 189 -1
2 -8 -1 ML-F3W 6 9 3 0 189 -1
2 -8 0 ML-F3W 8 9 3 0 197 -1
2 -8 1 ML-B3W 3 6 0 2 134 -1
2 -7 -9 ML-F3W 3 7 1 2 242 -1
2 -7 -8 ML-F3W 6 7 1 2 242 -1
2 -7 -7 ML-F3W 7 11 0 3 250 -1
2 -7 -6 ML-F3W 1 8 2 2 191 -1
2 -7 -5 ML-F3W 5 8 2 2 191 -1
2 -7 -4 ML-F3W 9 8 2 2 191 -1
2 -7 -3 ML-F3W 8 9 3 0 167 -1
2 -7 -2 ML-F3W 1 9 3 0 189 -1
2 -7 -1 ML-F3W 5 9 3 0 189 -1
2 -7 0 ML-F3W 7 9 3 0 197 -1
2 -7 1 ML-F3W 2 6 0 2 134 -1
2 -7 2 ML-F3W 7 6 0 2 134 -1
2 -6 -10 ML-R3W 0 12 1 3 250 -1
2 -6 -9 ML-F3W 2 12 1 3 228 -1
2 -6 -8 ML-F3W 2 7 1 2 242 -1
2 -6 -7 ML-F3W 5 7 1 2 242 -1
2 -6 -6 ML-F3W 6 11 0 3 250 -1
2 -6 -5 ML-F3W 0 8 2 2 191 -1
2 -6 -4 ML-F3W 4 8 2 2 191 -1
2 -6 -3 ML-F3W 8 8 2 2 191 -1
2 -6 -2 ML-F3W 0 9 3 0 189 -1
2 -6 -1 ML-F3W 4 9 3 0 189 -1
2 -6 0 ML-F3W 6 9 3 0 197 -1
2 -6 1 ML-F3W 1 6 0 2 134 -1
2 -6 2 ML-F3W 6 6 0 2 134 -1
2 -6 3 ML-F3W 11 6 0 2 134 -1
2 -6 4 ML-L3W 2 12 1 3 142 -1
2 -5 -10 ML-L3W 1 12 1 3 250 -1
2 -5 -9 ML-F3W 10 11 0 3 250 -1
2 -5 -8 ML-F3W 1 12 1 3 228 -1
2 -5 -7 ML-F3W 1 7 1 2 242 -1
2 -5 -6 ML-F3W 4 7 1 2 242 -1
2 -5 -5 ML-F3W 5 11 0 3 250 -1
2 -5 -4 MH-F2W 4 9 3 0 197 -1
2 -5 -3 MH-F2W 7 9 3 0 167 -1
2 -5 -2 MH-F2W 10 7 1 2 191 -1
2 -5 -1 MH-F2W 11 7 1 2 191 -1
2 -5 0 ML-F3W 5 9 3 0 197 -1
2 -5 1 ML-F3W 0 6 0 2 134 -1
2 -5 2 ML-F3W 5 6 0 2 134 -1
2 -5 3 ML-F3W 10 6 0 2 134 -1
2 -5 4 ML-F3W 11 11 0 3 142 -1
2 -5 5 ML-L3W 1 12 1 3 142 -1
2 -4 -10 ML-L3W 2 12 1 3 250 -1
2 -4 -9 ML-F3W 11 11 0 3 250 -1
2 -4 -8 ML-F3W 9 11 0 3 250 -1
2 -4 -7 ML-F3W 0 12 1 3 228 -1
2 -4 -6 ML-F3W 0 7 1 2 242 -1
2 -4 -5 MH-F2W 10 5 2 1 241 -1
2 -4 -4 MH-F2W 0 11 0 3 250 -1
2 -4 -3 MH-F2W 3 9 3 0 197 -1
2 -4 -2 MH-F2W 6 9 3 0 167 -1
2 -4 -1 MH-F2W 9 7 1 2 191 -1
2 -4 0 MH-F2W 0 9 3 0 197 -1
2 -4 1 MH-F2W 4 11 0 3 142 -1
2 -4 2 ML-F3W 4 6 0 2 134 -1
2 -4 3 ML-F3W 9 6 0 2 134 -1
2 -4 4 ML-F3W 9 11 0 3 142 -1
2 -4 5 ML-F3W 10 11 0 3 142 -1
2 -4 6 ML-R3W 0 12 1 3 142 -1
2 -3 -9 ML-F3W 11 6 0 2 242 -1
2 -3 -8 ML-F3W 10 6 0 2 242 -1
2 -3 -7 ML-F3W 9 6 0 2 242 -1
2 -3 -6 ML-F3W 8 6 0 2 242 -1
2 -3 -5 MH-F2W 11 5 2 1 241 -1
2 -3 -4 MH-F2W 9 5 2 1 241 -1
2 -3 -3 MH-F2W 11 10 3 1 248 -1
2 -3 -2 MH-F1W 2 9 3 0 197 -1
2 -3 -1 MH-F1W 5 9 3 0 167 -1
2 -3 0 MH-F2W 11 8 2 2 199 -1
2 -3 1 MH-F2W 3 11 0 3 142 -1
2 -3 2 MH-F2W 11 11 0 3 120 -1
2 -3 3 ML-F3W 8 6 0 2 134 -1
2 -3 4 ML-F3W 0 12 1 3 120 -1
2 -3 5 ML-F3W 1 12 1 3 120 -1
2 -3 6 ML-F3W 2 12 1 3 120 -1
2 -2 -9 ML-F3W 7 6 0 2 242 -1
2 -2 -8 ML-F3W 6 6 0 2 242 -1
2 -2 -7 ML-F3W 5 6 0 2 242 -1
2 -2 -6 ML-F3W 4 6 0 2 242 -1
2 -2 -5 MH-F2W 11 11 0 3 228 -1
2 -2 -4 MH-F2W 10 11 0 3 228 -1
2 -2 -3 MH-F1W 9 11 0 3 228 -1
2 -2 -2 MH-B1W 10 10 3 1 248 -1
2 -2 -1 MH-R1W 1 9 3 0 197 -1
2 -2 0 MH-B1W 10 8 2 2 199 -1
2 -2 1 MH-F1W 2 11 0 3 142 -1
2 -2 2 MH-F2W 10 11 0 3 120 -1
2 -2 3 MH-F2W 11 5 2 1 133 -1
2 -2 4 ML-F3W 0 7 1 2 134 -1
2 -2 5 ML-F3W 1 7 1 2 134 -1
2 -2 6 ML-F3W 2 7 1 2 134 -1
2 -2 7 ML-F3W 3 7 1 2 134 -1
2 -1 -9 ML-B3W 3 6 0 2 242 -1
2 -1 -8 ML-F3W 2 6 0 2 242 -1
2 -1 -7 ML-F3W 1 6 0 2 242 -1
2 -1 -6 ML-F3W 0 6 0 2 242 -1
2 -1 -5 MH-F2W 4 11 0 3 250 -1
2 -1 -4 MH-F2W 3 11 0 3 250 -1
2 -1 -3 MH-F1W 2 11 0 3 250 -1
2 -1 -2 MH-R1W 1 11 0 3 250 -1
2 -1 1 MH-R1W 1 11 0 3 142 -1
2 -1 2 MH-F1W 9 11 0 3 120 -1
2 -1 3 MH-F2W 9 5 2 1 133 -1
2 -1 4 MH-F2W 10 5 2 1 133 -1
2 -1 5 ML-F3W 4 7 1 2 134 -1
2 -1 6 ML-F3W 5 7 1 2 134 -1
2 -1 7 ML-F3W 6 7 1 2 134 -1
2 -1 8 ML-T3W 7 7 1 2 134 -1
2 0 -8 ML-F3W 8 9 3 0 305 -1
2 0 -7 ML-F3W 7 9 3 0 305 -1
2 0 -6 ML-F3W 6 9 3 0 305 -1
2 0 -5 ML-F3W 5 9 3 0 305 -1
2 0 -4 MH-F2W 0 9 3 0 305 -1
2 0 -3 MH-F2W 11 8 2 2 307 -1
2 0 -2 MH-B1W 10 8 2 2 307 -1
2 0 2 MH-B1W 10 10 3 1 140 -1
2 0 3 MH-F2W 11 10 3 1 140 -1
2 0 4 MH-F2W 0 11 0 3 142 -1
2 0 5 ML-F3W 5 11 0 3 142 -1
2 0 6 ML-F3W 6 11 0 3 142 -1
2 0 7 ML-F3W 7 11 0 3 142 -1
2 0 8 ML-F3W 8 11 0 3 142 -1
2 1 -8 ML-T3W 7 9 3 0 297 -1
2 1 -7 ML-F3W 6 9 3 0 297 -1
2 1 -6 ML-F3W 5 9 3 0 297 -1
2 1 -5 ML-F3W 4 9 3 0 297 -1
2 1 -4 MH-F2W 11 7 1 2 299 -1
2 1 -3 MH-F2W 9 7 1 2 299 -1
2 1 -2 MH-F1W 5 9 3 0 275 -1
2 1 -1 MH-R1W 1 9 3 0 305 -1
2 1 2 MH-R1W 1 9 3 0 88 -1
2 1 3 MH-F1W 2 9 3 0 88 -1
2 1 4 MH-F2W 3 9 3 0 88 -1
2 1 5 MH-F2W 4 9 3 0 88 -1
2 1 6 ML-F3W 0 8 2 2 82 -1
2 1 7 ML-F3W 1 8 2 2 82 -1
2 1 8 ML-F3W 2 8 2 2 82 -1
2 1 9 ML-B3W 3 8 2 2 82 -1
2 2 -7 ML-F3W 3 9 3 0 297 -1
2 2 -6 ML-F3W 2 9 3 0 297 -1
2 2 -5 ML-F3W 1 9 3 0 297 -1
2 2 -4 ML-F3W 0 9 3 0 297 -1
2 2 -3 MH-F2W 10 7 1 2 299 -1
2 2 -2 MH-F2W 6 9 3 0 275 -1
2 2 -1 MH-F1W 2 9 3 0 305 -1
2 2 0 MH-B1W 10 10 3 1 31 -1
2 2 1 MH-R1W 1 11 0 3 33 -1
2 2 2 MH-B1W 10 8 2 2 90 -1
2 2 3 MH-F1W 5 9 3 0 58 -1
2 2 4 MH-F2W 6 9 3 0 58 -1
2 2 5 MH-F2W 7 9 3 0 58 -1
2 2 6 ML-F3W 4 8 2 2 82 -1
2 2 7 ML-F3W 5 8 2 2 82 -1
2 2 8 ML-F3W 6 8 2 2 82 -1
2 2 9 ML-F3W 7 8 2 2 82 -1
2 3 -6 ML-F3W 10 9 3 0 275 -1
2 3 -5 ML-F3W 9 9 3 0 275 -1
2 3 -4 ML-F3W 8 9 3 0 275 -1
2 3 -3 ML-F3W 8 8 2 2 299 -1
2 3 -2 MH-F2W 7 9 3 0 275 -1
2 3 -1 MH-F2W 3 9 3 0 305 -1
2 3 0 MH-F2W 11 10 3 1 31 -1
2 3 1 MH-F1W 9 11 0 3 11 -1
2 3 2 MH-F1W 2 11 0 3 33 -1
2 3 3 MH-F2W 11 8 2 2 90 -1
2 3 4 MH-F2W 9 7 1 2 82 -1
2 3 5 MH-F2W 10 7 1 2 82 -1
2 3 6 ML-F3W 8 8 2 2 82 -1
2 3 7 ML-F3W 9 8 2 2 82 -1
2 3 8 ML-F3W 10 8 2 2 82 -1
2 3 9 ML-F3W 11 8 2 2 82 -1
2 4 -6 ML-R3W 2 10 3 1 306 -1
2 4 -5 ML-F3W 0 10 3 1 306 -1
2 4 -4 ML-F3W 9 9 3 0 305 -1
2 4 -3 ML-F3W 9 8 2 2 299 -1
2 4 -2 ML-F3W 4 8 2 2 299 -1
2 4 -1 MH-F2W 4 9 3 0 305 -1
2 4 0 MH-F2W 0 11 0 3 33 -1
2 4 1 MH-F2W 9 5 2 1 24 -1
2 4 2 MH-F2W 10 11 0 3 11 -1
2 4 3 MH-F2W 3 11 0 3 33 -1
2 4 4 MH-F2W 0 9 3 0 88 -1
2 4 5 MH-F2W 11 7 1 2 82 -1
2 4 6 ML-F3W 0 9 3 0 80 -1
2 4 7 ML-F3W 8 9 3 0 58 -1
2 4 8 ML-F3W 9 9 3 0 88 -1
2 4 9 ML-F3W 10 9 3 0 88 -1
2 4 10 ML-L3W 11 9 3 0 88 -1
2 5 -5 ML-L3W 1 10 3 1 306 -1
2 5 -4 ML-F3W 10 9 3 0 305 -1
2 5 -3 ML-F3W 10 8 2 2 299 -1
2 5 -2 ML-F3W 5 8 2 2 299 -1
2 5 -1 ML-F3W 0 8 2 2 299 -1
2 5 0 ML-F3W 5 11 0 3 33 -1
2 5 1 MH-F2W 10 5 2 1 24 -1
2 5 2 MH-F2W 11 5 2 1 24 -1
2 5 3 MH-F2W 11 11 0 3 11 -1
2 5 4 MH-F2W 4 11 0 3 33 -1
2 5 5 ML-F3W 5 9 3 0 88 -1
2 5 6 ML-F3W 4 9 3 0 80 -1
2 5 7 ML-F3W 1 9 3 0 80 -1
2 5 8 ML-F3W 9 9 3 0 58 -1
2 5 9 ML-F3W 0 10 3 1 89 -1
2 5 10 ML-L3W 1 10 3 1 89 -1
2 6 -4 ML-L3W 11 9 3 0 305 -1
