{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200         1.0444    -0.00258315   -0.000122487
-4.889  -4.716       5     0   200         1.0255     -0.0027691   -0.000120195
-4.716  -4.538       5     0   200        1.01843    -0.00280959   -0.000120034
-4.538  -4.363       5     0   200         1.0179    -0.00278112   -0.000120097
-4.363  -4.191       5     0   200        1.03244    -0.00261968   -0.000125359
-4.191  -4.013       5     0   200        1.04699    -0.00207099   -0.000143982
-4.013  -3.839       5     0   200        1.05453    -0.00139113   -0.000168433
-3.839  -3.664       5     0   200        1.06764   -0.000499941   -0.000203282
-3.664  -3.489       5     0   200        1.07141    0.000402284   -0.000237506
-3.489  -3.314       5     0   200        1.06533     0.00107086   -0.000262409
-3.314  -3.139       5     0   200        1.08664    0.000470446   -0.000270666
-3.139  -2.964       5     0   200        1.13699    -0.00339834    -0.00022546
-2.964  -2.853       5     0   200        1.17911    -0.00505647   -0.000230233
-2.853   -2.65       5     0   200        1.23472    -0.00442932   -0.000291891
-2.65    -2.5       5     0   200        1.25762   -0.000217804   -0.000401889
-2.5  -2.322       5     0   200        1.19913     0.00895221   -0.000493952
-2.322  -2.172       5     0   200        1.13304      0.0143613   -0.000344465
-2.172  -2.043       5     0   200        1.12708     0.00687215   -7.33706e-05
-2.043   -1.93       5     0   200        1.12082     0.00155219    4.61754e-05
-1.93   -1.83       5     0   200        1.11839    -0.00302688    0.000130334
-1.83   -1.74       5     0   200        1.11544    -0.00641141    0.000195376
-1.74  -1.653       5     0   200        1.11118    -0.00765212    0.000219957
-1.653  -1.566       5     0   200        1.09947    -0.00798055    0.000238355
-1.566  -1.479       5     0   200        1.08899    -0.00774388    0.000257871
-1.479  -1.392       5     0   200        1.08088    -0.00672263    0.000270485
-1.392  -1.305       5     0   200        1.07307    -0.00490154    0.000272885
-1.305  -1.218       5     0   200        1.06529    -0.00231807    0.000252049
-1.218  -1.131       5     0   200         1.0618   -5.03644e-05     0.00023604
-1.131  -1.044       5     0   200        1.05727      0.0021008    0.000206661
-1.044  -0.957       5     0   200         1.0553     0.00373753    0.000181425
-0.957  -0.879       5     0   200        1.05553     0.00460833    0.000166258
-0.879  -0.783       5     0   200        1.06385     0.00551138    0.000143598
-0.783  -0.696       5     0   200        1.06777     0.00647603    0.000114906
-0.696  -0.609       5     0   200        1.07055     0.00734075    8.74533e-05
-0.609  -0.522       5     0   200        1.07449     0.00823985    5.84169e-05
-0.522  -0.435       5     0   200        1.07498     0.00975531    1.20135e-05
-0.435  -0.348       5     0   200        1.07637      0.0113805   -4.03591e-05
-0.348  -0.261       5     0   200        1.08181      0.0122344   -7.48595e-05
-0.261  -0.174       5     0   200        1.09034      0.0120198   -8.13932e-05
-0.174  -0.087       5     0   200        1.10205      0.0107497   -5.62378e-05
-0.087       0       5     0   200        1.11671     0.00854005    3.77439e-06
0   0.087       5     0   200        1.13209     0.00564483    9.03428e-05
0.087   0.174       5     0   200        1.14619     0.00231792    0.000196137
0.174   0.261       5     0   200        1.15566    -0.00063148    0.000294039
0.261   0.348       5     0   200        1.16155    -0.00339195    0.000391313
0.348   0.435       5     0   200        1.15787    -0.00489624    0.000445524
0.435   0.522       5     0   200        1.14955    -0.00547721    0.000466562
0.522   0.609       5     0   200        1.13764    -0.00531388    0.000458186
0.609   0.696       5     0   200        1.12231    -0.00441376    0.000425408
0.696   0.783       5     0   200        1.10587    -0.00314111    0.000384709
0.783   0.879       5     0   200        1.08592    -0.00164956    0.000343143
0.879   0.957       5     0   200        1.06496    -0.00030793    0.000305432
0.957   1.044       5     0   200        1.05583    0.000617554    0.000270684
1.044   1.131       5     0   200        1.04793     0.00120013    0.000224391
1.131   1.218       5     0   200        1.04308     0.00118486    0.000184299
1.218   1.305       5     0   200        1.04034    0.000472722    0.000156728
1.305   1.392       5     0   200         1.0385   -0.000420602    0.000131687
1.392   1.479       5     0   200        1.04109    -0.00173935    0.000122487
1.479   1.566       5     0   200        1.04964    -0.00320592    0.000123323
1.566   1.653       5     0   200        1.06207    -0.00421234    0.000119038
1.653    1.74       5     0   200        1.07403    -0.00458412    0.000109084
1.74    1.83       5     0   200        1.08236    -0.00444724    0.000103952
1.83    1.93       5     0   200        1.09929    -0.00279107    7.88699e-05
1.93   2.043       5     0   200        1.12283    0.000207023    1.95922e-05
2.043   2.172       5     0   200        1.16106     0.00373716   -8.69105e-05
2.172   2.322       5     0   200        1.18429     0.00943447   -0.000320517
2.322     2.5       5     0   200        1.28726     0.00100927   -0.000338708
2.5    2.65       5     0   200         1.3552    -0.00949119   -0.000200883
2.65   2.853       5     0   200        1.29738     -0.0119785   -0.000121316
2.853   2.964       5     0   200         1.2145    -0.00998485    -0.00011929
2.964   3.139       5     0   200        1.15535     -0.0065926   -0.000160662
3.139   3.314       5     0   200        1.08045   -0.000744996   -0.000254341
3.314   3.489       5     0   200        1.05669    0.000408274   -0.000251302
3.489   3.664       5     0   200        1.05974   -0.000244557   -0.000227416
3.664   3.839       5     0   200        1.05551    -0.00102084   -0.000200024
3.839   4.013       5     0   200        1.04687    -0.00175349   -0.000172932
4.013   4.191       5     0   200        1.04521     -0.0024198   -0.000149931
4.191   4.363       5     0   200        1.03757    -0.00304705   -0.000129881
4.363   4.538       5     0   200        1.02274    -0.00334723    -0.00011985
4.538   4.716       5     0   200        1.01385    -0.00341434    -0.00011838
4.716   4.889       5     0   200        1.00398    -0.00324273   -0.000125533
4.889   5.191       5     0   200        1.00111    -0.00247641   -0.000148153
