{1         JetEta              1          JetPt               [0]*([1]+[2]*TMath::Log(x))     Correction     L2Relative}
-5.191         -3.139              5             62            242           1.02        1.06922              0              
-3.139         -2.964              5             62            242           1.02        1.13512              0              
-2.964         -2.853              5             62            310           1.02         1.1312     -0.0147378              
-2.853           -2.5              5             62            467           1.02        1.15708     -0.0236072              
-2.5         -2.322              5             62           2000           1.02        1.09247     -0.0111086              
-2.322         -2.172              5             62           2000           1.02        1.07052    -0.00856208              
-2.172         -2.043              5             62           2000           1.02        1.07168    -0.00990159              
-2.043          -1.93              5             62           2000           1.02        1.06962    -0.00934048              
-1.93          -1.83              5             62           2000           1.02        1.05187    -0.00596373              
-1.83          -1.74              5             62           2000           1.02        1.03727    -0.00378246              
-1.74         -1.653              5             62           2000           1.02        1.05043    -0.00718731              
-1.653         -1.566              5             62           2000           1.02        1.03211    -0.00487651              
-1.566         -1.479              5             62           2000           1.02        1.05128    -0.00824054              
-1.479         -1.392              5             62           2000           1.02        1.04347    -0.00777966              
-1.392         -1.305              5             62           2000           1.02        1.03041     -0.0054157              
-1.305         -1.218              5             62           2000           1.02        1.01473    -0.00159291              
-1.218         -1.131              5             62           2000           1.02        1.00121    0.000354479              
-1.131         -1.044              5             62           2000           1.02        1.00816   -0.000877301              
-1.044         -0.957              5             62           2000           1.02       0.998881     0.00126333              
-0.957         -0.879              5             62           2000           1.02        0.99088      0.0025862              
-0.879         -0.783              5             62           2000           1.02       0.996975     0.00133695              
-0.783         -0.696              5             62           2000           1.02         1.0098   -0.000822763              
-0.696         -0.609              5             62           2000           1.02         1.0066   -0.000784484              
-0.609         -0.522              5             62           2000           1.02        1.00431   -0.000976857              
-0.522         -0.435              5             62           2000           1.02       0.998673   -0.000266173              
-0.435         -0.348              5             62           2000           1.02       0.988969     0.00120541              
-0.348         -0.261              5             62           2000           1.02       0.992243    0.000586027              
-0.261         -0.174              5             62           2000           1.02       0.992307    0.000185192              
-0.174         -0.087              5             62           2000           1.02       0.990748    0.000256562              
-0.087              0              5             62           2000           1.02       0.995367   -0.000664044              
0          0.087              5             62           2000           1.02       0.990616    0.000362501              
0.087          0.174              5             62           2000           1.02       0.990312    0.000560654              
0.174          0.261              5             62           2000           1.02       0.989014    0.000820041              
0.261          0.348              5             62           2000           1.02       0.990959    0.000801676              
0.348          0.435              5             62           2000           1.02        1.00042   -0.000662214              
0.435          0.522              5             62           2000           1.02        1.00086   -0.000433748              
0.522          0.609              5             62           2000           1.02        1.00719    -0.00109606              
0.609          0.696              5             62           2000           1.02        1.00327    0.000161683              
0.696          0.783              5             62           2000           1.02        1.01239    -0.00109775              
0.783          0.879              5             62           2000           1.02       0.994614     0.00177608              
0.879          0.957              5             62           2000           1.02       0.987895     0.00322146              
0.957          1.044              5             62           2000           1.02        1.00202     0.00117144              
1.044          1.131              5             62           2000           1.02        1.00712   -0.000337461              
1.131          1.218              5             62           2000           1.02        1.01119   -0.000783199              
1.218          1.305              5             62           2000           1.02        1.01048    -0.00123752              
1.305          1.392              5             62           2000           1.02        1.02816     -0.0050944              
1.392          1.479              5             62           2000           1.02        1.04189    -0.00737461              
1.479          1.566              5             62           2000           1.02        1.04249    -0.00759231              
1.566          1.653              5             62           2000           1.02        1.04396    -0.00805665              
1.653           1.74              5             62           2000           1.02        1.04069    -0.00584368              
1.74           1.83              5             62           2000           1.02        1.03722    -0.00450923              
1.83           1.93              5             62           2000           1.02        1.04891    -0.00665694              
1.93          2.043              5             62           2000           1.02        1.03596    -0.00437965              
2.043          2.172              5             62           2000           1.02         1.0491    -0.00618012              
2.172          2.322              5             62           2000           1.02        1.07591     -0.0094977              
2.322            2.5              5             62           2000           1.02        1.10928     -0.0154866              
2.5          2.853              5             62            467           1.02        1.17228     -0.0250144              
2.853          2.964              5             62            310           1.02        1.12487    -0.00425079              
2.964          3.139              5             62            242           1.02        1.13512              0              
3.139          5.191              5             62            242           1.02        1.06922              0              
