{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.05559    -0.00984468    0.000238188
-4.889  -4.716       5     0   200        1.05362    -0.00979586    0.000235875
-4.716  -4.538       5     0   200        1.05736     -0.0094583    0.000221561
-4.538  -4.363       5     0   200        1.05963    -0.00895872    0.000201901
-4.363  -4.191       5     0   200        1.05913    -0.00838361    0.000178822
-4.191  -4.013       5     0   200        1.06525    -0.00778444    0.000154122
-4.013  -3.839       5     0   200        1.06726    -0.00712711    0.000127273
-3.839  -3.664       5     0   200        1.06868    -0.00641708    9.80622e-05
-3.664  -3.489       5     0   200        1.07734    -0.00590302     5.6126e-05
-3.489  -3.314       5     0   200         1.0932    -0.00602736    2.00385e-05
-3.314  -3.139       5     0   200        1.10514    -0.00546187   -2.35139e-05
-3.139  -2.964       5     0   200        1.11568    -0.00494018   -5.54438e-05
-2.964  -2.853       5     0   200        1.12475    -0.00436524   -8.25928e-05
-2.853   -2.65       5     0   200        1.13313    -0.00324513   -0.000124091
-2.65    -2.5       5     0   200        1.13564    -0.00172821   -0.000173307
-2.5  -2.322       5     0   200        1.14295   -0.000360648   -0.000210476
-2.322  -2.172       5     0   200        1.14347    0.000222303   -0.000205766
-2.172  -2.043       5     0   200        1.13254   -0.000373819   -0.000116968
-2.043   -1.93       5     0   200        1.11159   -0.000499309   -1.00888e-05
-1.93   -1.83       5     0   200        1.09479   -0.000955731    8.97505e-05
-1.83   -1.74       5     0   200        1.08585    -0.00225752    0.000171917
-1.74  -1.653       5     0   200        1.07675    -0.00285082    0.000222855
-1.653  -1.566       5     0   200        1.06719    -0.00268506    0.000241719
-1.566  -1.479       5     0   200        1.05982    -0.00257453    0.000260836
-1.479  -1.392       5     0   200        1.05618    -0.00273135     0.00028943
-1.392  -1.305       5     0   200        1.05484    -0.00308729    0.000327022
-1.305  -1.218       5     0   200        1.05506    -0.00345968    0.000366749
-1.218  -1.131       5     0   200        1.05686    -0.00373501    0.000403722
-1.131  -1.044       5     0   200        1.05918    -0.00371067    0.000433331
-1.044  -0.957       5     0   200        1.06191    -0.00336289    0.000454135
-0.957  -0.879       5     0   200        1.06493     -0.0028102    0.000467525
-0.879  -0.783       5     0   200        1.06915    -0.00214546    0.000477586
-0.783  -0.696       5     0   200        1.07467    -0.00154431    0.000484606
-0.696  -0.609       5     0   200        1.08037    -0.00113218    0.000487725
-0.609  -0.522       5     0   200        1.08557   -0.000892161    0.000485876
-0.522  -0.435       5     0   200        1.09261   -0.000879436    0.000484218
-0.435  -0.348       5     0   200         1.1013    -0.00123149    0.000492699
-0.348  -0.261       5     0   200         1.1083    -0.00170882    0.000501603
-0.261  -0.174       5     0   200        1.11487    -0.00230774    0.000512321
-0.174  -0.087       5     0   200        1.12079    -0.00304055    0.000529751
-0.087       0       5     0   200        1.12386    -0.00359576    0.000543245
0   0.087       5     0   200         1.1234    -0.00377287     0.00054271
0.087   0.174       5     0   200        1.12057    -0.00377293    0.000534307
0.174   0.261       5     0   200        1.11713      -0.003861    0.000528177
0.261   0.348       5     0   200        1.11402    -0.00414779    0.000532259
0.348   0.435       5     0   200        1.11011     -0.0044875    0.000541216
0.435   0.522       5     0   200        1.10419     -0.0048727    0.000552577
0.522   0.609       5     0   200        1.09908    -0.00538027    0.000566165
0.609   0.696       5     0   200        1.09521     -0.0058789    0.000572018
0.696   0.783       5     0   200        1.08951    -0.00622004    0.000564245
0.783   0.879       5     0   200        1.08276    -0.00641496    0.000545684
0.879   0.957       5     0   200        1.07567    -0.00640399    0.000518268
0.957   1.044       5     0   200        1.06915    -0.00625986    0.000488313
1.044   1.131       5     0   200        1.06266    -0.00587907     0.00044939
1.131   1.218       5     0   200        1.05772    -0.00537921    0.000408209
1.218   1.305       5     0   200        1.05405     -0.0047653    0.000365771
1.305   1.392       5     0   200        1.05237    -0.00418556    0.000323503
1.392   1.479       5     0   200        1.05293    -0.00359935    0.000280789
1.479   1.566       5     0   200        1.05529    -0.00293032    0.000235524
1.566   1.653       5     0   200         1.0613    -0.00232838    0.000189441
1.653    1.74       5     0   200        1.07006    -0.00177997    0.000142675
1.74    1.83       5     0   200        1.07665   -0.000659609    7.33142e-05
1.83    1.93       5     0   200        1.08318    0.000910763   -2.29346e-05
1.93   2.043       5     0   200        1.10464     0.00131149   -0.000131095
2.043   2.172       5     0   200        1.13286     0.00109377   -0.000239321
2.172   2.322       5     0   200         1.1507    0.000510562   -0.000300611
2.322     2.5       5     0   200        1.15385   -0.000905477   -0.000275708
2.5    2.65       5     0   200        1.14947    -0.00289521   -0.000205834
2.65   2.853       5     0   200        1.14464    -0.00466069   -0.000135547
2.853   2.964       5     0   200          1.134    -0.00591441   -7.83601e-05
2.964   3.139       5     0   200        1.12181    -0.00664912   -3.42798e-05
3.139   3.314       5     0   200        1.10596    -0.00713681     9.2899e-06
3.314   3.489       5     0   200        1.09417    -0.00772393    6.04071e-05
3.489   3.664       5     0   200        1.07479    -0.00740436    9.58847e-05
3.664   3.839       5     0   200        1.06735    -0.00775238    0.000139186
3.839   4.013       5     0   200        1.06915    -0.00869797    0.000176647
4.013   4.191       5     0   200        1.06782    -0.00950168    0.000207747
4.191   4.363       5     0   200        1.06265     -0.0101249    0.000231955
4.363   4.538       5     0   200        1.06285     -0.0106654    0.000253076
4.538   4.716       5     0   200        1.06018     -0.0110248    0.000265317
4.716   4.889       5     0   200          1.054     -0.0111835     0.00027058
4.889   5.191       5     0   200        1.04754     -0.0114613    0.000279467
