{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200         1.0444    -0.00258315   -0.000122487
-4.889  -4.716       5     0   200         1.0255     -0.0027691   -0.000120195
-4.716  -4.538       5     0   200        1.01843    -0.00280959   -0.000120034
-4.538  -4.363       5     0   200         1.0179    -0.00278112   -0.000120097
-4.363  -4.191       5     0   200        1.03244    -0.00261968   -0.000125359
-4.191  -4.013       5     0   200        1.04699    -0.00207099   -0.000143982
-4.013  -3.839       5     0   200        1.05453    -0.00139113   -0.000168433
-3.839  -3.664       5     0   200        1.06764   -0.000499941   -0.000203282
-3.664  -3.489       5     0   200        1.07141    0.000402284   -0.000237506
-3.489  -3.314       5     0   200        1.06533     0.00107086   -0.000262409
-3.314  -3.139       5     0   200        1.08664    0.000470434   -0.000270665
-3.139  -2.964       5     0   200        1.13698    -0.00339844   -0.000225453
-2.964  -2.853       5     0   200        1.17911    -0.00511121   -0.000231657
-2.853   -2.65       5     0   200        1.25073    -0.00713505   -0.000244356
-2.65    -2.5       5     0   200        1.29909    -0.00912476   -0.000261252
-2.5  -2.322       5     0   200        1.26671    -0.00755757   -0.000305149
-2.322  -2.172       5     0   200        1.21154    -0.00511336   -0.000359349
-2.172  -2.043       5     0   200        1.17071    -0.00500548   -0.000379214
-2.043   -1.93       5     0   200          1.126    -0.00272448   -0.000450865
-1.93   -1.83       5     0   200        1.09614    -0.00143779   -0.000480611
-1.83   -1.74       5     0   200        1.07884    -0.00119701   -0.000473806
-1.74  -1.653       5     0   200        1.07317    -0.00145563   -0.000450596
-1.653  -1.566       5     0   200        1.06762    -0.00172606   -0.000412536
-1.566  -1.479       5     0   200        1.06423    -0.00196359   -0.000367471
-1.479  -1.392       5     0   200        1.06492    -0.00217626   -0.000322342
-1.392  -1.305       5     0   200        1.06798    -0.00224075     -0.0002854
-1.305  -1.218       5     0   200        1.07214     -0.0020965   -0.000262144
-1.218  -1.131       5     0   200        1.07657    -0.00195148   -0.000245685
-1.131  -1.044       5     0   200        1.07782    -0.00154612   -0.000245681
-1.044  -0.957       5     0   200        1.07745   -0.000941208   -0.000262122
-0.957  -0.879       5     0   200        1.07785   -0.000644062   -0.000278328
-0.879  -0.783       5     0   200        1.08461   -0.000710847     -0.0002906
-0.783  -0.696       5     0   200        1.08985   -0.000772888   -0.000299468
-0.696  -0.609       5     0   200        1.09313   -0.000789041   -0.000303182
-0.609  -0.522       5     0   200        1.09739    -0.00100182   -0.000297548
-0.522  -0.435       5     0   200        1.10114    -0.00109974   -0.000295548
-0.435  -0.348       5     0   200        1.10544    -0.00123158   -0.000291776
-0.348  -0.261       5     0   200        1.10985    -0.00144894    -0.00028341
-0.261  -0.174       5     0   200        1.11222    -0.00160757   -0.000273788
-0.174  -0.087       5     0   200        1.11308    -0.00168035   -0.000264156
-0.087       0       5     0   200        1.11329    -0.00171648    -0.00025325
0   0.087       5     0   200        1.11316    -0.00177595   -0.000240726
0.087   0.174       5     0   200        1.11251    -0.00182924   -0.000227849
0.174   0.261       5     0   200        1.11043    -0.00168111   -0.000221668
0.261   0.348       5     0   200          1.109    -0.00177764   -0.000206372
0.348   0.435       5     0   200        1.10495    -0.00157076   -0.000205766
0.435   0.522       5     0   200        1.09996    -0.00123284   -0.000213295
0.522   0.609       5     0   200        1.09418    -0.00087812   -0.000224522
0.609   0.696       5     0   200        1.08803    -0.00056503    -0.00023225
0.696   0.783       5     0   200        1.08142   -0.000366618   -0.000232025
0.783   0.879       5     0   200        1.07259   -0.000122356   -0.000227592
0.879   0.957       5     0   200        1.06439   -8.93282e-05    -0.00021108
0.957   1.044       5     0   200        1.06118     -0.0002556   -0.000194118
1.044   1.131       5     0   200        1.05712   -0.000456041   -0.000191574
1.131   1.218       5     0   200        1.05432   -0.000696968   -0.000200804
1.218   1.305       5     0   200        1.05314    -0.00109296   -0.000215099
1.305   1.392       5     0   200         1.0518    -0.00131911   -0.000245086
1.392   1.479       5     0   200        1.05205    -0.00156555   -0.000285455
1.479   1.566       5     0   200        1.05576    -0.00180844   -0.000330061
1.566   1.653       5     0   200        1.06115     -0.0018101   -0.000382261
1.653    1.74       5     0   200        1.06619     -0.0015333   -0.000440298
1.74    1.83       5     0   200        1.07235    -0.00145234   -0.000478538
1.83    1.93       5     0   200        1.08917    -0.00212932   -0.000479165
1.93   2.043       5     0   200         1.1111    -0.00366432   -0.000444169
2.043   2.172       5     0   200        1.13761    -0.00612452     -0.0003656
2.172   2.322       5     0   200        1.15546    -0.00659439   -0.000321704
2.322     2.5       5     0   200        1.22151     -0.0112263   -0.000178275
2.5    2.65       5     0   200        1.28867     -0.0152771   -6.76868e-05
2.65   2.853       5     0   200        1.26494     -0.0131534   -8.39552e-05
2.853   2.964       5     0   200        1.20704    -0.00984063   -0.000121111
2.964   3.139       5     0   200        1.15535    -0.00659273   -0.000160657
3.139   3.314       5     0   200        1.08045   -0.000745007   -0.000254341
3.314   3.489       5     0   200        1.05669    0.000408281   -0.000251303
3.489   3.664       5     0   200        1.05974   -0.000244559   -0.000227416
3.664   3.839       5     0   200        1.05551    -0.00102084   -0.000200024
3.839   4.013       5     0   200        1.04687    -0.00175349   -0.000172932
4.013   4.191       5     0   200        1.04521     -0.0024198   -0.000149931
4.191   4.363       5     0   200        1.03757    -0.00304705   -0.000129881
4.363   4.538       5     0   200        1.02274    -0.00334723    -0.00011985
4.538   4.716       5     0   200        1.01385    -0.00341434    -0.00011838
4.716   4.889       5     0   200        1.00398    -0.00324273   -0.000125533
4.889   5.191       5     0   200        1.00111    -0.00247641   -0.000148153
