{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.07739     -0.0104641    0.000268517
-4.889  -4.716       5     0   200        1.05318    -0.00972707    0.000232364
-4.716  -4.538       5     0   200        1.04406    -0.00951924    0.000222213
-4.538  -4.363       5     0   200        1.04229    -0.00952288    0.000222652
-4.363  -4.191       5     0   200         1.0544    -0.00928788      0.0002133
-4.191  -4.013       5     0   200        1.06584    -0.00858237    0.000186923
-4.013  -3.839       5     0   200        1.06897    -0.00752464    0.000145547
-3.839  -3.664       5     0   200        1.07835    -0.00641668    0.000100338
-3.664  -3.489       5     0   200        1.07964    -0.00546593    6.11608e-05
-3.489  -3.314       5     0   200        1.07082    -0.00460519     2.3863e-05
-3.314  -3.139       5     0   200        1.07957    -0.00386918   -3.87316e-05
-3.139  -2.964       5     0   200         1.1091    -0.00548845   -8.14233e-05
-2.964  -2.853       5     0   200        1.13521    -0.00554451   -0.000150226
-2.853   -2.65       5     0   200        1.17616    -0.00380482   -0.000260229
-2.65    -2.5       5     0   200        1.20014   -0.000640364   -0.000340798
-2.5  -2.322       5     0   200        1.17047     0.00479165   -0.000310161
-2.322  -2.172       5     0   200         1.1193     0.00966519    -0.00016756
-2.172  -2.043       5     0   200        1.10498     0.00511345   -1.96344e-05
-2.043   -1.93       5     0   200        1.09129     0.00226605   -2.45504e-06
-1.93   -1.83       5     0   200        1.07882    0.000108834   -1.48273e-05
-1.83   -1.74       5     0   200        1.06953    -0.00206575    1.05461e-05
-1.74  -1.653       5     0   200        1.06769    -0.00401767    7.76242e-05
-1.653  -1.566       5     0   200        1.06186    -0.00560599    0.000159177
-1.566  -1.479       5     0   200        1.05722    -0.00656748    0.000237986
-1.479  -1.392       5     0   200        1.05452    -0.00680059    0.000313746
-1.392  -1.305       5     0   200        1.04984    -0.00610841    0.000377651
-1.305  -1.218       5     0   200        1.04223    -0.00429145    0.000405632
-1.218  -1.131       5     0   200        1.03561    -0.00220189    0.000412933
-1.131  -1.044       5     0   200        1.03414    -0.00107637    0.000437148
-1.044  -0.957       5     0   200        1.03707   -0.000518812    0.000461603
-0.957  -0.879       5     0   200        1.04123   -0.000464635    0.000482047
-0.879  -0.783       5     0   200        1.05446   -0.000548799    0.000498703
-0.783  -0.696       5     0   200        1.06596   -0.000823789    0.000512598
-0.696  -0.609       5     0   200        1.07791     -0.0012143    0.000522803
-0.609  -0.522       5     0   200        1.09362    -0.00188248    0.000541843
-0.522  -0.435       5     0   200        1.10906    -0.00253678    0.000569036
-0.435  -0.348       5     0   200        1.12011    -0.00232597    0.000562616
-0.348  -0.261       5     0   200        1.12379    -0.00113533    0.000508702
-0.261  -0.174       5     0   200        1.12729   -0.000556349    0.000470672
-0.174  -0.087       5     0   200        1.12851   -0.000132837    0.000430473
-0.087       0       5     0   200        1.13329   -0.000859983    0.000436946
0   0.087       5     0   200        1.13811    -0.00215901    0.000465569
0.087   0.174       5     0   200         1.1401    -0.00362152    0.000501942
0.174   0.261       5     0   200        1.13936    -0.00502445    0.000542873
0.261   0.348       5     0   200        1.13401    -0.00606881    0.000575935
0.348   0.435       5     0   200        1.12408    -0.00657971    0.000592805
0.435   0.522       5     0   200        1.11396    -0.00689786    0.000605455
0.522   0.609       5     0   200          1.102    -0.00667572    0.000594087
0.609   0.696       5     0   200        1.09263     -0.0067348    0.000599299
0.696   0.783       5     0   200        1.08182    -0.00622729    0.000586667
0.783   0.879       5     0   200        1.07057    -0.00583784    0.000584284
0.879   0.957       5     0   200        1.06098    -0.00596707    0.000597789
0.957   1.044       5     0   200        1.06158    -0.00627305    0.000602888
1.044   1.131       5     0   200        1.06158    -0.00652365    0.000577511
1.131   1.218       5     0   200        1.05915    -0.00642474    0.000520515
1.218   1.305       5     0   200         1.0541    -0.00620119    0.000443452
1.305   1.392       5     0   200        1.04781    -0.00585899    0.000360401
1.392   1.479       5     0   200        1.03996    -0.00491426    0.000251405
1.479   1.566       5     0   200        1.03738    -0.00407169    0.000152485
1.566   1.653       5     0   200        1.03886    -0.00288827    5.65162e-05
1.653    1.74       5     0   200        1.03815   -0.000881497   -4.86475e-05
1.74    1.83       5     0   200        1.03517     0.00109964    -0.00012174
1.83    1.93       5     0   200        1.04445     0.00339202    -0.00016191
1.93   2.043       5     0   200        1.06457     0.00574305   -0.000184782
2.043   2.172       5     0   200        1.10208     0.00756924   -0.000213699
2.172   2.322       5     0   200        1.12366      0.0113052   -0.000359779
2.322     2.5       5     0   200        1.19533     0.00557994   -0.000461823
2.5    2.65       5     0   200        1.24388    -0.00268632   -0.000396595
2.65   2.853       5     0   200        1.20358     -0.0067209    -0.00025127
2.853   2.964       5     0   200        1.14894    -0.00765996   -0.000134512
2.964   3.139       5     0   200        1.11668    -0.00738542   -5.57787e-05
3.139   3.314       5     0   200        1.07235    -0.00506831   -1.64476e-05
3.314   3.489       5     0   200        1.06288    -0.00541132    4.64822e-05
3.489   3.664       5     0   200         1.0727    -0.00686451    0.000105888
3.664   3.839       5     0   200        1.07447    -0.00825602    0.000160995
3.839   4.013       5     0   200        1.07061    -0.00938962    0.000206541
4.013   4.191       5     0   200        1.07296     -0.0103455    0.000243111
4.191   4.363       5     0   200        1.06738     -0.0109552    0.000263157
4.363   4.538       5     0   200        1.05437     -0.0112068    0.000270701
4.538   4.716       5     0   200        1.04836     -0.0114593    0.000279113
4.716   4.889       5     0   200        1.04098       -0.01153    0.000281193
4.889   5.191       5     0   200         1.0407     -0.0110782    0.000271353
