{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.09177     -0.0142388    0.000365819
-4.889  -4.716       5     0   200        1.07059     -0.0138491     0.00034716
-4.716  -4.538       5     0   200        1.06267     -0.0135235    0.000333358
-4.538  -4.363       5     0   200        1.06303     -0.0133207    0.000325125
-4.363  -4.191       5     0   200        1.07997     -0.0132354    0.000320939
-4.191  -4.013       5     0   200        1.09792     -0.0128747    0.000307859
-4.013  -3.839       5     0   200        1.10879     -0.0123277    0.000287091
-3.839  -3.664       5     0   200        1.12618     -0.0116991    0.000261269
-3.664  -3.489       5     0   200        1.13432     -0.0110021    0.000233297
-3.489  -3.314       5     0   200        1.13189     -0.0103892    0.000208062
-3.314  -3.139       5     0   200        1.14186     -0.0101846    0.000171008
-3.139  -2.964       5     0   200        1.16679     -0.0134077    0.000181945
-2.964  -2.853       5     0   200        1.18968     -0.0153743     0.00016308
-2.853   -2.65       5     0   200        1.23587      -0.016072     9.9002e-05
-2.65    -2.5       5     0   200        1.26048     -0.0137458    -1.0101e-05
-2.5  -2.322       5     0   200        1.23147    -0.00729015    -0.00012476
-2.322  -2.172       5     0   200        1.18436    -0.00134572   -0.000200527
-2.172  -2.043       5     0   200        1.15374   -0.000840241   -0.000185125
-2.043   -1.93       5     0   200        1.12342    6.56158e-05   -0.000190948
-1.93   -1.83       5     0   200        1.10196     0.00058488   -0.000187337
-1.83   -1.74       5     0   200          1.088    0.000620518   -0.000169218
-1.74  -1.653       5     0   200        1.08524    9.37763e-05    -0.00013095
-1.653  -1.566       5     0   200        1.08343   -0.000634343   -8.34078e-05
-1.566  -1.479       5     0   200         1.0831    -0.00132383   -3.81079e-05
-1.479  -1.392       5     0   200         1.0873     -0.0021452    9.25794e-06
-1.392  -1.305       5     0   200        1.09375    -0.00288427    4.80361e-05
-1.305  -1.218       5     0   200        1.10143    -0.00347431    7.62189e-05
-1.218  -1.131       5     0   200        1.10891    -0.00396629    9.75119e-05
-1.131  -1.044       5     0   200        1.11402     -0.0042087     0.00010564
-1.044  -0.957       5     0   200         1.1168    -0.00412878    9.69098e-05
-0.957  -0.879       5     0   200        1.11756    -0.00388623     7.7117e-05
-0.879  -0.783       5     0   200        1.12479    -0.00396148     6.5417e-05
-0.783  -0.696       5     0   200        1.13231    -0.00423351    6.27243e-05
-0.696  -0.609       5     0   200        1.13755    -0.00436364    5.74502e-05
-0.609  -0.522       5     0   200        1.14424    -0.00469642    6.08342e-05
-0.522  -0.435       5     0   200        1.15141    -0.00506893    6.59702e-05
-0.435  -0.348       5     0   200        1.15878    -0.00539352    6.89398e-05
-0.348  -0.261       5     0   200        1.16519    -0.00572199    7.37075e-05
-0.261  -0.174       5     0   200        1.16743    -0.00579099    7.20995e-05
-0.174  -0.087       5     0   200        1.16687    -0.00567839    6.61869e-05
-0.087       0       5     0   200        1.16409    -0.00538122    5.55304e-05
0   0.087       5     0   200        1.16055    -0.00514326    4.86114e-05
0.087   0.174       5     0   200        1.15641    -0.00494569     4.4302e-05
0.174   0.261       5     0   200        1.15142    -0.00462365    3.63166e-05
0.261   0.348       5     0   200        1.14664    -0.00449442    3.81857e-05
0.348   0.435       5     0   200        1.14083    -0.00434104    3.97126e-05
