{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.07739     -0.0104641    0.000268517
-4.889  -4.716       5     0   200        1.05318    -0.00972707    0.000232364
-4.716  -4.538       5     0   200        1.04406    -0.00951924    0.000222213
-4.538  -4.363       5     0   200        1.04229    -0.00952288    0.000222652
-4.363  -4.191       5     0   200         1.0544    -0.00928788      0.0002133
-4.191  -4.013       5     0   200        1.06584    -0.00858237    0.000186923
-4.013  -3.839       5     0   200        1.06897    -0.00752464    0.000145547
-3.839  -3.664       5     0   200        1.07835    -0.00641668    0.000100338
-3.664  -3.489       5     0   200        1.07964    -0.00546593    6.11608e-05
-3.489  -3.314       5     0   200        1.07082    -0.00460519     2.3863e-05
-3.314  -3.139       5     0   200        1.07957     -0.0038692    -3.8731e-05
-3.139  -2.964       5     0   200         1.1091    -0.00548865   -8.14172e-05
-2.964  -2.853       5     0   200        1.13425    -0.00541927    -0.00015823
-2.853   -2.65       5     0   200        1.18412    -0.00487953   -0.000276089
-2.65    -2.5       5     0   200         1.2227    -0.00518021   -0.000368633
-2.5  -2.322       5     0   200        1.20812    -0.00482003   -0.000374804
-2.322  -2.172       5     0   200        1.16716    -0.00301366   -0.000412473
-2.172  -2.043       5     0   200        1.13733    -0.00372806   -0.000405887
-2.043   -1.93       5     0   200        1.10399    -0.00259058   -0.000440595
-1.93   -1.83       5     0   200        1.07962    -0.00174419   -0.000458997
-1.83   -1.74       5     0   200        1.06516    -0.00176522   -0.000442009
-1.74  -1.653       5     0   200        1.06159    -0.00245515   -0.000397104
-1.653  -1.566       5     0   200        1.05934    -0.00337893   -0.000327983
-1.566  -1.479       5     0   200        1.05933    -0.00422689   -0.000253893
-1.479  -1.392       5     0   200          1.062    -0.00489988   -0.000184477
-1.392  -1.305       5     0   200        1.06523     -0.0053015   -0.000125436
-1.305  -1.218       5     0   200        1.06776    -0.00526939   -8.84852e-05
-1.218  -1.131       5     0   200        1.06989    -0.00508204   -6.61212e-05
-1.131  -1.044       5     0   200         1.0721     -0.0050854   -4.50715e-05
-1.044  -0.957       5     0   200        1.07375    -0.00496301   -4.01874e-05
-0.957  -0.879       5     0   200        1.07475    -0.00488206   -4.61328e-05
-0.879  -0.783       5     0   200        1.08117    -0.00510406   -4.95813e-05
-0.783  -0.696       5     0   200        1.08763    -0.00555815   -4.19432e-05
-0.696  -0.609       5     0   200        1.09338    -0.00599686   -3.11278e-05
-0.609  -0.522       5     0   200        1.10254    -0.00694012    3.55194e-07
-0.522  -0.435       5     0   200        1.11271     -0.0080489    3.97024e-05
-0.435  -0.348       5     0   200        1.11936    -0.00854522    5.52693e-05
-0.348  -0.261       5     0   200        1.12243    -0.00852893    5.19452e-05
-0.261  -0.174       5     0   200        1.12405    -0.00850464    5.25907e-05
-0.174  -0.087       5     0   200        1.12396    -0.00834488    5.16367e-05
-0.087       0       5     0   200        1.12239     -0.0080732    5.03528e-05
0   0.087       5     0   200        1.11865    -0.00756381    4.08752e-05
0.087   0.174       5     0   200        1.11407    -0.00706397    3.36782e-05
0.174   0.261       5     0   200        1.10857    -0.00648441    2.51569e-05
0.261   0.348       5     0   200        1.10207    -0.00586794    1.48637e-05
0.348   0.435       5     0   200        1.09722    -0.00559568    1.55408e-05
0.435   0.522       5     0   200        1.09264    -0.00538608    1.59248e-05
0.522   0.609       5     0   200        1.08781    -0.00520254    1.29308e-05
0.609   0.696       5     0   200        1.08357    -0.00522727    1.97749e-05
0.696   0.783       5     0   200        1.07872    -0.00519806     2.5403e-05
0.783   0.879       5     0   200        1.07283    -0.00514782    3.27736e-05
0.879   0.957       5     0   200        1.06799    -0.00533576    5.07825e-05
0.957   1.044       5     0   200        1.06813    -0.00580078    7.30125e-05
1.044   1.131       5     0   200        1.06758    -0.00632138    8.28793e-05
1.131   1.218       5     0   200        1.06453    -0.00625413     5.6185e-05
1.218   1.305       5     0   200        1.06059    -0.00591968    7.86448e-06
1.305   1.392       5     0   200        1.05455    -0.00508795   -6.82777e-05
1.392   1.479       5     0   200        1.04824    -0.00398069   -0.000166031
