{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.09177     -0.0142388    0.000365819
-4.889  -4.716       5     0   200        1.07059     -0.0138491     0.00034716
-4.716  -4.538       5     0   200        1.06267     -0.0135235    0.000333358
-4.538  -4.363       5     0   200        1.06303     -0.0133207    0.000325125
-4.363  -4.191       5     0   200        1.07997     -0.0132354    0.000320939
-4.191  -4.013       5     0   200        1.09792     -0.0128747    0.000307859
-4.013  -3.839       5     0   200        1.10879     -0.0123277    0.000287091
-3.839  -3.664       5     0   200        1.12618     -0.0116991    0.000261269
-3.664  -3.489       5     0   200        1.13432     -0.0110021    0.000233297
-3.489  -3.314       5     0   200        1.13189     -0.0103892    0.000208061
-3.314  -3.139       5     0   200        1.14186     -0.0101846    0.000171007
-3.139  -2.964       5     0   200        1.16679     -0.0134077    0.000181945
-2.964  -2.853       5     0   200        1.19074     -0.0154701    0.000167804
-2.853   -2.65       5     0   200        1.23706     -0.0167925    0.000130738
-2.65    -2.5       5     0   200        1.27414      -0.016225    8.15605e-05
-2.5  -2.322       5     0   200        1.26172    -0.00895427   -1.02675e-05
-2.322  -2.172       5     0   200        1.22069     0.00120946   -5.37214e-05
-2.172  -2.043       5     0   200        1.20739   -1.80221e-05    6.49092e-05
-2.043   -1.93       5     0   200        1.18745   -0.000278771    9.04134e-05
-1.93   -1.83       5     0   200        1.17055   -0.000761094    0.000102216
-1.83   -1.74       5     0   200        1.15759    -0.00161327    0.000116285
-1.74  -1.653       5     0   200        1.15331    -0.00258402    0.000138998
-1.653  -1.566       5     0   200        1.14476    -0.00351859    0.000168648
-1.566  -1.479       5     0   200        1.13744    -0.00403371    0.000192689
-1.479  -1.392       5     0   200        1.13682    -0.00449463    0.000220271
-1.392  -1.305       5     0   200        1.14091    -0.00499738    0.000247216
-1.305  -1.218       5     0   200        1.14719    -0.00520965    0.000260339
-1.218  -1.131       5     0   200        1.15635    -0.00551056    0.000276631
-1.131  -1.044       5     0   200        1.16395    -0.00555559    0.000281947
-1.044  -0.957       5     0   200        1.17042    -0.00524289    0.000270216
-0.957  -0.879       5     0   200        1.17606    -0.00497922    0.000251377
-0.879  -0.783       5     0   200        1.19274    -0.00511113    0.000239868
-0.783  -0.696       5     0   200        1.20839    -0.00578264    0.000247874
-0.696  -0.609       5     0   200        1.22028    -0.00624713     0.00025261
-0.609  -0.522       5     0   200        1.23531    -0.00697004    0.000267567
-0.522  -0.435       5     0   200        1.25112    -0.00779851    0.000285795
-0.435  -0.348       5     0   200        1.26617    -0.00831925    0.000291436
-0.348  -0.261       5     0   200        1.27964    -0.00890625    0.000301024
-0.261  -0.174       5     0   200        1.28579    -0.00903241    0.000297575
-0.174  -0.087       5     0   200        1.28561    -0.00865511    0.000280852
-0.087       0       5     0   200        1.28229    -0.00803459      0.0002591
0   0.087       5     0   200        1.27665     -0.0074676    0.000242637
0.087   0.174       5     0   200        1.26955    -0.00718671    0.000238735
0.174   0.261       5     0   200         1.2593    -0.00677518    0.000232823
0.261   0.348       5     0   200        1.24793    -0.00672986    0.000244221
0.348   0.435       5     0   200        1.23381      -0.006643    0.000254187
0.435   0.522       5     0   200        1.22051    -0.00654499    0.000261191
0.522   0.609       5     0   200        1.20974    -0.00670547    0.000275451
0.609   0.696       5     0   200        1.19895    -0.00674134     0.00028368
0.696   0.783       5     0   200        1.18762    -0.00651718    0.000283459
0.783   0.879       5     0   200         1.1726    -0.00602467    0.000278138
0.879   0.957       5     0   200        1.15557    -0.00551474    0.000274768
0.957   1.044       5     0   200        1.15008    -0.00525725      0.0002752
1.044   1.131       5     0   200        1.14301    -0.00486775    0.000261805
1.131   1.218       5     0   200        1.13326    -0.00411406    0.000234346
1.218   1.305       5     0   200        1.12355    -0.00342024    0.000207713
1.305   1.392       5     0   200        1.11466    -0.00275126    0.000180454
1.392   1.479       5     0   200        1.10994    -0.00238478    0.000160747
1.479   1.566       5     0   200        1.11158     -0.0022713    0.000147166
1.566   1.653       5     0   200        1.11881    -0.00209557    0.000132528
1.653    1.74       5     0   200        1.12734    -0.00170116    0.000112405
1.74    1.83       5     0   200        1.13396    -0.00131579    9.39232e-05
1.83    1.93       5     0   200        1.15717    -0.00130223    9.33347e-05
1.93   2.043       5     0   200        1.19201    -0.00175915    9.28225e-05
2.043   2.172       5     0   200        1.23849    -0.00228831     6.2348e-05
2.172   2.322       5     0   200        1.26293    -0.00185332   -3.83485e-05
2.322     2.5       5     0   200        1.33501     -0.0139491    9.10901e-05
2.5    2.65       5     0   200        1.36176     -0.0231316    0.000235756
2.65   2.853       5     0   200        1.29713     -0.0231016    0.000277778
2.853   2.964       5     0   200        1.22691      -0.019901    0.000270496
2.964   3.139       5     0   200        1.18654     -0.0163794    0.000243263
3.139   3.314       5     0   200        1.13598     -0.0112773    0.000183755
3.314   3.489       5     0   200        1.11999     -0.0106548    0.000206006
3.489   3.664       5     0   200        1.11976     -0.0112936     0.00023139
3.664   3.839       5     0   200        1.11284     -0.0121062    0.000261558
3.839   4.013       5     0   200        1.10149     -0.0128113    0.000288828
4.013   4.191       5     0   200        1.09771     -0.0135243     0.00031535
4.191   4.363       5     0   200        1.08748     -0.0140625    0.000333727
4.363   4.538       5     0   200        1.07024     -0.0142527    0.000340938
4.538   4.716       5     0   200        1.05997      -0.014348    0.000344926
4.716   4.889       5     0   200         1.0494      -0.014231    0.000341239
4.889   5.191       5     0   200        1.04838     -0.0139277     0.00033722
