{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.07332     -0.0138194    0.000346317
-4.889  -4.716       5     0   200        1.07294     -0.0136115    0.000337697
-4.716  -4.538       5     0   200        1.08018     -0.0134676    0.000331341
-4.538  -4.363       5     0   200        1.08649     -0.0131849    0.000320509
-4.363  -4.191       5     0   200         1.0903     -0.0128032    0.000305455
-4.191  -4.013       5     0   200        1.10153      -0.012399    0.000288632
-4.013  -3.839       5     0   200        1.10933     -0.0120043    0.000272812
-3.839  -3.664       5     0   200        1.11633      -0.011551    0.000254593
-3.664  -3.489       5     0   200        1.12792     -0.0115035    0.000232021
-3.489  -3.314       5     0   200        1.14577     -0.0124712    0.000224857
-3.314  -3.139       5     0   200        1.16011     -0.0127259    0.000203467
-3.139  -2.964       5     0   200        1.17397     -0.0129345     0.00018734
-2.964  -2.853       5     0   200        1.18609     -0.0128984     0.00016989
-2.853   -2.65       5     0   200        1.19984     -0.0125953    0.000147231
-2.65    -2.5       5     0   200        1.20975     -0.0120067    0.000118179
-2.5  -2.322       5     0   200         1.2218     -0.0106297    7.60897e-05
-2.322  -2.172       5     0   200         1.2234    -0.00860908    4.35735e-05
-2.172  -2.043       5     0   200        1.21533    -0.00686727    5.92745e-05
-2.043   -1.93       5     0   200         1.1971    -0.00445269    8.44413e-05
-1.93   -1.83       5     0   200        1.18194    -0.00289639    0.000116982
-1.83   -1.74       5     0   200        1.17566    -0.00330059      0.0001607
-1.74  -1.653       5     0   200         1.1706    -0.00363666    0.000186334
-1.653  -1.566       5     0   200        1.16574    -0.00366765    0.000193684
-1.566  -1.479       5     0   200         1.1625    -0.00375754    0.000201074
-1.479  -1.392       5     0   200         1.1615    -0.00394305    0.000208914
-1.392  -1.305       5     0   200        1.16174     -0.0041703    0.000215545
-1.305  -1.218       5     0   200         1.1634    -0.00445082    0.000222153
-1.218  -1.131       5     0   200        1.16688    -0.00478419    0.000229922
-1.131  -1.044       5     0   200        1.17236    -0.00513593    0.000239883
-1.044  -0.957       5     0   200        1.17988    -0.00549697     0.00025008
-0.957  -0.879       5     0   200        1.18884    -0.00586293    0.000259319
-0.879  -0.783       5     0   200         1.1996     -0.0062108    0.000266697
-0.783  -0.696       5     0   200        1.21172    -0.00658497    0.000274151
-0.696  -0.609       5     0   200        1.22203     -0.0068285    0.000276777
-0.609  -0.522       5     0   200        1.22936    -0.00687877    0.000271309
-0.522  -0.435       5     0   200        1.23711    -0.00688126    0.000262781
-0.435  -0.348       5     0   200        1.24501    -0.00697581    0.000258226
-0.348  -0.261       5     0   200        1.25017    -0.00709923    0.000257038
-0.261  -0.174       5     0   200        1.25368    -0.00719206    0.000256665
-0.174  -0.087       5     0   200        1.25614    -0.00735219    0.000260781
-0.087       0       5     0   200        1.25658    -0.00749856    0.000266079
0   0.087       5     0   200        1.25516    -0.00758566    0.000270033
0.087   0.174       5     0   200        1.25175    -0.00761354    0.000273098
0.174   0.261       5     0   200        1.24612    -0.00749921    0.000272679
0.261   0.348       5     0   200        1.23892    -0.00723266     0.00026822
0.348   0.435       5     0   200        1.23006     -0.0068762    0.000262428
0.435   0.522       5     0   200        1.21862    -0.00651849    0.000259057
0.522   0.609       5     0   200        1.20738    -0.00619883    0.000257949
0.609   0.696       5     0   200        1.19762    -0.00595542    0.000257855
0.696   0.783       5     0   200        1.18605    -0.00565121    0.000253777
0.783   0.879       5     0   200        1.17371    -0.00522323    0.000244584
0.879   0.957       5     0   200        1.16346    -0.00488392    0.000237068
0.957   1.044       5     0   200        1.15531    -0.00462271     0.00023084
1.044   1.131       5     0   200        1.14864    -0.00440494    0.000224953
1.131   1.218       5     0   200        1.14391    -0.00419339    0.000218856
1.218   1.305       5     0   200        1.14038    -0.00390179    0.000210498
1.305   1.392       5     0   200        1.13908    -0.00363734     0.00020073
1.392   1.479       5     0   200        1.14031    -0.00340286    0.000189358
1.479   1.566       5     0   200        1.14419    -0.00323797    0.000178414
1.566   1.653       5     0   200        1.15229    -0.00326018    0.000169021
1.653    1.74       5     0   200        1.16336    -0.00338124    0.000158614
1.74    1.83       5     0   200        1.17296    -0.00335488    0.000138501
1.83    1.93       5     0   200        1.18363    -0.00347812     0.00011088
1.93   2.043       5     0   200        1.21084    -0.00588549    0.000106788
2.043   2.172       5     0   200        1.24518    -0.00951495     0.00011548
2.172   2.322       5     0   200        1.26458      -0.012453    0.000121613
2.322     2.5       5     0   200        1.26556     -0.0149768    0.000165298
2.5    2.65       5     0   200        1.24999      -0.016079    0.000201817
2.65   2.853       5     0   200        1.23204     -0.0161799    0.000221595
2.853   2.964       5     0   200        1.21094     -0.0160034    0.000235428
2.964   3.139       5     0   200        1.19027     -0.0155095    0.000241154
3.139   3.314       5     0   200        1.16596     -0.0147042    0.000244607
3.314   3.489       5     0   200        1.14748     -0.0139513    0.000251722
3.489   3.664       5     0   200        1.12222      -0.012359    0.000241681
3.664   3.839       5     0   200        1.10914     -0.0120232    0.000257574
3.839   4.013       5     0   200        1.10398     -0.0125011    0.000276215
4.013   4.191       5     0   200        1.09677     -0.0130051     0.00029506
4.191   4.363       5     0   200        1.08686     -0.0134008    0.000310138
4.363   4.538       5     0   200        1.08299     -0.0137272    0.000322727
4.538   4.716       5     0   200        1.07749     -0.0140392    0.000333684
4.716   4.889       5     0   200         1.0691     -0.0141941    0.000339688
4.889   5.191       5     0   200        1.05848     -0.0143196     0.00034435
