{1   JetEta   1   Rho   [0]+[1]*x+[2]*pow(x,2)   Data/MC   L1FastJet}
-5.191  -4.889       5     0   200        1.02788    -0.00277737   -0.000118906
-4.889  -4.716       5     0   200        1.02694    -0.00273148   -0.000120456
-4.716  -4.538       5     0   200          1.033    -0.00260037   -0.000125522
-4.538  -4.363       5     0   200        1.03777    -0.00231386   -0.000135729
-4.363  -4.191       5     0   200           1.04    -0.00196503   -0.000148696
-4.191  -4.013       5     0   200        1.04844    -0.00145152    -0.00016872
-4.013  -3.839       5     0   200        1.05329   -0.000966065   -0.000186358
-3.839  -3.664       5     0   200        1.05735   -0.000414087   -0.000206668
-3.664  -3.489       5     0   200        1.07418   -0.000688665   -0.000216668
-3.489  -3.314       5     0   200        1.09964    -0.00175502   -0.000215079
-3.314  -3.139       5     0   200        1.12094    -0.00206728   -0.000230208
-3.139  -2.964       5     0   200        1.14753    -0.00327332   -0.000225361
-2.964  -2.853       5     0   200        1.16856    -0.00419913   -0.000233237
-2.853   -2.65       5     0   200        1.18644    -0.00494073    -0.00024827
-2.65    -2.5       5     0   200        1.19417    -0.00552813   -0.000273727
-2.5  -2.322       5     0   200         1.1971    -0.00558713   -0.000315384
-2.322  -2.172       5     0   200        1.18741    -0.00533833   -0.000353396
-2.172  -2.043       5     0   200        1.16812    -0.00506553   -0.000362449
-2.043   -1.93       5     0   200        1.14465     -0.0041465   -0.000366607
-1.93   -1.83       5     0   200        1.12626    -0.00348521   -0.000362513
-1.83   -1.74       5     0   200        1.11528    -0.00348804   -0.000346806
-1.74  -1.653       5     0   200        1.10514    -0.00319222   -0.000341655
-1.653  -1.566       5     0   200        1.09435    -0.00251873   -0.000347275
-1.566  -1.479       5     0   200        1.08582    -0.00200515   -0.000347717
-1.479  -1.392       5     0   200         1.0802     -0.0017038   -0.000340747
-1.392  -1.305       5     0   200        1.07673    -0.00150367   -0.000333965
-1.305  -1.218       5     0   200        1.07535    -0.00140677   -0.000326062
-1.218  -1.131       5     0   200        1.07595     -0.0014052   -0.000315749
-1.131  -1.044       5     0   200        1.07782    -0.00140081   -0.000305135
-1.044  -0.957       5     0   200        1.08074      -0.001411   -0.000294278
-0.957  -0.879       5     0   200          1.084    -0.00140008   -0.000286045
-0.879  -0.783       5     0   200        1.08758     -0.0013674   -0.000280083
-0.783  -0.696       5     0   200        1.09122    -0.00135751   -0.000274675
-0.696  -0.609       5     0   200        1.09376    -0.00127277   -0.000273543
-0.609  -0.522       5     0   200        1.09542    -0.00117476   -0.000274929
-0.522  -0.435       5     0   200        1.09815    -0.00117983   -0.000275524
-0.435  -0.348       5     0   200        1.10141     -0.0012396   -0.000274415
-0.348  -0.261       5     0   200        1.10359    -0.00129378    -0.00027118
-0.261  -0.174       5     0   200          1.105    -0.00134207   -0.000266259
-0.174  -0.087       5     0   200        1.10607    -0.00141443   -0.000259222
-0.087       0       5     0   200         1.1067    -0.00148658   -0.000251573
0   0.087       5     0   200        1.10661     -0.0014828   -0.000246517
0.087   0.174       5     0   200        1.10557     -0.0014165   -0.000243252
0.174   0.261       5     0   200        1.10338    -0.00128971   -0.000241461
0.261   0.348       5     0   200        1.10053    -0.00116394   -0.000238327
0.348   0.435       5     0   200        1.09693    -0.00105962   -0.000233106
0.435   0.522       5     0   200        1.09248   -0.000978686   -0.000225228
0.522   0.609       5     0   200        1.08836   -0.000938301   -0.000215756
0.609   0.696       5     0   200        1.08493   -0.000965985   -0.000208234
0.696   0.783       5     0   200        1.08088   -0.000963096   -0.000208099
0.783   0.879       5     0   200        1.07668   -0.000906666   -0.000215144
0.879   0.957       5     0   200        1.07289   -0.000874796   -0.000225295
0.957   1.044       5     0   200        1.06949   -0.000867412   -0.000237713
1.044   1.131       5     0   200        1.06691   -0.000951779   -0.000249984
1.131   1.218       5     0   200        1.06528    -0.00104584   -0.000262627
1.218   1.305       5     0   200        1.06408    -0.00105528   -0.000278295
1.305   1.392       5     0   200        1.06458    -0.00116456   -0.000292835
1.392   1.479       5     0   200        1.06706    -0.00138463   -0.000306312
1.479   1.566       5     0   200        1.07208    -0.00180767   -0.000315281
1.566   1.653       5     0   200        1.07837    -0.00244534   -0.000316041
1.653    1.74       5     0   200        1.08556    -0.00321116    -0.00031277
1.74    1.83       5     0   200        1.09196    -0.00364399   -0.000318711
1.83    1.93       5     0   200        1.09961    -0.00387655    -0.00033215
1.93   2.043       5     0   200        1.12007     -0.0050555   -0.000326741
2.043   2.172       5     0   200        1.14879    -0.00673122   -0.000310395
2.172   2.322       5     0   200         1.1734     -0.0079708   -0.000285279
2.322     2.5       5     0   200        1.18398    -0.00861892   -0.000241019
2.5    2.65       5     0   200        1.18301    -0.00854877   -0.000199639
2.65   2.853       5     0   200        1.17657    -0.00783722    -0.00017478
2.853   2.964       5     0   200        1.16198    -0.00701462   -0.000159497
2.964   3.139       5     0   200        1.14299    -0.00574068   -0.000164003
3.139   3.314       5     0   200        1.12092    -0.00422561   -0.000181476
3.314   3.489       5     0   200        1.10107    -0.00341086   -0.000184226
3.489   3.664       5     0   200        1.06839    -0.00159343   -0.000206686
3.664   3.839       5     0   200        1.05104   -0.000946831   -0.000203222
3.839   4.013       5     0   200        1.04851    -0.00147805   -0.000184235
4.013   4.191       5     0   200        1.04334    -0.00195939   -0.000167639
4.191   4.363       5     0   200        1.03536    -0.00239588   -0.000151853
4.363   4.538       5     0   200        1.03272    -0.00268833   -0.000141718
4.538   4.716       5     0   200        1.02843    -0.00299603   -0.000131939
4.716   4.889       5     0   200        1.02144    -0.00320979   -0.000124597
4.889   5.191       5     0   200        1.01239    -0.00334728   -0.000120775
