[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_axis2_QC_F_quark}
20 22 0 1 4 0 100 26.615 49.126
20 22 1 2 4 0 100 17.382 39.100
20 22 2 3 4 0 100 29.557 2.989
20 22 3 4 4 0 100 57.679 2.712
20 22 4 5 4 0 100 44.419 2.725
20 22 5 6 4 0 100 44.499 2.728
20 22 6 7 4 0 100 32.840 2.708
20 22 7 8 4 0 100 35.757 2.694
20 22 8 9 4 0 100 35.944 2.624
20 22 9 10 4 0 100 35.656 2.639
20 22 10 11 4 0 100 37.504 2.593
20 22 11 12 4 0 100 38.854 2.510
20 22 12 13 4 0 100 37.892 2.545
20 22 13 14 4 0 100 39.306 2.529
20 22 14 15 4 0 100 40.559 2.486
20 22 15 16 4 0 100 40.798 2.479
20 22 16 17 4 0 100 43.179 2.458
20 22 17 18 4 0 100 41.273 2.418
20 22 18 19 4 0 100 45.666 2.448
20 22 19 20 4 0 100 47.879 2.382
20 22 20 21 4 0 100 51.643 2.378
20 22 21 22 4 0 100 52.797 2.340
20 22 22 23 4 0 100 60.876 2.388
20 22 23 24 4 0 100 56.513 2.299
20 22 24 25 4 0 100 96.266 2.370
20 22 25 26 4 0 100 100.000 2.253
20 22 26 27 4 0 100 91.790 2.318
20 22 27 28 4 0 100 100.000 2.170
20 22 28 29 4 0 100 100.000 2.253
20 22 29 30 4 0 100 100.000 2.228
20 22 30 31 4 0 100 100.000 2.004
20 22 31 32 4 0 100 9.312 94.201
20 22 32 33 4 0 100 99.777 90.897
20 22 33 34 4 0 100 13.423 91.542
20 22 34 35 4 0 100 8.588 99.770
20 22 35 36 4 0 100 83.048 51.025
20 22 36 37 4 0 100 34.917 90.946
20 22 37 38 4 0 100 32.867 66.663
20 22 38 39 4 0 100 87.294 99.481
20 22 39 40 4 0 100 46.465 99.979
20 22 40 41 4 0 100 99.086 65.163
20 22 43 100 4 0 100 79.902 20.197
22 25 0 1 4 0 100 89.302 18.459
22 25 1 2 4 0 100 100.000 3.171
22 25 2 3 4 0 100 55.947 2.701
22 25 3 4 4 0 100 48.675 2.891
22 25 4 5 4 0 100 36.329 2.802
22 25 5 6 4 0 100 33.741 2.792
22 25 6 7 4 0 100 34.033 2.760
22 25 7 8 4 0 100 35.240 2.739
22 25 8 9 4 0 100 34.824 2.733
22 25 9 10 4 0 100 34.268 2.680
22 25 10 11 4 0 100 35.149 2.671
22 25 11 12 4 0 100 33.939 2.634
22 25 12 13 4 0 100 36.434 2.614
22 25 13 14 4 0 100 37.932 2.584
22 25 14 15 4 0 100 37.321 2.555
22 25 15 16 4 0 100 37.588 2.538
22 25 16 17 4 0 100 38.612 2.506
22 25 17 18 4 0 100 36.938 2.505
22 25 18 19 4 0 100 41.614 2.504
22 25 19 20 4 0 100 42.092 2.441
22 25 20 21 4 0 100 44.298 2.440
22 25 21 22 4 0 100 44.514 2.434
22 25 22 23 4 0 100 36.934 2.432
22 25 23 24 4 0 100 47.436 2.417
22 25 24 25 4 0 100 52.301 2.386
22 25 25 26 4 0 100 79.474 2.415
22 25 26 27 4 0 100 90.270 2.363
22 25 27 28 4 0 100 70.800 2.218
22 25 28 29 4 0 100 62.007 2.355
22 25 29 30 4 0 100 100.000 2.329
22 25 30 31 4 0 100 100.000 2.282
22 25 31 32 4 0 100 100.000 2.081
22 25 32 33 4 0 100 100.000 1.955
22 25 33 34 4 0 100 10.110 95.396
22 25 34 35 4 0 100 100.000 2.361
22 25 35 36 4 0 100 96.987 47.274
22 25 36 37 4 0 100 20.715 49.481
22 25 37 38 4 0 100 99.630 35.074
22 25 38 39 4 0 100 98.023 93.714
22 25 39 40 4 0 100 28.089 43.907
22 25 40 41 4 0 100 99.344 85.223
22 25 41 42 4 0 100 79.732 26.451
22 25 42 43 4 0 100 63.031 50.165
22 25 43 44 4 0 100 61.691 79.250
22 25 44 100 4 0 100 69.294 42.030
25 27 0 1 4 0 100 98.634 22.393
25 27 1 2 4 0 100 95.539 38.788
25 27 2 3 4 0 100 96.065 2.828
25 27 3 4 4 0 100 72.091 2.874
25 27 4 5 4 0 100 69.009 2.883
25 27 5 6 4 0 100 37.544 2.839
25 27 6 7 4 0 100 32.565 2.856
25 27 7 8 4 0 100 34.912 2.790
25 27 8 9 4 0 100 35.566 2.778
25 27 9 10 4 0 100 39.519 2.721
25 27 10 11 4 0 100 37.792 2.700
25 27 11 12 4 0 100 37.084 2.701
25 27 12 13 4 0 100 39.741 2.648
25 27 13 14 4 0 100 38.198 2.637
25 27 14 15 4 0 100 42.060 2.630
25 27 15 16 4 0 100 38.421 2.599
25 27 16 17 4 0 100 43.958 2.546
25 27 17 18 4 0 100 37.891 2.584
25 27 18 19 4 0 100 45.620 2.524
25 27 19 20 4 0 100 42.849 2.508
25 27 20 21 4 0 100 45.166 2.535
25 27 21 22 4 0 100 49.154 2.457
25 27 22 23 4 0 100 54.052 2.502
25 27 23 24 4 0 100 53.222 2.412
25 27 24 25 4 0 100 64.061 2.401
25 27 25 26 4 0 100 51.744 2.363
25 27 26 27 4 0 100 100.000 2.326
25 27 27 28 4 0 100 60.141 2.464
25 27 28 29 4 0 100 82.064 2.430
25 27 29 30 4 0 100 100.000 2.453
25 27 30 31 4 0 100 100.000 2.187
25 27 31 32 4 0 100 100.000 2.103
25 27 32 33 4 0 100 100.000 2.260
25 27 33 34 4 0 100 100.000 2.551
25 27 34 35 4 0 100 36.146 53.968
25 27 35 36 4 0 100 45.870 71.069
25 27 36 37 4 0 100 76.074 48.040
25 27 37 38 4 0 100 100.000 2.395
25 27 38 39 4 0 100 45.049 75.671
25 27 39 40 4 0 100 92.597 64.558
25 27 40 41 4 0 100 70.813 79.555
25 27 41 42 4 0 100 98.971 40.222
25 27 42 43 4 0 100 81.599 76.903
25 27 43 100 4 0 100 25.066 96.290
27 29 0 1 4 0 100 9.936 89.786
27 29 1 2 4 0 100 11.932 45.990
27 29 2 3 4 0 100 100.000 3.171
27 29 3 4 4 0 100 62.659 3.036
27 29 4 5 4 0 100 36.967 2.917
27 29 5 6 4 0 100 37.305 2.859
27 29 6 7 4 0 100 32.237 2.869
27 29 7 8 4 0 100 35.865 2.814
27 29 8 9 4 0 100 33.656 2.804
27 29 9 10 4 0 100 33.572 2.824
27 29 10 11 4 0 100 33.144 2.762
27 29 11 12 4 0 100 34.279 2.730
27 29 12 13 4 0 100 34.202 2.713
27 29 13 14 4 0 100 37.552 2.673
27 29 14 15 4 0 100 38.913 2.637
27 29 15 16 4 0 100 35.775 2.661
27 29 16 17 4 0 100 35.905 2.617
27 29 17 18 4 0 100 41.134 2.616
27 29 18 19 4 0 100 39.414 2.592
27 29 19 20 4 0 100 43.772 2.570
27 29 20 21 4 0 100 42.505 2.517
27 29 21 22 4 0 100 50.948 2.522
27 29 22 23 4 0 100 43.258 2.529
27 29 23 24 4 0 100 41.791 2.514
27 29 24 25 4 0 100 53.820 2.511
27 29 25 26 4 0 100 75.998 2.478
27 29 26 27 4 0 100 68.830 2.419
27 29 27 28 4 0 100 65.805 2.417
27 29 28 29 4 0 100 71.554 2.491
27 29 29 30 4 0 100 85.954 2.342
27 29 30 31 4 0 100 100.000 2.394
27 29 31 32 4 0 100 100.000 2.535
27 29 32 33 4 0 100 99.735 27.569
27 29 33 34 4 0 100 100.000 2.477
27 29 34 35 4 0 100 47.935 50.005
27 29 35 36 4 0 100 38.880 49.296
27 29 36 37 4 0 100 100.000 2.170
27 29 37 38 4 0 100 9.501 99.997
27 29 38 39 4 0 100 45.477 76.474
27 29 39 40 4 0 100 93.200 99.570
27 29 40 41 4 0 100 68.247 69.740
27 29 41 42 4 0 100 96.517 51.557
27 29 43 44 4 0 100 52.405 61.041
27 29 44 100 4 0 100 94.966 74.929
29 32 0 1 4 0 100 10.221 99.997
29 32 1 2 4 0 100 100.000 2.574
29 32 2 3 4 0 100 88.032 2.914
29 32 3 4 4 0 100 51.761 2.941
29 32 4 5 4 0 100 37.303 2.926
29 32 5 6 4 0 100 31.719 2.979
29 32 6 7 4 0 100 33.992 2.890
29 32 7 8 4 0 100 34.577 2.875
29 32 8 9 4 0 100 33.564 2.850
29 32 9 10 4 0 100 35.729 2.815
29 32 10 11 4 0 100 35.626 2.814
29 32 11 12 4 0 100 34.564 2.788
29 32 12 13 4 0 100 35.348 2.774
29 32 13 14 4 0 100 34.963 2.713
29 32 14 15 4 0 100 37.625 2.719
29 32 15 16 4 0 100 40.187 2.691
29 32 16 17 4 0 100 37.638 2.694
29 32 17 18 4 0 100 38.094 2.664
29 32 18 19 4 0 100 38.702 2.653
29 32 19 20 4 0 100 39.892 2.621
29 32 20 21 4 0 100 37.257 2.611
29 32 21 22 4 0 100 39.770 2.579
29 32 22 23 4 0 100 46.347 2.556
29 32 23 24 4 0 100 48.036 2.561
29 32 24 25 4 0 100 46.687 2.495
29 32 25 26 4 0 100 45.817 2.523
29 32 26 27 4 0 100 49.117 2.547
29 32 27 28 4 0 100 87.555 2.399
29 32 28 29 4 0 100 85.869 2.374
29 32 29 30 4 0 100 73.755 2.468
29 32 30 31 4 0 100 100.000 2.442
29 32 31 32 4 0 100 94.675 2.486
29 32 32 33 4 0 100 100.000 2.440
29 32 33 34 4 0 100 100.000 2.580
29 32 34 35 4 0 100 100.000 2.429
29 32 35 36 4 0 100 100.000 2.338
29 32 36 37 4 0 100 100.000 2.300
29 32 37 38 4 0 100 9.489 99.940
29 32 38 39 4 0 100 35.390 47.670
29 32 39 40 4 0 100 75.330 86.747
29 32 40 41 4 0 100 43.647 69.018
