[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nPFCand_QC_ptCut_quark}
20 26 0 1 4 0 100 25.236 5.525
20 26 1 2 4 0 100 14.522 6.113
20 26 2 3 4 0 100 9.699 6.152
20 26 3 4 4 0 100 9.029 6.491
20 26 4 5 4 0 100 7.925 6.559
20 26 5 6 4 0 100 7.502 6.538
20 26 6 7 4 0 100 7.541 6.664
20 26 7 8 4 0 100 7.000 6.797
20 26 8 9 4 0 100 6.909 6.680
20 26 9 10 4 0 100 6.727 6.833
20 26 10 11 4 0 100 6.611 6.793
20 26 11 12 4 0 100 7.082 6.805
20 26 12 13 4 0 100 6.116 6.833
20 26 13 14 4 0 100 6.209 6.899
20 26 14 15 4 0 100 6.569 6.921
20 26 15 16 4 0 100 6.534 6.966
20 26 16 17 4 0 100 5.869 6.903
20 26 17 18 4 0 100 6.597 6.973
20 26 18 19 4 0 100 6.124 7.106
20 26 19 20 4 0 100 6.600 7.237
20 26 20 21 4 0 100 6.538 7.200
20 26 21 22 4 0 100 6.315 7.103
20 26 22 23 4 0 100 6.225 7.293
20 26 23 24 4 0 100 6.691 7.367
20 26 24 25 4 0 100 6.935 7.424
20 26 25 26 4 0 100 6.165 7.353
20 26 26 27 4 0 100 7.724 7.541
20 26 27 28 4 0 100 8.737 7.406
20 26 28 29 4 0 100 6.818 7.161
20 26 29 30 4 0 100 9.320 7.774
20 26 30 31 4 0 100 7.858 7.437
20 26 31 32 4 0 100 12.031 7.655
20 26 32 33 4 0 100 13.726 7.055
20 26 33 34 4 0 100 9.751 7.175
20 26 34 35 4 0 100 14.741 8.163
20 26 35 36 4 0 100 18.495 6.914
20 26 36 37 4 0 100 27.419 6.941
20 26 37 38 4 0 100 33.595 6.676
20 26 38 39 4 0 100 2.607 10.418
20 26 39 40 4 0 100 50.000 9.610
20 26 40 41 4 0 100 1.415 100.000
20 26 41 42 4 0 100 1.274 100.000
20 26 42 43 4 0 100 50.000 10.483
20 26 43 44 4 0 100 1.558 100.000
20 26 44 100 4 0 100 1.554 100.000
26 32 0 1 4 0 100 50.000 5.466
26 32 1 2 4 0 100 14.153 6.508
26 32 2 3 4 0 100 7.848 7.185
