[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_axis2_QC_quark}
20 26 0 1 4 0 100 5.987 93.648
20 26 1 2 4 0 100 89.061 3.104
20 26 2 3 4 0 100 30.629 3.062
20 26 3 4 4 0 100 28.260 3.090
20 26 4 5 4 0 100 29.449 2.990
20 26 5 6 4 0 100 30.000 2.977
20 26 6 7 4 0 100 30.866 2.986
20 26 7 8 4 0 100 28.815 2.960
20 26 8 9 4 0 100 28.940 2.947
20 26 9 10 4 0 100 30.072 2.956
20 26 10 11 4 0 100 30.307 2.942
20 26 11 12 4 0 100 29.415 2.965
20 26 12 13 4 0 100 31.688 2.939
20 26 13 14 4 0 100 32.259 2.929
20 26 14 15 4 0 100 31.002 2.952
20 26 15 16 4 0 100 32.112 2.938
20 26 16 17 4 0 100 31.836 2.939
20 26 17 18 4 0 100 31.641 2.947
20 26 18 19 4 0 100 32.029 2.907
20 26 19 20 4 0 100 32.671 2.942
20 26 20 21 4 0 100 33.313 2.926
20 26 21 22 4 0 100 32.580 2.923
20 26 22 23 4 0 100 34.104 2.917
20 26 23 24 4 0 100 32.701 2.937
20 26 24 25 4 0 100 37.153 2.932
20 26 25 26 4 0 100 36.774 2.906
20 26 26 27 4 0 100 37.121 2.940
20 26 27 28 4 0 100 34.826 2.920
20 26 28 29 4 0 100 37.606 2.898
20 26 29 30 4 0 100 43.434 2.910
20 26 30 31 4 0 100 40.354 2.890
20 26 31 32 4 0 100 44.870 2.955
20 26 32 33 4 0 100 53.896 2.830
20 26 33 34 4 0 100 63.258 2.985
20 26 34 35 4 0 100 56.723 2.851
20 26 35 36 4 0 100 67.838 2.914
20 26 36 37 4 0 100 79.072 2.927
20 26 37 38 4 0 100 100.000 2.828
20 26 38 39 4 0 100 100.000 3.039
20 26 39 40 4 0 100 100.000 3.166
20 26 40 41 4 0 100 5.938 99.926
20 26 41 42 4 0 100 79.664 30.208
20 26 42 43 4 0 100 17.085 51.339
20 26 43 44 4 0 100 61.715 38.533
20 26 44 100 4 0 100 7.234 99.954
26 32 0 1 4 0 100 8.283 73.112
26 32 1 2 4 0 100 61.781 3.061
26 32 2 3 4 0 100 37.700 3.178
26 32 3 4 4 0 100 33.451 3.088
26 32 4 5 4 0 100 30.320 3.105
26 32 5 6 4 0 100 29.987 3.080
26 32 6 7 4 0 100 29.824 3.074
26 32 7 8 4 0 100 29.961 3.065
26 32 8 9 4 0 100 31.528 3.031
26 32 9 10 4 0 100 31.075 3.065
26 32 10 11 4 0 100 31.032 3.032
26 32 11 12 4 0 100 32.189 3.043
26 32 12 13 4 0 100 32.856 3.036
26 32 13 14 4 0 100 31.573 3.046
26 32 14 15 4 0 100 31.889 3.022
26 32 15 16 4 0 100 32.571 3.026
26 32 16 17 4 0 100 31.999 3.036
26 32 17 18 4 0 100 33.396 3.031
26 32 18 19 4 0 100 34.909 3.020
26 32 19 20 4 0 100 33.798 3.044
26 32 20 21 4 0 100 35.947 3.017
26 32 21 22 4 0 100 35.202 3.022
26 32 22 23 4 0 100 36.586 3.027
26 32 23 24 4 0 100 36.641 3.023
26 32 24 25 4 0 100 38.771 3.027
26 32 25 26 4 0 100 37.287 2.992
26 32 26 27 4 0 100 37.211 3.013
26 32 27 28 4 0 100 38.877 3.024
26 32 28 29 4 0 100 41.355 3.009
26 32 29 30 4 0 100 36.045 2.976
26 32 30 31 4 0 100 48.371 3.031
26 32 31 32 4 0 100 45.250 2.986
26 32 32 33 4 0 100 51.799 3.019
26 32 33 34 4 0 100 52.510 2.987
26 32 34 35 4 0 100 81.512 3.066
26 32 35 36 4 0 100 77.821 2.961
26 32 36 37 4 0 100 94.867 2.957
26 32 37 38 4 0 100 100.000 2.968
26 32 38 39 4 0 100 100.000 2.838
26 32 39 40 4 0 100 100.000 3.322
26 32 40 41 4 0 100 8.993 82.438
26 32 41 42 4 0 100 100.000 2.955
26 32 42 43 4 0 100 7.069 88.319
26 32 43 44 4 0 100 18.397 46.326
26 32 44 100 4 0 100 8.450 99.392
32 40 0 1 4 0 100 13.197 53.953
32 40 1 2 4 0 100 21.903 3.523
32 40 2 3 4 0 100 38.255 3.211
32 40 3 4 4 0 100 34.512 3.161
32 40 4 5 4 0 100 32.103 3.173
32 40 5 6 4 0 100 31.855 3.168
32 40 6 7 4 0 100 33.552 3.166
32 40 7 8 4 0 100 32.106 3.158
32 40 8 9 4 0 100 33.150 3.155
32 40 9 10 4 0 100 33.945 3.139
32 40 10 11 4 0 100 33.111 3.137
32 40 11 12 4 0 100 34.122 3.141
32 40 12 13 4 0 100 34.089 3.122
32 40 13 14 4 0 100 35.379 3.134
32 40 14 15 4 0 100 34.763 3.128
32 40 15 16 4 0 100 35.139 3.143
32 40 16 17 4 0 100 35.323 3.113
32 40 17 18 4 0 100 35.252 3.123
32 40 18 19 4 0 100 37.024 3.128
32 40 19 20 4 0 100 36.123 3.110
32 40 20 21 4 0 100 36.468 3.108
32 40 21 22 4 0 100 35.633 3.105
32 40 22 23 4 0 100 35.684 3.102
32 40 23 24 4 0 100 36.750 3.106
32 40 24 25 4 0 100 37.015 3.105
32 40 25 26 4 0 100 37.819 3.104
32 40 26 27 4 0 100 40.909 3.112
32 40 27 28 4 0 100 37.972 3.114
32 40 28 29 4 0 100 36.863 3.131
32 40 29 30 4 0 100 36.967 3.113
32 40 30 31 4 0 100 45.180 3.078
32 40 31 32 4 0 100 50.071 3.084
32 40 32 33 4 0 100 39.163 3.078
32 40 33 34 4 0 100 54.751 3.081
32 40 34 35 4 0 100 60.825 3.077
32 40 35 36 4 0 100 46.350 3.209
32 40 36 37 4 0 100 71.741 3.034
32 40 37 38 4 0 100 100.000 3.120
32 40 38 39 4 0 100 100.000 3.077
32 40 39 40 4 0 100 100.000 3.199
32 40 40 41 4 0 100 100.000 2.768
32 40 41 42 4 0 100 100.000 3.106
32 40 42 43 4 0 100 100.000 2.963
32 40 43 44 4 0 100 75.048 60.441
32 40 44 100 4 0 100 6.971 85.990
40 51 0 1 4 0 100 5.631 99.367
40 51 1 2 4 0 100 67.894 3.217
40 51 2 3 4 0 100 36.810 3.311
40 51 3 4 4 0 100 34.608 3.320
40 51 4 5 4 0 100 31.835 3.294
40 51 5 6 4 0 100 34.273 3.278
40 51 6 7 4 0 100 34.437 3.290
