[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_axis1_QC_F_quark}
20 26 0 1 4 0 100 29.410 2.326
20 26 1 2 4 0 100 26.912 2.297
20 26 2 3 4 0 100 26.710 2.298
20 26 3 4 4 0 100 27.270 2.270
20 26 4 5 4 0 100 27.547 2.261
20 26 5 6 4 0 100 26.568 2.242
20 26 6 7 4 0 100 26.228 2.235
20 26 7 8 4 0 100 26.344 2.217
20 26 8 9 4 0 100 25.574 2.197
20 26 9 10 4 0 100 25.780 2.195
20 26 10 11 4 0 100 27.236 2.157
20 26 11 12 4 0 100 26.994 2.171
20 26 12 13 4 0 100 26.798 2.152
20 26 13 14 4 0 100 28.836 2.133
20 26 14 15 4 0 100 25.902 2.139
20 26 15 16 4 0 100 28.552 2.097
20 26 16 17 4 0 100 27.702 2.049
20 26 17 18 4 0 100 30.873 2.087
20 26 18 19 4 0 100 34.085 2.069
20 26 19 20 4 0 100 38.532 2.072
20 26 20 21 4 0 100 38.788 1.995
20 26 21 22 4 0 100 42.771 2.029
20 26 22 23 4 0 100 38.236 2.050
20 26 23 24 4 0 100 66.798 1.875
20 26 24 25 4 0 100 50.789 2.000
26 32 0 1 4 0 100 29.709 2.477
26 32 1 2 4 0 100 29.586 2.420
26 32 2 3 4 0 100 28.795 2.409
26 32 3 4 4 0 100 27.018 2.389
26 32 4 5 4 0 100 27.219 2.376
26 32 5 6 4 0 100 27.169 2.355
26 32 6 7 4 0 100 27.234 2.332
26 32 7 8 4 0 100 27.466 2.335
26 32 8 9 4 0 100 25.499 2.311
26 32 9 10 4 0 100 27.268 2.300
26 32 10 11 4 0 100 27.704 2.283
26 32 11 12 4 0 100 26.672 2.285
26 32 12 13 4 0 100 26.283 2.261
26 32 13 14 4 0 100 27.040 2.269
26 32 14 15 4 0 100 27.204 2.241
26 32 15 16 4 0 100 27.686 2.221
26 32 16 17 4 0 100 27.452 2.212
26 32 17 18 4 0 100 27.818 2.211
26 32 18 19 4 0 100 28.855 2.205
26 32 19 20 4 0 100 29.992 2.181
26 32 20 21 4 0 100 30.037 2.181
26 32 21 22 4 0 100 29.088 2.136
26 32 22 23 4 0 100 41.372 2.072
26 32 23 24 4 0 100 69.022 2.047
26 32 24 25 4 0 100 100.000 2.194
32 40 0 1 4 0 100 26.579 2.529
32 40 1 2 4 0 100 26.267 2.543
32 40 2 3 4 0 100 26.659 2.510
32 40 3 4 4 0 100 27.862 2.498
32 40 4 5 4 0 100 27.267 2.489
32 40 5 6 4 0 100 27.107 2.456
32 40 6 7 4 0 100 26.425 2.442
32 40 7 8 4 0 100 26.577 2.442
32 40 8 9 4 0 100 26.327 2.416
32 40 9 10 4 0 100 27.661 2.415
32 40 10 11 4 0 100 26.161 2.395
32 40 11 12 4 0 100 25.650 2.394
32 40 12 13 4 0 100 25.402 2.370
32 40 13 14 4 0 100 27.281 2.359
32 40 14 15 4 0 100 27.347 2.356
32 40 15 16 4 0 100 26.403 2.334
32 40 16 17 4 0 100 25.850 2.337
32 40 17 18 4 0 100 29.297 2.309
32 40 18 19 4 0 100 27.799 2.296
32 40 19 20 4 0 100 26.064 2.291
32 40 20 21 4 0 100 29.523 2.278
32 40 21 22 4 0 100 30.821 2.286
32 40 22 23 4 0 100 32.483 2.269
32 40 23 24 4 0 100 36.573 2.222
32 40 24 25 4 0 100 42.441 2.217
40 51 0 1 4 0 100 27.746 2.701
40 51 1 2 4 0 100 26.373 2.637
40 51 2 3 4 0 100 26.281 2.631
40 51 3 4 4 0 100 25.547 2.613
40 51 4 5 4 0 100 26.684 2.582
40 51 5 6 4 0 100 26.110 2.579
40 51 6 7 4 0 100 26.682 2.563
40 51 7 8 4 0 100 26.386 2.562
40 51 8 9 4 0 100 27.080 2.516
