[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_nPFCand_QC_ptCut_F_quark}
20 22 0 1 4 0 100 32.907 2.703
20 22 1 2 4 0 100 33.429 4.029
20 22 2 3 4 0 100 22.587 4.369
20 22 3 4 4 0 100 12.108 4.269
20 22 4 5 4 0 100 12.409 4.507
20 22 5 6 4 0 100 12.164 4.523
20 22 6 7 4 0 100 9.121 4.805
20 22 7 8 4 0 100 10.633 4.964
20 22 8 9 4 0 100 12.975 5.169
20 22 9 10 4 0 100 11.004 5.226
20 22 10 11 4 0 100 11.261 5.563
20 22 11 12 4 0 100 11.301 5.846
20 22 12 13 4 0 100 12.570 5.878
20 22 13 14 4 0 100 11.719 6.058
20 22 14 15 4 0 100 12.117 6.216
20 22 15 16 4 0 100 12.712 6.474
20 22 16 17 4 0 100 12.993 6.720
20 22 17 18 4 0 100 11.519 6.940
20 22 18 19 4 0 100 14.141 7.220
20 22 19 20 4 0 100 15.216 7.376
20 22 20 21 4 0 100 15.653 7.503
20 22 21 22 4 0 100 15.084 8.095
20 22 22 23 4 0 100 20.013 7.933
20 22 23 24 4 0 100 16.441 8.533
20 22 24 25 4 0 100 26.641 7.810
20 22 25 26 4 0 100 24.329 9.156
20 22 26 27 4 0 100 45.179 9.132
20 22 27 28 4 0 100 37.001 9.500
20 22 28 29 4 0 100 23.465 8.607
20 22 29 30 4 0 100 32.792 8.547
20 22 30 31 4 0 100 50.000 12.142
20 22 31 32 4 0 100 50.000 9.682
20 22 32 33 4 0 100 50.000 10.696
20 22 33 34 4 0 100 50.000 11.089
20 22 34 35 4 0 100 50.000 7.348
20 22 35 36 4 0 100 50.000 11.516
20 22 36 37 4 0 100 1.623 100.000
20 22 37 38 4 0 100 1.560 100.000
20 22 38 39 4 0 100 1.687 100.000
20 22 39 40 4 0 100 1.556 100.000
20 22 40 41 4 0 100 1.690 100.000
20 22 43 100 4 0 100 50.000 10.048
22 25 0 1 4 0 100 1.627 100.000
22 25 1 2 4 0 100 15.611 4.281
22 25 2 3 4 0 100 11.933 4.351
22 25 3 4 4 0 100 11.637 4.578
22 25 4 5 4 0 100 11.859 4.838
22 25 5 6 4 0 100 10.248 4.979
22 25 6 7 4 0 100 9.839 5.096
22 25 7 8 4 0 100 10.326 5.371
22 25 8 9 4 0 100 10.799 5.359
22 25 9 10 4 0 100 9.822 5.625
22 25 10 11 4 0 100 10.567 5.802
22 25 11 12 4 0 100 11.354 5.992
22 25 12 13 4 0 100 11.048 6.153
22 25 13 14 4 0 100 11.719 6.376
22 25 14 15 4 0 100 11.598 6.625
22 25 15 16 4 0 100 12.050 6.859
22 25 16 17 4 0 100 13.160 7.015
22 25 17 18 4 0 100 12.471 7.150
22 25 18 19 4 0 100 13.057 7.448
22 25 19 20 4 0 100 14.015 7.715
22 25 20 21 4 0 100 14.925 7.958
22 25 21 22 4 0 100 14.679 8.112
22 25 22 23 4 0 100 12.566 8.228
22 25 23 24 4 0 100 16.500 8.359
22 25 24 25 4 0 100 15.131 8.535
22 25 25 26 4 0 100 22.437 9.262
22 25 26 27 4 0 100 23.171 9.344
22 25 27 28 4 0 100 33.315 10.085
22 25 28 29 4 0 100 30.048 9.810
22 25 29 30 4 0 100 23.492 9.728
22 25 30 31 4 0 100 36.338 9.543
22 25 31 32 4 0 100 47.851 10.523
22 25 32 33 4 0 100 50.000 12.238
22 25 33 34 4 0 100 50.000 12.367
22 25 34 35 4 0 100 50.000 11.075
22 25 35 36 4 0 100 50.000 11.329
22 25 36 37 4 0 100 50.000 13.050
22 25 37 38 4 0 100 50.000 14.419
22 25 38 39 4 0 100 1.560 100.000
22 25 39 40 4 0 100 1.690 100.000
22 25 40 41 4 0 100 1.517 100.000
22 25 41 42 4 0 100 1.563 100.000
22 25 42 43 4 0 100 1.687 100.000
22 25 43 44 4 0 100 1.493 100.000
22 25 44 100 4 0 100 1.687 100.000
25 27 0 1 4 0 100 50.000 3.994
25 27 1 2 4 0 100 23.537 3.784
25 27 2 3 4 0 100 17.506 4.681
25 27 3 4 4 0 100 11.942 4.754
25 27 4 5 4 0 100 11.686 4.850
25 27 5 6 4 0 100 10.919 5.163
25 27 6 7 4 0 100 8.721 5.283
25 27 7 8 4 0 100 10.643 5.532
25 27 8 9 4 0 100 10.962 5.749
25 27 9 10 4 0 100 11.981 5.925
25 27 10 11 4 0 100 11.231 6.095
25 27 11 12 4 0 100 11.172 6.248
25 27 12 13 4 0 100 11.127 6.399
25 27 13 14 4 0 100 10.578 6.575
25 27 14 15 4 0 100 12.199 6.742
25 27 15 16 4 0 100 12.041 6.990
25 27 16 17 4 0 100 12.286 7.266
25 27 17 18 4 0 100 11.805 7.219
25 27 18 19 4 0 100 11.919 7.731
25 27 19 20 4 0 100 13.043 7.914
25 27 20 21 4 0 100 15.753 8.036
25 27 21 22 4 0 100 16.120 8.439
25 27 22 23 4 0 100 17.247 8.213
25 27 23 24 4 0 100 17.156 9.040
25 27 24 25 4 0 100 19.174 9.061
25 27 25 26 4 0 100 25.416 9.552
25 27 26 27 4 0 100 24.930 9.418
25 27 27 28 4 0 100 20.461 9.625
25 27 28 29 4 0 100 29.302 9.881
25 27 29 30 4 0 100 27.988 10.139
25 27 30 31 4 0 100 34.237 10.315
25 27 31 32 4 0 100 50.000 9.707
25 27 32 33 4 0 100 33.932 9.903
25 27 33 34 4 0 100 50.000 10.276
25 27 34 35 4 0 100 50.000 11.584
25 27 35 36 4 0 100 1.557 100.000
25 27 36 37 4 0 100 1.554 100.000
25 27 37 38 4 0 100 50.000 9.043
25 27 38 39 4 0 100 50.000 11.677
25 27 39 40 4 0 100 1.562 100.000
25 27 40 41 4 0 100 50.000 12.547
25 27 41 42 4 0 100 50.000 12.711
25 27 42 43 4 0 100 1.687 100.000
25 27 43 100 4 0 100 1.630 100.000
27 29 0 1 4 0 100 50.000 3.333
27 29 1 2 4 0 100 44.353 4.942
27 29 2 3 4 0 100 18.139 4.552
27 29 3 4 4 0 100 11.139 5.087
27 29 4 5 4 0 100 10.349 5.244
27 29 5 6 4 0 100 11.127 5.383
27 29 6 7 4 0 100 9.588 5.459
27 29 7 8 4 0 100 9.627 5.676
27 29 8 9 4 0 100 10.294 5.906
27 29 9 10 4 0 100 10.275 5.987
27 29 10 11 4 0 100 10.201 6.272
27 29 11 12 4 0 100 10.774 6.457
27 29 12 13 4 0 100 10.612 6.636
27 29 13 14 4 0 100 11.315 6.807
27 29 14 15 4 0 100 11.853 7.017
27 29 15 16 4 0 100 11.936 7.185
27 29 16 17 4 0 100 11.266 7.460
27 29 17 18 4 0 100 12.119 7.590
27 29 18 19 4 0 100 12.809 7.907
27 29 19 20 4 0 100 12.448 8.054
27 29 20 21 4 0 100 14.078 8.443
27 29 21 22 4 0 100 12.811 8.383
27 29 22 23 4 0 100 15.183 8.807
27 29 23 24 4 0 100 18.397 8.988
27 29 24 25 4 0 100 15.155 9.026
27 29 25 26 4 0 100 18.905 9.215
27 29 26 27 4 0 100 20.244 9.462
27 29 27 28 4 0 100 35.498 9.640
27 29 28 29 4 0 100 20.415 9.443
27 29 29 30 4 0 100 22.938 10.422
27 29 30 31 4 0 100 29.260 10.269
27 29 31 32 4 0 100 50.000 11.492
27 29 32 33 4 0 100 50.000 9.635
27 29 33 34 4 0 100 33.653 10.426
27 29 34 35 4 0 100 50.000 11.498
27 29 35 36 4 0 100 50.000 11.325
27 29 36 37 4 0 100 50.000 11.327
27 29 37 38 4 0 100 50.000 10.277
27 29 38 39 4 0 100 1.458 100.000
27 29 39 40 4 0 100 1.497 100.000
27 29 40 41 4 0 100 1.630 100.000
27 29 41 42 4 0 100 1.514 100.000
27 29 43 44 4 0 100 1.566 100.000
27 29 44 100 4 0 100 1.687 100.000
29 32 0 1 4 0 100 50.000 3.723
29 32 1 2 4 0 100 15.815 4.501
29 32 2 3 4 0 100 14.249 4.995
29 32 3 4 4 0 100 9.837 5.076
29 32 4 5 4 0 100 10.197 5.407
29 32 5 6 4 0 100 9.474 5.563
29 32 6 7 4 0 100 9.463 5.904
29 32 7 8 4 0 100 10.824 5.996
29 32 8 9 4 0 100 10.863 6.133
29 32 9 10 4 0 100 10.747 6.269
29 32 10 11 4 0 100 11.016 6.462
29 32 11 12 4 0 100 10.254 6.694
29 32 12 13 4 0 100 10.936 6.804
29 32 13 14 4 0 100 11.256 7.124
29 32 14 15 4 0 100 11.918 7.221
29 32 15 16 4 0 100 12.195 7.522
29 32 16 17 4 0 100 11.592 7.613
29 32 17 18 4 0 100 11.743 7.825
29 32 18 19 4 0 100 12.255 8.073
29 32 19 20 4 0 100 13.118 8.233
29 32 20 21 4 0 100 12.233 8.491
29 32 21 22 4 0 100 12.357 8.720
29 32 22 23 4 0 100 15.249 9.067
29 32 23 24 4 0 100 13.187 9.101
29 32 24 25 4 0 100 17.033 9.557
29 32 25 26 4 0 100 17.754 9.344
29 32 26 27 4 0 100 15.055 9.664
29 32 27 28 4 0 100 17.925 10.030
29 32 28 29 4 0 100 19.058 10.077
29 32 29 30 4 0 100 24.523 10.697
29 32 30 31 4 0 100 23.713 10.134
29 32 31 32 4 0 100 26.399 10.625
29 32 32 33 4 0 100 26.232 10.835
29 32 33 34 4 0 100 43.979 11.674
29 32 34 35 4 0 100 50.000 10.143
29 32 35 36 4 0 100 50.000 10.048
29 32 36 37 4 0 100 50.000 11.572
29 32 37 38 4 0 100 50.000 12.364
29 32 38 39 4 0 100 1.287 100.000
29 32 39 40 4 0 100 1.514 100.000
29 32 40 41 4 0 100 50.000 12.792
29 32 41 42 4 0 100 50.000 9.043
29 32 42 43 4 0 100 1.687 100.000
29 32 43 44 4 0 100 50.000 14.167
29 32 44 100 4 0 100 1.635 100.000
32 35 0 1 4 0 100 50.000 5.042
32 35 1 2 4 0 100 10.717 4.538
32 35 2 3 4 0 100 13.387 5.324
32 35 3 4 4 0 100 12.124 5.276
32 35 4 5 4 0 100 10.201 5.570
32 35 5 6 4 0 100 9.869 5.746
32 35 6 7 4 0 100 9.988 5.921
32 35 7 8 4 0 100 10.451 6.214
32 35 8 9 4 0 100 11.075 6.261
32 35 9 10 4 0 100 10.184 6.467
32 35 10 11 4 0 100 10.964 6.539
32 35 11 12 4 0 100 9.707 6.888
32 35 12 13 4 0 100 10.768 7.109
32 35 13 14 4 0 100 10.937 7.354
32 35 14 15 4 0 100 11.302 7.486
32 35 15 16 4 0 100 12.468 7.682
32 35 16 17 4 0 100 12.063 7.903
32 35 17 18 4 0 100 11.858 8.156
32 35 18 19 4 0 100 13.133 8.228
32 35 19 20 4 0 100 11.827 8.485
32 35 20 21 4 0 100 12.458 8.666
32 35 21 22 4 0 100 13.388 9.072
32 35 22 23 4 0 100 13.229 9.096
32 35 23 24 4 0 100 14.048 9.171
32 35 24 25 4 0 100 13.449 9.588
32 35 25 26 4 0 100 16.980 9.943
32 35 26 27 4 0 100 16.880 10.256
32 35 27 28 4 0 100 24.915 10.131
32 35 28 29 4 0 100 22.132 10.487
32 35 29 30 4 0 100 20.864 10.910
32 35 30 31 4 0 100 25.113 10.634
32 35 31 32 4 0 100 30.675 11.003
32 35 32 33 4 0 100 31.852 11.179
32 35 33 34 4 0 100 50.000 11.955
32 35 34 35 4 0 100 28.460 10.685
32 35 35 36 4 0 100 40.090 11.312
32 35 36 37 4 0 100 50.000 10.846
32 35 37 38 4 0 100 50.000 12.785
32 35 38 39 4 0 100 50.000 13.393
32 35 39 40 4 0 100 50.000 13.959
32 35 40 41 4 0 100 50.000 13.837
32 35 41 42 4 0 100 1.381 100.000
32 35 42 43 4 0 100 1.581 100.000
32 35 43 44 4 0 100 1.569 100.000
32 35 44 100 4 0 100 1.688 100.000
35 39 0 1 4 0 100 50.000 6.933
35 39 1 2 4 0 100 16.254 5.017
35 39 2 3 4 0 100 9.488 5.186
35 39 3 4 4 0 100 9.045 5.504
35 39 4 5 4 0 100 9.931 5.950
35 39 5 6 4 0 100 10.443 5.749
35 39 6 7 4 0 100 9.654 6.164
35 39 7 8 4 0 100 10.554 6.370
35 39 8 9 4 0 100 10.847 6.577
35 39 9 10 4 0 100 9.543 6.622
35 39 10 11 4 0 100 10.905 6.956
35 39 11 12 4 0 100 10.730 7.113
35 39 12 13 4 0 100 10.844 7.238
35 39 13 14 4 0 100 11.259 7.566
35 39 14 15 4 0 100 11.414 7.713
35 39 15 16 4 0 100 11.126 7.876
35 39 16 17 4 0 100 11.453 8.079
35 39 17 18 4 0 100 12.239 8.340
35 39 18 19 4 0 100 12.693 8.666
35 39 19 20 4 0 100 13.100 8.682
35 39 20 21 4 0 100 14.200 8.954
35 39 21 22 4 0 100 14.435 9.008
35 39 22 23 4 0 100 12.453 9.358
35 39 23 24 4 0 100 14.984 9.614
35 39 24 25 4 0 100 14.216 9.520
35 39 25 26 4 0 100 15.442 9.806
35 39 26 27 4 0 100 19.008 10.116
35 39 27 28 4 0 100 17.600 10.386
35 39 28 29 4 0 100 18.754 10.225
35 39 29 30 4 0 100 19.595 10.795
35 39 30 31 4 0 100 19.944 10.741
35 39 31 32 4 0 100 22.366 11.123
35 39 32 33 4 0 100 29.897 11.712
35 39 33 34 4 0 100 30.866 11.758
35 39 34 35 4 0 100 30.526 12.030
35 39 35 36 4 0 100 25.275 10.840
35 39 36 37 4 0 100 50.000 13.584
35 39 37 38 4 0 100 50.000 11.098
35 39 38 39 4 0 100 50.000 11.982
35 39 39 40 4 0 100 50.000 13.199
35 39 40 41 4 0 100 1.234 100.000
35 39 41 42 4 0 100 50.000 14.424
35 39 42 43 4 0 100 50.000 12.991
35 39 43 44 4 0 100 1.687 100.000
35 39 44 100 4 0 100 1.696 100.000
39 42 0 1 4 0 100 50.000 4.408
39 42 1 2 4 0 100 50.000 5.148
39 42 2 3 4 0 100 13.126 5.391
39 42 3 4 4 0 100 12.251 5.695
39 42 4 5 4 0 100 10.274 5.853
39 42 5 6 4 0 100 10.174 6.146
39 42 6 7 4 0 100 9.624 6.171
39 42 7 8 4 0 100 10.497 6.463
39 42 8 9 4 0 100 10.467 6.695
39 42 9 10 4 0 100 10.022 6.898
39 42 10 11 4 0 100 10.518 7.142
39 42 11 12 4 0 100 10.297 7.225
39 42 12 13 4 0 100 11.055 7.369
39 42 13 14 4 0 100 12.654 7.652
39 42 14 15 4 0 100 10.928 7.974
39 42 15 16 4 0 100 11.224 8.011
39 42 16 17 4 0 100 11.410 8.169
39 42 17 18 4 0 100 11.893 8.379
39 42 18 19 4 0 100 12.302 8.719
39 42 19 20 4 0 100 14.794 8.973
39 42 20 21 4 0 100 12.710 9.066
39 42 21 22 4 0 100 14.250 9.351
39 42 22 23 4 0 100 14.119 9.560
39 42 23 24 4 0 100 13.172 9.679
39 42 24 25 4 0 100 15.529 9.824
39 42 25 26 4 0 100 15.342 9.941
39 42 26 27 4 0 100 20.803 9.816
39 42 27 28 4 0 100 21.183 10.426
39 42 28 29 4 0 100 23.308 10.540
39 42 29 30 4 0 100 16.588 10.806
39 42 30 31 4 0 100 20.418 10.370
39 42 31 32 4 0 100 25.747 11.205
39 42 32 33 4 0 100 26.267 11.059
39 42 33 34 4 0 100 44.600 11.080
39 42 34 35 4 0 100 45.033 10.994
39 42 35 36 4 0 100 32.905 11.311
39 42 36 37 4 0 100 50.000 11.534
39 42 37 38 4 0 100 50.000 12.952
39 42 38 39 4 0 100 50.000 12.983
39 42 39 40 4 0 100 1.479 100.000
39 42 40 41 4 0 100 1.385 100.000
39 42 41 42 4 0 100 1.444 100.000
39 42 42 43 4 0 100 1.560 100.000
39 42 43 100 4 0 100 50.000 11.977
42 46 1 2 4 0 100 50.000 5.831
42 46 2 3 4 0 100 11.553 5.830
42 46 3 4 4 0 100 11.736 5.735
42 46 4 5 4 0 100 9.701 5.867
42 46 5 6 4 0 100 9.968 6.285
42 46 6 7 4 0 100 9.956 6.496
42 46 7 8 4 0 100 11.341 6.711
42 46 8 9 4 0 100 10.079 6.806
42 46 9 10 4 0 100 10.531 7.067
42 46 10 11 4 0 100 11.114 7.302
42 46 11 12 4 0 100 10.311 7.569
42 46 12 13 4 0 100 10.852 7.616
42 46 13 14 4 0 100 11.128 7.807
42 46 14 15 4 0 100 11.786 8.013
42 46 15 16 4 0 100 11.888 8.165
42 46 16 17 4 0 100 11.741 8.518
42 46 17 18 4 0 100 12.732 8.650
42 46 18 19 4 0 100 13.455 8.870
42 46 19 20 4 0 100 12.621 8.951
42 46 20 21 4 0 100 13.222 9.254
42 46 21 22 4 0 100 14.581 9.398
42 46 22 23 4 0 100 12.938 9.547
42 46 23 24 4 0 100 15.108 10.054
42 46 24 25 4 0 100 16.395 10.096
42 46 25 26 4 0 100 15.543 10.380
42 46 26 27 4 0 100 17.120 10.516
42 46 27 28 4 0 100 24.041 10.658
42 46 28 29 4 0 100 16.526 10.858
42 46 29 30 4 0 100 26.512 11.700
42 46 30 31 4 0 100 26.725 10.895
42 46 31 32 4 0 100 29.873 11.086
42 46 32 33 4 0 100 18.594 11.077
42 46 33 34 4 0 100 25.175 11.764
42 46 34 35 4 0 100 50.000 12.400
42 46 35 36 4 0 100 36.522 12.012
42 46 36 37 4 0 100 50.000 12.791
42 46 37 38 4 0 100 1.205 100.000
42 46 38 39 4 0 100 50.000 13.202
42 46 39 40 4 0 100 1.409 100.000
42 46 40 41 4 0 100 50.000 13.671
42 46 41 42 4 0 100 50.000 12.367
42 46 42 43 4 0 100 50.000 13.965
42 46 43 44 4 0 100 50.000 12.792
42 46 44 100 4 0 100 1.577 100.000
46 51 0 1 4 0 100 1.652 100.000
46 51 1 2 4 0 100 21.090 5.118
46 51 2 3 4 0 100 11.170 5.884
46 51 3 4 4 0 100 10.409 6.135
46 51 4 5 4 0 100 9.303 6.350
46 51 5 6 4 0 100 8.840 6.387
46 51 6 7 4 0 100 10.372 6.591
46 51 7 8 4 0 100 10.474 6.882
46 51 8 9 4 0 100 10.743 7.113
46 51 9 10 4 0 100 10.550 7.226
46 51 10 11 4 0 100 10.967 7.421
46 51 11 12 4 0 100 11.384 7.612
46 51 12 13 4 0 100 11.091 7.790
46 51 13 14 4 0 100 11.465 8.036
46 51 14 15 4 0 100 10.879 8.224
46 51 15 16 4 0 100 11.039 8.460
46 51 16 17 4 0 100 11.672 8.562
46 51 17 18 4 0 100 12.623 8.736
46 51 18 19 4 0 100 12.072 9.086
46 51 19 20 4 0 100 12.650 9.232
46 51 20 21 4 0 100 13.351 9.450
46 51 21 22 4 0 100 15.090 9.763
46 51 22 23 4 0 100 13.496 9.810
46 51 23 24 4 0 100 16.353 10.048
46 51 24 25 4 0 100 17.566 10.459
46 51 25 26 4 0 100 15.070 10.204
46 51 26 27 4 0 100 18.383 10.526
46 51 27 28 4 0 100 21.265 11.068
46 51 28 29 4 0 100 18.514 11.213
