[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_axis2_QC_F_quark}
29 32 3 4 4 0 100 51.761 2.941
29 32 4 5 4 0 100 37.659 2.929
29 32 5 6 4 0 100 31.608 2.981
29 32 6 7 4 0 100 34.606 2.883
29 32 7 8 4 0 100 35.392 2.877
29 32 8 9 4 0 100 33.745 2.853
29 32 9 10 4 0 100 35.665 2.819
29 32 10 11 4 0 100 35.927 2.817
29 32 11 12 4 0 100 34.758 2.790
29 32 12 13 4 0 100 35.971 2.774
29 32 13 14 4 0 100 34.944 2.719
29 32 14 15 4 0 100 37.197 2.726
29 32 15 16 4 0 100 40.882 2.687
29 32 16 17 4 0 100 39.524 2.694
29 32 17 18 4 0 100 38.650 2.665
29 32 18 19 4 0 100 39.910 2.654
29 32 19 20 4 0 100 43.479 2.618
29 32 20 21 4 0 100 39.165 2.603
29 32 21 22 4 0 100 40.513 2.564
29 32 22 23 4 0 100 46.294 2.574
29 32 23 24 4 0 100 47.183 2.554
29 32 24 25 4 0 100 54.447 2.527
29 32 25 26 4 0 100 55.393 2.500
29 32 26 27 4 0 100 81.523 2.589
29 32 27 28 4 0 100 87.938 2.398
29 32 28 29 4 0 100 68.800 2.464
29 32 29 30 4 0 100 99.465 2.399
29 32 30 31 4 0 100 82.894 2.330
29 32 31 32 4 0 100 100.000 2.442
29 32 32 33 4 0 100 100.000 2.204
29 32 33 34 4 0 100 100.000 2.543
29 32 34 35 4 0 100 100.000 2.308
29 32 35 36 4 0 100 83.323 78.309
29 32 36 37 4 0 100 23.633 49.042
29 32 37 38 4 0 100 86.762 50.690
29 32 38 39 4 0 100 44.652 98.807
29 32 40 41 4 0 100 10.208 100.000
29 32 41 42 4 0 100 21.147 70.334
29 32 42 43 4 0 100 85.498 85.567
29 32 43 100 4 0 100 99.833 91.789
32 35 0 1 4 0 100 89.343 78.420
32 35 1 2 4 0 100 10.079 55.383
32 35 2 3 4 0 100 48.560 3.061
32 35 3 4 4 0 100 42.885 3.054
32 35 4 5 4 0 100 34.559 3.069
32 35 5 6 4 0 100 35.043 3.039
32 35 6 7 4 0 100 33.257 2.978
32 35 7 8 4 0 100 32.703 2.921
32 35 8 9 4 0 100 33.949 2.918
32 35 9 10 4 0 100 32.212 2.911
32 35 10 11 4 0 100 35.244 2.888
32 35 11 12 4 0 100 34.299 2.822
32 35 12 13 4 0 100 33.085 2.810
32 35 13 14 4 0 100 37.010 2.770
32 35 14 15 4 0 100 35.587 2.784
32 35 15 16 4 0 100 36.319 2.765
32 35 16 17 4 0 100 36.751 2.720
32 35 17 18 4 0 100 40.438 2.693
32 35 18 19 4 0 100 41.686 2.708
32 35 19 20 4 0 100 36.790 2.684
32 35 20 21 4 0 100 37.334 2.697
32 35 21 22 4 0 100 45.953 2.600
32 35 22 23 4 0 100 40.624 2.613
32 35 23 24 4 0 100 37.526 2.615
32 35 24 25 4 0 100 43.020 2.589
32 35 25 26 4 0 100 44.753 2.597
32 35 26 27 4 0 100 54.698 2.522
32 35 27 28 4 0 100 59.432 2.515
32 35 28 29 4 0 100 53.523 2.532
32 35 29 30 4 0 100 74.638 2.482
32 35 30 31 4 0 100 100.000 2.553
32 35 31 32 4 0 100 100.000 2.272
32 35 32 33 4 0 100 100.000 2.480
32 35 33 34 4 0 100 55.763 38.948
32 35 34 35 4 0 100 100.000 2.447
32 35 35 36 4 0 100 29.345 38.343
32 35 36 37 4 0 100 90.637 34.848
32 35 37 38 4 0 100 32.348 99.991
32 35 38 39 4 0 100 18.713 59.477
32 35 39 40 4 0 100 28.099 44.381
32 35 40 41 4 0 100 57.166 79.180
32 35 41 42 4 0 100 32.939 96.787
32 35 43 44 4 0 100 79.524 86.998
32 35 44 100 4 0 100 49.405 72.048
35 39 0 1 4 0 100 14.936 75.080
35 39 1 2 4 0 100 33.437 3.026
35 39 2 3 4 0 100 45.248 3.099
35 39 3 4 4 0 100 35.955 3.186
35 39 4 5 4 0 100 38.359 3.035
35 39 5 6 4 0 100 34.462 3.084
35 39 6 7 4 0 100 32.642 3.028
35 39 7 8 4 0 100 32.932 2.993
35 39 8 9 4 0 100 34.036 2.987
35 39 9 10 4 0 100 31.587 2.961
35 39 10 11 4 0 100 34.924 2.919
35 39 11 12 4 0 100 34.512 2.883
35 39 12 13 4 0 100 34.501 2.900
35 39 13 14 4 0 100 35.440 2.844
35 39 14 15 4 0 100 34.448 2.836
35 39 15 16 4 0 100 35.075 2.818
35 39 16 17 4 0 100 35.021 2.813
35 39 17 18 4 0 100 37.162 2.769
35 39 18 19 4 0 100 38.882 2.765
35 39 19 20 4 0 100 34.280 2.764
35 39 20 21 4 0 100 37.370 2.739
35 39 21 22 4 0 100 42.485 2.728
35 39 22 23 4 0 100 39.769 2.730
35 39 23 24 4 0 100 43.572 2.674
35 39 24 25 4 0 100 43.390 2.709
35 39 25 26 4 0 100 40.062 2.705
35 39 26 27 4 0 100 50.362 2.677
35 39 27 28 4 0 100 45.052 2.630
35 39 28 29 4 0 100 57.533 2.664
35 39 29 30 4 0 100 59.244 2.665
35 39 30 31 4 0 100 84.890 2.499
35 39 31 32 4 0 100 71.399 2.449
35 39 32 33 4 0 100 91.626 2.329
35 39 33 34 4 0 100 86.969 2.584
35 39 34 35 4 0 100 100.000 2.499
35 39 35 36 4 0 100 100.000 2.423
35 39 36 37 4 0 100 10.797 71.809
35 39 37 38 4 0 100 23.393 2.698
35 39 38 39 4 0 100 12.474 76.408
35 39 39 40 4 0 100 17.594 61.646
35 39 40 41 4 0 100 12.260 91.452
35 39 41 42 4 0 100 15.247 87.937
35 39 42 100 4 0 100 29.975 99.993
39 42 0 1 4 0 100 12.532 92.661
39 42 1 2 4 0 100 19.551 3.210
39 42 2 3 4 0 100 53.881 3.117
39 42 3 4 4 0 100 44.534 3.152
39 42 4 5 4 0 100 42.678 3.197
39 42 5 6 4 0 100 39.003 3.087
39 42 6 7 4 0 100 35.773 3.113
39 42 7 8 4 0 100 34.847 3.033
39 42 8 9 4 0 100 35.943 3.052
39 42 9 10 4 0 100 32.335 3.028
39 42 10 11 4 0 100 35.496 2.961
39 42 11 12 4 0 100 32.781 2.974
39 42 12 13 4 0 100 33.693 2.970
39 42 13 14 4 0 100 37.270 2.905
39 42 14 15 4 0 100 33.906 2.896
39 42 15 16 4 0 100 35.590 2.884
39 42 16 17 4 0 100 37.467 2.882
39 42 17 18 4 0 100 34.322 2.859
39 42 18 19 4 0 100 36.827 2.840
39 42 19 20 4 0 100 39.982 2.828
39 42 20 21 4 0 100 40.216 2.796
39 42 21 22 4 0 100 44.203 2.787
39 42 22 23 4 0 100 43.962 2.708
39 42 23 24 4 0 100 48.020 2.831
39 42 24 25 4 0 100 47.322 2.730
39 42 25 26 4 0 100 52.478 2.701
39 42 26 27 4 0 100 54.351 2.689
39 42 27 28 4 0 100 85.694 2.556
39 42 28 29 4 0 100 65.141 2.657
39 42 29 30 4 0 100 52.671 2.787
39 42 30 31 4 0 100 89.622 2.655
39 42 31 32 4 0 100 72.728 2.648
39 42 32 33 4 0 100 100.000 2.589
39 42 33 34 4 0 100 23.687 2.678
39 42 34 35 4 0 100 100.000 2.671
39 42 35 36 4 0 100 100.000 2.490
39 42 36 37 4 0 100 64.849 35.053
39 42 37 38 4 0 100 100.000 2.674
39 42 38 39 4 0 100 100.000 2.598
39 42 39 40 4 0 100 15.302 73.823
39 42 40 41 4 0 100 99.549 44.482
39 42 41 42 4 0 100 21.251 52.531
39 42 42 43 4 0 100 99.982 79.001
39 42 43 100 4 0 100 11.464 89.184
42 46 1 2 4 0 100 100.000 3.447
42 46 2 3 4 0 100 87.544 3.064
42 46 3 4 4 0 100 45.335 3.378
42 46 4 5 4 0 100 39.985 3.258
42 46 5 6 4 0 100 31.111 3.159
42 46 6 7 4 0 100 33.923 3.172
42 46 7 8 4 0 100 32.151 3.112
42 46 8 9 4 0 100 34.612 3.092
42 46 9 10 4 0 100 32.971 3.070
42 46 10 11 4 0 100 34.382 3.038
42 46 11 12 4 0 100 32.420 3.013
42 46 12 13 4 0 100 34.840 2.988
42 46 13 14 4 0 100 34.233 2.965
42 46 14 15 4 0 100 34.664 2.964
42 46 15 16 4 0 100 36.626 2.920
42 46 16 17 4 0 100 33.196 2.898
42 46 17 18 4 0 100 35.550 2.916
42 46 18 19 4 0 100 37.140 2.884
42 46 19 20 4 0 100 37.226 2.891
42 46 20 21 4 0 100 36.976 2.848
42 46 21 22 4 0 100 41.341 2.836
42 46 22 23 4 0 100 37.220 2.823
42 46 23 24 4 0 100 41.993 2.814
42 46 24 25 4 0 100 49.409 2.786
42 46 25 26 4 0 100 46.658 2.724
42 46 26 27 4 0 100 46.990 2.747
42 46 27 28 4 0 100 52.885 2.724
42 46 28 29 4 0 100 55.562 2.762
42 46 29 30 4 0 100 59.927 2.651
42 46 30 31 4 0 100 89.289 2.597
42 46 31 32 4 0 100 87.313 2.631
42 46 32 33 4 0 100 76.313 2.715
42 46 33 34 4 0 100 100.000 2.576
42 46 34 35 4 0 100 100.000 2.642
42 46 35 36 4 0 100 100.000 2.278
42 46 36 37 4 0 100 52.457 24.471
42 46 37 38 4 0 100 100.000 2.565
42 46 38 39 4 0 100 100.000 2.394
42 46 39 40 4 0 100 12.204 87.157
42 46 40 41 4 0 100 49.472 46.230
42 46 41 42 4 0 100 8.781 96.302
42 46 42 43 4 0 100 10.036 89.548
42 46 43 44 4 0 100 66.345 34.245
42 46 44 100 4 0 100 78.762 28.345
46 51 0 1 4 0 100 50.144 48.906
46 51 1 2 4 0 100 4.949 99.999
46 51 2 3 4 0 100 88.893 3.293
46 51 3 4 4 0 100 44.852 3.253
46 51 4 5 4 0 100 37.389 3.266
46 51 5 6 4 0 100 29.034 3.275
46 51 6 7 4 0 100 33.878 3.249
46 51 7 8 4 0 100 32.856 3.194
46 51 8 9 4 0 100 33.090 3.119
46 51 9 10 4 0 100 33.696 3.113
46 51 10 11 4 0 100 32.893 3.115
46 51 11 12 4 0 100 34.089 3.097
46 51 12 13 4 0 100 34.163 3.069
46 51 13 14 4 0 100 34.103 3.040
46 51 14 15 4 0 100 33.114 3.031
46 51 15 16 4 0 100 32.733 2.997
46 51 16 17 4 0 100 35.346 2.994
46 51 17 18 4 0 100 37.076 2.978
46 51 18 19 4 0 100 34.952 2.944
46 51 19 20 4 0 100 35.318 2.965
46 51 20 21 4 0 100 36.480 2.930
46 51 21 22 4 0 100 35.868 2.896
46 51 22 23 4 0 100 42.563 2.878
46 51 23 24 4 0 100 39.551 2.896
46 51 24 25 4 0 100 49.723 2.865
46 51 25 26 4 0 100 37.615 2.879
46 51 26 27 4 0 100 50.760 2.819
46 51 27 28 4 0 100 49.388 2.821
46 51 28 29 4 0 100 49.460 2.742
46 51 29 30 4 0 100 47.403 2.801
46 51 30 31 4 0 100 54.604 2.754
46 51 31 32 4 0 100 60.840 2.759
46 51 32 33 4 0 100 98.590 2.680
46 51 33 34 4 0 100 91.345 2.641
46 51 34 35 4 0 100 100.000 2.839
46 51 35 36 4 0 100 100.000 2.657
46 51 36 37 4 0 100 100.000 2.869
46 51 37 38 4 0 100 100.000 2.561
46 51 38 39 4 0 100 16.905 64.589
46 51 39 40 4 0 100 11.297 91.171
46 51 40 41 4 0 100 9.444 95.679
46 51 41 42 4 0 100 8.350 99.496
46 51 42 43 4 0 100 77.345 20.744
46 51 43 44 4 0 100 9.946 99.999
46 51 44 100 4 0 100 61.284 70.402
51 56 0 1 4 0 100 15.877 67.252
51 56 1 2 4 0 100 100.000 3.063
51 56 2 3 4 0 100 47.150 3.384
51 56 3 4 4 0 100 42.283 3.422
51 56 4 5 4 0 100 38.447 3.338
51 56 5 6 4 0 100 38.537 3.264
51 56 6 7 4 0 100 31.229 3.302
51 56 7 8 4 0 100 33.666 3.249
51 56 8 9 4 0 100 33.873 3.221
51 56 9 10 4 0 100 32.875 3.200
51 56 10 11 4 0 100 30.887 3.204
51 56 11 12 4 0 100 33.717 3.154
51 56 12 13 4 0 100 31.852 3.146
51 56 13 14 4 0 100 34.350 3.104
51 56 14 15 4 0 100 34.129 3.086
51 56 15 16 4 0 100 34.352 3.065
51 56 16 17 4 0 100 38.290 3.059
51 56 17 18 4 0 100 34.072 3.016
51 56 18 19 4 0 100 36.471 3.036
51 56 19 20 4 0 100 37.087 3.001
51 56 20 21 4 0 100 35.225 2.984
51 56 21 22 4 0 100 36.678 2.995
51 56 22 23 4 0 100 35.049 2.930
51 56 23 24 4 0 100 41.203 2.893
51 56 24 25 4 0 100 40.751 2.933
51 56 25 26 4 0 100 43.245 2.907
51 56 26 27 4 0 100 45.468 2.898
51 56 27 28 4 0 100 48.634 2.882
51 56 28 29 4 0 100 48.811 2.839
51 56 29 30 4 0 100 58.761 2.864
51 56 30 31 4 0 100 64.701 2.774
51 56 31 32 4 0 100 81.585 2.886
51 56 32 33 4 0 100 77.427 2.875
51 56 33 34 4 0 100 100.000 3.019
51 56 34 35 4 0 100 100.000 2.665
51 56 35 36 4 0 100 100.000 2.719
51 56 36 37 4 0 100 100.000 2.861
51 56 37 38 4 0 100 8.812 75.509
51 56 38 39 4 0 100 100.000 2.852
51 56 39 40 4 0 100 98.423 17.612
51 56 40 41 4 0 100 39.243 41.156
51 56 42 43 4 0 100 53.279 78.636
51 56 43 44 4 0 100 61.612 37.255
51 56 44 100 4 0 100 86.509 56.509
56 61 0 1 4 0 100 8.150 94.805
56 61 1 2 4 0 100 22.852 34.069
56 61 2 3 4 0 100 100.000 2.952
56 61 3 4 4 0 100 43.378 3.478
56 61 4 5 4 0 100 34.119 3.405
56 61 5 6 4 0 100 33.893 3.361
56 61 6 7 4 0 100 30.965 3.355
56 61 7 8 4 0 100 35.208 3.316
56 61 8 9 4 0 100 31.354 3.294
56 61 9 10 4 0 100 31.499 3.247
56 61 10 11 4 0 100 33.805 3.241
56 61 11 12 4 0 100 34.688 3.217
56 61 12 13 4 0 100 34.004 3.191
56 61 13 14 4 0 100 33.816 3.186
56 61 14 15 4 0 100 33.768 3.160
56 61 15 16 4 0 100 33.889 3.148
56 61 16 17 4 0 100 35.132 3.082
56 61 17 18 4 0 100 36.088 3.129
56 61 18 19 4 0 100 35.656 3.100
56 61 19 20 4 0 100 37.557 3.046
56 61 20 21 4 0 100 37.097 3.064
56 61 21 22 4 0 100 38.093 3.035
56 61 22 23 4 0 100 41.086 3.008
56 61 23 24 4 0 100 45.618 2.985
56 61 24 25 4 0 100 40.672 2.938
56 61 25 26 4 0 100 43.074 2.968
56 61 26 27 4 0 100 45.495 2.971
56 61 27 28 4 0 100 90.404 2.945
56 61 28 29 4 0 100 53.957 2.955
56 61 29 30 4 0 100 56.736 2.863
56 61 30 31 4 0 100 62.920 2.865
56 61 31 32 4 0 100 52.287 2.933
56 61 32 33 4 0 100 100.000 2.727
56 61 33 34 4 0 100 93.649 2.901
56 61 34 35 4 0 100 100.000 2.892
56 61 35 36 4 0 100 23.948 2.857
56 61 36 37 4 0 100 100.000 2.900
56 61 37 38 4 0 100 6.467 96.918
56 61 38 39 4 0 100 34.976 69.137
56 61 39 40 4 0 100 10.949 66.311
56 61 41 42 4 0 100 12.786 89.341
56 61 43 44 4 0 100 56.809 95.857
56 61 44 100 4 0 100 26.444 55.749
61 67 0 1 4 0 100 37.275 75.163
61 67 1 2 4 0 100 100.000 3.462
61 67 2 3 4 0 100 69.705 3.504
61 67 3 4 4 0 100 45.757 3.414
61 67 4 5 4 0 100 37.525 3.382
61 67 5 6 4 0 100 32.552 3.449
61 67 6 7 4 0 100 31.020 3.370
61 67 7 8 4 0 100 32.518 3.363
61 67 8 9 4 0 100 31.135 3.334
61 67 9 10 4 0 100 33.159 3.332
61 67 10 11 4 0 100 33.335 3.316
61 67 11 12 4 0 100 31.307 3.267
61 67 12 13 4 0 100 31.629 3.266
61 67 13 14 4 0 100 32.857 3.230
61 67 14 15 4 0 100 34.806 3.204
61 67 15 16 4 0 100 33.891 3.203
61 67 16 17 4 0 100 34.676 3.165
61 67 17 18 4 0 100 33.489 3.144
61 67 18 19 4 0 100 37.270 3.165
61 67 19 20 4 0 100 41.105 3.114
61 67 20 21 4 0 100 38.442 3.092
61 67 21 22 4 0 100 38.988 3.048
61 67 22 23 4 0 100 41.604 3.081
61 67 23 24 4 0 100 44.505 3.053
61 67 24 25 4 0 100 44.814 3.059
61 67 25 26 4 0 100 45.700 3.046
61 67 26 27 4 0 100 40.218 2.938
61 67 27 28 4 0 100 78.946 2.836
61 67 28 29 4 0 100 46.142 2.981
61 67 29 30 4 0 100 54.807 3.007
61 67 30 31 4 0 100 100.000 2.971
61 67 31 32 4 0 100 83.563 3.104
61 67 32 33 4 0 100 93.207 2.952
61 67 33 34 4 0 100 100.000 2.859
61 67 34 35 4 0 100 100.000 3.109
61 67 35 36 4 0 100 100.000 3.125
61 67 36 37 4 0 100 100.000 2.789
61 67 37 38 4 0 100 69.670 48.701
61 67 38 39 4 0 100 100.000 2.950
61 67 39 40 4 0 100 13.092 64.320
61 67 40 41 4 0 100 17.692 54.817
61 67 41 42 4 0 100 46.587 49.696
61 67 42 43 4 0 100 42.449 50.256
61 67 43 100 4 0 100 13.141 86.777
67 73 1 2 4 0 100 99.248 59.296
67 73 2 3 4 0 100 100.000 3.330
67 73 3 4 4 0 100 40.194 3.369
67 73 4 5 4 0 100 41.408 3.566
67 73 5 6 4 0 100 36.987 3.525
67 73 6 7 4 0 100 34.025 3.472
67 73 7 8 4 0 100 31.469 3.428
67 73 8 9 4 0 100 30.937 3.365
67 73 9 10 4 0 100 31.200 3.415
67 73 10 11 4 0 100 32.684 3.298
67 73 11 12 4 0 100 32.778 3.336
67 73 12 13 4 0 100 32.571 3.286
67 73 13 14 4 0 100 34.341 3.292
67 73 14 15 4 0 100 34.215 3.281
67 73 15 16 4 0 100 34.357 3.292
67 73 16 17 4 0 100 35.392 3.221
67 73 17 18 4 0 100 34.007 3.240
67 73 18 19 4 0 100 35.447 3.218
67 73 19 20 4 0 100 40.239 3.222
67 73 20 21 4 0 100 38.149 3.157
67 73 21 22 4 0 100 39.003 3.084
67 73 22 23 4 0 100 41.428 3.147
67 73 23 24 4 0 100 37.035 3.118
67 73 24 25 4 0 100 40.730 3.126
67 73 25 26 4 0 100 43.378 3.076
67 73 26 27 4 0 100 53.327 3.149
67 73 27 28 4 0 100 51.932 3.059
67 73 28 29 4 0 100 57.250 2.950
67 73 29 30 4 0 100 63.226 3.116
67 73 30 31 4 0 100 65.778 2.957
67 73 31 32 4 0 100 100.000 3.050
67 73 32 33 4 0 100 100.000 2.873
67 73 33 34 4 0 100 96.443 2.991
67 73 34 35 4 0 100 10.666 57.871
67 73 35 36 4 0 100 29.866 44.024
67 73 36 37 4 0 100 100.000 3.074
67 73 37 38 4 0 100 7.169 99.996
67 73 38 39 4 0 100 6.795 90.595
67 73 39 40 4 0 100 100.000 3.237
67 73 40 41 4 0 100 67.055 61.618
67 73 41 42 4 0 100 59.771 53.406
67 73 42 43 4 0 100 12.572 73.581
67 73 43 100 4 0 100 10.238 94.169
73 81 0 1 4 0 100 9.781 87.620
73 81 1 2 4 0 100 100.000 3.322
73 81 2 3 4 0 100 100.000 3.204
73 81 3 4 4 0 100 43.259 3.529
73 81 4 5 4 0 100 35.129 3.459
73 81 5 6 4 0 100 35.216 3.495
73 81 6 7 4 0 100 31.493 3.477
73 81 7 8 4 0 100 31.253 3.505
73 81 8 9 4 0 100 32.491 3.452
73 81 9 10 4 0 100 30.302 3.440
73 81 10 11 4 0 100 32.923 3.393
73 81 11 12 4 0 100 32.752 3.404
73 81 12 13 4 0 100 33.366 3.404
73 81 13 14 4 0 100 33.071 3.354
73 81 14 15 4 0 100 35.801 3.304
73 81 15 16 4 0 100 34.380 3.301
73 81 16 17 4 0 100 32.375 3.292
73 81 17 18 4 0 100 34.112 3.287
73 81 18 19 4 0 100 36.328 3.277
73 81 19 20 4 0 100 43.888 3.272
73 81 20 21 4 0 100 39.135 3.256
73 81 21 22 4 0 100 38.325 3.243
73 81 22 23 4 0 100 40.900 3.189
73 81 23 24 4 0 100 41.540 3.183
73 81 24 25 4 0 100 39.128 3.129
73 81 25 26 4 0 100 40.374 3.168
