[quark]
{2 JetPt Rho 1 x TMath::Exp(-1.*x*[0]/[1])*TMath::Power(x,[0]-1)*TMath::Power([1]/[0],-1.*[0])/TMath::Gamma([0]) Correction QGL_axis2_QC_F_quark}
20 22 0 1 4 0 100 26.615 49.126
20 22 1 2 4 0 100 5.089 100.000
20 22 2 3 4 0 100 100.000 2.746
20 22 3 4 4 0 100 63.995 2.688
20 22 4 5 4 0 100 44.300 2.716
20 22 5 6 4 0 100 43.916 2.713
20 22 6 7 4 0 100 33.374 2.693
20 22 7 8 4 0 100 40.902 2.677
20 22 8 9 4 0 100 36.733 2.635
20 22 9 10 4 0 100 33.836 2.642
20 22 10 11 4 0 100 43.205 2.564
20 22 11 12 4 0 100 42.240 2.502
20 22 12 13 4 0 100 37.640 2.512
20 22 13 14 4 0 100 43.186 2.528
20 22 14 15 4 0 100 44.264 2.441
20 22 15 16 4 0 100 44.341 2.416
20 22 16 17 4 0 100 67.754 2.318
20 22 17 18 4 0 100 76.233 2.370
20 22 18 19 4 0 100 69.152 2.416
20 22 19 20 4 0 100 96.378 2.159
20 22 20 21 4 0 100 100.000 2.185
20 22 21 22 4 0 100 100.000 2.004
20 22 22 23 4 0 100 100.000 2.139
20 22 23 24 4 0 100 100.000 2.309
20 22 24 25 4 0 100 100.000 2.324
20 22 25 26 4 0 100 14.627 74.847
20 22 26 27 4 0 100 75.756 34.513
20 22 27 28 4 0 100 28.630 48.220
20 22 28 29 4 0 100 53.695 38.600
20 22 29 30 4 0 100 17.038 76.053
20 22 30 31 4 0 100 99.918 78.313
20 22 31 32 4 0 100 69.087 22.218
20 22 32 33 4 0 100 32.428 50.458
20 22 33 34 4 0 100 93.297 38.531
20 22 34 35 4 0 100 89.875 77.499
20 22 35 36 4 0 100 24.595 44.055
20 22 36 37 4 0 100 99.127 48.594
20 22 37 38 4 0 100 39.922 47.221
20 22 39 40 4 0 100 86.835 45.666
20 22 40 100 4 0 100 94.670 98.372
22 25 0 1 4 0 100 27.353 39.541
22 25 1 2 4 0 100 100.000 3.171
22 25 2 3 4 0 100 55.668 2.705
22 25 3 4 4 0 100 48.939 2.894
22 25 4 5 4 0 100 35.670 2.804
22 25 5 6 4 0 100 32.645 2.798
22 25 6 7 4 0 100 34.494 2.767
22 25 7 8 4 0 100 34.621 2.745
22 25 8 9 4 0 100 33.985 2.748
22 25 9 10 4 0 100 34.172 2.680
22 25 10 11 4 0 100 35.814 2.686
22 25 11 12 4 0 100 34.731 2.632
22 25 12 13 4 0 100 35.323 2.601
22 25 13 14 4 0 100 36.859 2.616
22 25 14 15 4 0 100 37.466 2.555
22 25 15 16 4 0 100 42.182 2.536
22 25 16 17 4 0 100 41.353 2.502
22 25 17 18 4 0 100 39.291 2.498
22 25 18 19 4 0 100 48.698 2.498
22 25 19 20 4 0 100 42.151 2.443
22 25 20 21 4 0 100 69.342 2.380
22 25 21 22 4 0 100 75.506 2.460
22 25 22 23 4 0 100 75.473 2.248
22 25 23 24 4 0 100 67.277 2.284
22 25 24 25 4 0 100 78.289 2.361
22 25 25 26 4 0 100 100.000 2.302
22 25 26 27 4 0 100 100.000 2.224
22 25 27 28 4 0 100 100.000 2.322
22 25 28 29 4 0 100 100.000 2.218
22 25 29 30 4 0 100 21.489 49.496
22 25 30 31 4 0 100 100.000 1.991
22 25 31 32 4 0 100 56.197 35.297
22 25 32 33 4 0 100 9.565 97.631
22 25 33 34 4 0 100 41.831 67.838
22 25 34 35 4 0 100 33.281 57.896
22 25 35 36 4 0 100 76.281 40.846
22 25 36 37 4 0 100 24.664 89.302
22 25 37 38 4 0 100 17.884 79.991
22 25 40 41 4 0 100 52.048 46.370
22 25 41 100 4 0 100 28.585 69.920
25 27 0 1 4 0 100 16.151 83.027
25 27 1 2 4 0 100 95.803 38.647
25 27 2 3 4 0 100 96.065 2.828
25 27 3 4 4 0 100 72.202 2.873
25 27 4 5 4 0 100 68.566 2.884
25 27 5 6 4 0 100 37.407 2.836
25 27 6 7 4 0 100 32.448 2.858
25 27 7 8 4 0 100 34.792 2.786
25 27 8 9 4 0 100 36.202 2.770
25 27 9 10 4 0 100 39.027 2.725
25 27 10 11 4 0 100 37.060 2.702
25 27 11 12 4 0 100 38.200 2.711
25 27 12 13 4 0 100 39.601 2.645
25 27 13 14 4 0 100 37.054 2.631
25 27 14 15 4 0 100 40.494 2.622
25 27 15 16 4 0 100 37.825 2.591
25 27 16 17 4 0 100 45.778 2.534
25 27 17 18 4 0 100 37.999 2.589
25 27 18 19 4 0 100 50.202 2.506
25 27 19 20 4 0 100 56.671 2.476
25 27 20 21 4 0 100 45.238 2.477
25 27 21 22 4 0 100 59.088 2.448
25 27 22 23 4 0 100 59.092 2.504
25 27 23 24 4 0 100 55.009 2.425
25 27 24 25 4 0 100 100.000 2.324
25 27 25 26 4 0 100 100.000 2.338
25 27 26 27 4 0 100 100.000 2.317
25 27 27 28 4 0 100 100.000 2.335
25 27 28 29 4 0 100 100.000 2.055
25 27 29 30 4 0 100 100.000 2.356
25 27 30 31 4 0 100 100.000 2.466
25 27 31 32 4 0 100 11.743 77.418
25 27 32 33 4 0 100 53.243 24.395
25 27 33 34 4 0 100 40.198 45.696
25 27 34 35 4 0 100 87.794 76.072
25 27 35 36 4 0 100 86.129 57.726
25 27 36 37 4 0 100 27.749 62.848
25 27 37 38 4 0 100 38.638 37.511
25 27 38 39 4 0 100 87.541 38.025
25 27 40 41 4 0 100 22.165 73.868
25 27 42 100 4 0 100 63.178 98.140
27 29 0 1 4 0 100 10.382 88.813
27 29 1 2 4 0 100 54.714 97.077
27 29 2 3 4 0 100 100.000 3.171
27 29 3 4 4 0 100 62.704 3.038
27 29 4 5 4 0 100 36.992 2.916
27 29 5 6 4 0 100 39.509 2.866
27 29 6 7 4 0 100 32.019 2.864
27 29 7 8 4 0 100 36.507 2.818
27 29 8 9 4 0 100 33.704 2.806
27 29 9 10 4 0 100 33.373 2.828
27 29 10 11 4 0 100 33.177 2.774
27 29 11 12 4 0 100 34.569 2.736
27 29 12 13 4 0 100 34.664 2.716
27 29 13 14 4 0 100 37.764 2.675
27 29 14 15 4 0 100 40.495 2.638
27 29 15 16 4 0 100 36.266 2.664
27 29 16 17 4 0 100 37.381 2.620
27 29 17 18 4 0 100 40.430 2.623
27 29 18 19 4 0 100 39.654 2.590
27 29 19 20 4 0 100 45.934 2.543
27 29 20 21 4 0 100 43.100 2.515
27 29 21 22 4 0 100 60.021 2.475
27 29 22 23 4 0 100 50.512 2.481
27 29 23 24 4 0 100 54.914 2.484
27 29 24 25 4 0 100 58.431 2.409
27 29 25 26 4 0 100 70.714 2.501
27 29 26 27 4 0 100 74.343 2.390
27 29 27 28 4 0 100 100.000 2.338
27 29 28 29 4 0 100 100.000 2.373
27 29 29 30 4 0 100 100.000 2.425
27 29 30 31 4 0 100 30.998 42.700
27 29 31 32 4 0 100 100.000 2.413
27 29 32 33 4 0 100 9.012 98.869
27 29 33 34 4 0 100 45.597 52.004
27 29 34 35 4 0 100 91.206 56.895
27 29 35 36 4 0 100 12.950 99.993
27 29 36 37 4 0 100 96.121 26.002
27 29 37 38 4 0 100 98.766 80.357
27 29 38 39 4 0 100 64.499 50.408
27 29 39 40 4 0 100 34.293 49.136
27 29 40 41 4 0 100 93.281 99.812
27 29 41 100 4 0 100 98.594 49.469
29 32 0 1 4 0 100 10.221 99.998
29 32 1 2 4 0 100 100.000 2.574
29 32 2 3 4 0 100 88.032 2.914
