Block MASS   #
#  PDG code   mass                 particle
      1000021   2400.0     # ~g
      1000993   2400.700   # ~g_glueball
      1009213   2400.650   # ~g_rho+
      1009313   2400.825   # ~g_K*0
      1009323   2400.825   # ~g_K*+
      1009113   2400.650   # ~g_rho0
      1009223   2400.650   # ~g_omega
      1009333   2401.800   # ~g_phi
      1091114   2400.975   # ~g_Delta-
      1092114   2400.975   # ~g_Delta0
      1092214   2400.975   # ~g_Delta+
      1092224   2400.975   # ~g_Delta++
      1093114   2401.150   # ~g_Sigma*-
      1093214   2401.150   # ~g_Sigma*0
      1093224   2401.150   # ~g_Sigma*+
      1093314   2401.300   # ~g_Xi*-
      1093324   2401.300   # ~g_Xi*0
      1093334   2401.600   # ~g_Omega-
     -1009213   2400.650   # ~g_rho-
     -1009313   2400.825   # ~g_K*bar0
     -1009323   2400.825   # ~g_K*-
     -1091114   2400.975   # ~g_Deltabar+
     -1092114   2400.975   # ~g_Deltabar0
     -1092214   2400.975   # ~g_Deltabar-
     -1092224   2400.975   # ~g_Deltabar--
     -1093114   2401.150   # ~g_Sigma*bar+
     -1093214   2401.150   # ~g_Sigma*bar0
     -1093224   2401.150   # ~g_Sigma*bar-
     -1093314   2401.300   # ~g_Xi*bar+
     -1093324   2401.300   # ~g_Xi*bar0
     -1093334   2401.600   # ~g_Omegabar+
Block
